Variable:,tasmax
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,32.93,31.75,32.21,30.67,31.27,29.58,33.67,34.61,34.01,32.10,30.65
2016,32.78,31.64,32.08,30.67,31.16,29.54,33.47,34.40,33.88,32.03,30.65
2017,32.87,31.68,32.16,30.70,31.18,29.57,33.59,34.67,34.09,32.04,30.69
2018,32.87,31.75,32.17,30.73,31.24,29.58,33.57,34.56,33.98,32.04,30.72
2019,33.00,31.84,32.27,30.85,31.31,29.65,33.72,34.78,34.22,32.13,30.84
2020,32.93,31.78,32.20,30.83,31.30,29.66,33.66,34.69,34.08,32.06,30.79
2021,33.01,31.92,32.31,30.89,31.35,29.62,33.73,34.67,34.13,32.16,30.93
2022,33.15,31.96,32.43,30.92,31.45,29.76,33.93,34.88,34.29,32.30,30.90
2023,33.06,31.94,32.36,30.90,31.39,29.77,33.76,34.74,34.15,32.28,30.91
2024,33.14,32.03,32.44,30.98,31.45,29.84,33.84,34.84,34.19,32.31,31.01
2025,33.11,32.03,32.45,30.94,31.48,29.77,33.83,34.80,34.23,32.24,30.94
2026,33.13,31.96,32.39,30.95,31.44,29.82,33.86,34.92,34.36,32.27,30.94
2027,33.28,32.14,32.57,31.06,31.62,29.93,34.00,34.99,34.33,32.46,31.05
2028,33.26,32.09,32.54,31.04,31.53,29.87,34.01,35.03,34.46,32.41,31.05
2029,33.44,32.33,32.76,31.16,31.71,29.94,34.16,35.27,34.65,32.58,31.21
2030,33.22,32.06,32.48,31.02,31.55,29.81,33.98,34.97,34.34,32.39,31.00
2031,33.36,32.15,32.63,31.01,31.59,29.86,34.16,35.10,34.56,32.47,31.06
2032,33.49,32.36,32.81,31.23,31.80,30.02,34.24,35.25,34.63,32.61,31.25
2033,33.46,32.33,32.77,31.28,31.77,30.04,34.23,35.21,34.71,32.55,31.30
2034,33.36,32.21,32.66,31.15,31.64,30.01,34.11,35.12,34.49,32.51,31.13
2035,33.41,32.26,32.67,31.21,31.77,30.02,34.14,35.10,34.59,32.59,31.21
2036,33.40,32.19,32.61,31.21,31.69,30.09,34.15,35.22,34.57,32.54,31.18
2037,33.53,32.44,32.83,31.40,31.91,30.27,34.23,35.14,34.68,32.72,31.39
2038,33.66,32.56,33.00,31.39,31.95,30.24,34.36,35.35,34.75,32.84,31.44
2039,33.54,32.36,32.88,31.24,31.77,30.11,34.29,35.29,34.72,32.69,31.24
2040,33.60,32.54,32.90,31.47,32.03,30.30,34.32,35.31,34.67,32.77,31.45
2041,33.74,32.58,33.00,31.41,31.99,30.26,34.50,35.57,34.94,32.84,31.39
2042,33.68,32.42,32.95,31.36,31.93,30.21,34.48,35.43,34.84,32.83,31.37
2043,33.53,32.40,32.82,31.39,31.86,30.19,34.24,35.30,34.72,32.66,31.38
2044,33.61,32.37,32.85,31.37,31.89,30.25,34.34,35.40,34.84,32.79,31.36
2045,33.71,32.54,32.97,31.52,31.99,30.36,34.47,35.49,34.96,32.84,31.49
2046,33.86,32.74,33.18,31.58,32.14,30.39,34.61,35.61,35.05,33.00,31.60
2047,34.01,32.80,33.33,31.63,32.23,30.50,34.80,35.80,35.23,33.10,31.66
2048,33.97,32.72,33.21,31.65,32.21,30.53,34.75,35.76,35.19,33.07,31.63
2049,33.82,32.59,33.04,31.57,32.05,30.40,34.57,35.71,35.03,32.93,31.54
2050,33.63,32.36,32.84,31.38,31.86,30.29,34.42,35.41,34.86,32.78,31.38
2051,33.82,32.56,33.07,31.50,31.99,30.32,34.64,35.70,35.10,32.89,31.48
2052,34.01,32.89,33.38,31.72,32.32,30.57,34.74,35.66,35.21,33.18,31.73
2053,33.90,32.82,33.26,31.71,32.27,30.56,34.62,35.59,35.07,33.10,31.69
2054,33.91,32.56,33.06,31.64,32.11,30.51,34.75,35.80,35.20,33.04,31.57
2055,34.04,32.82,33.33,31.68,32.20,30.50,34.85,35.78,35.27,33.15,31.71
2056,33.98,32.74,33.20,31.65,32.19,30.52,34.78,35.89,35.30,33.06,31.65
2057,34.19,32.95,33.45,31.89,32.29,30.70,35.01,36.02,35.45,33.26,31.91
2058,34.20,33.00,33.47,31.81,32.31,30.61,34.96,36.16,35.55,33.29,31.88
2059,34.06,32.99,33.40,31.89,32.45,30.78,34.73,35.68,35.11,33.28,31.89
2060,34.19,33.06,33.51,31.99,32.51,30.82,34.91,35.90,35.43,33.36,32.00
2061,34.11,32.88,33.40,31.78,32.34,30.63,34.89,35.90,35.31,33.25,31.77
2062,34.09,32.89,33.35,31.87,32.41,30.74,34.83,35.89,35.25,33.23,31.86
2063,34.31,33.04,33.59,31.96,32.52,30.77,35.11,36.08,35.55,33.43,31.97
2064,34.22,32.90,33.47,31.72,32.34,30.62,35.04,36.04,35.45,33.37,31.82
2065,34.21,32.97,33.49,31.84,32.34,30.62,35.02,36.05,35.54,33.28,31.84
2066,34.27,33.02,33.53,31.94,32.44,30.80,35.07,36.10,35.55,33.34,31.95
2067,34.32,33.06,33.60,31.90,32.41,30.77,35.15,36.16,35.57,33.43,31.92
2068,34.26,33.03,33.50,32.05,32.51,30.92,35.04,36.12,35.50,33.36,32.03
2069,34.37,33.21,33.67,32.07,32.60,30.79,35.13,36.16,35.54,33.48,32.13
2070,34.29,33.05,33.51,31.95,32.46,30.82,35.09,36.12,35.57,33.39,31.93
2071,34.31,33.09,33.69,31.93,32.46,30.74,35.13,36.09,35.60,33.32,31.93
2072,34.36,33.06,33.60,31.98,32.54,30.84,35.20,36.25,35.62,33.44,31.96
2073,34.47,33.28,33.75,32.26,32.80,31.12,35.20,36.21,35.60,33.62,32.24
2074,34.40,33.20,33.70,32.00,32.58,30.77,35.17,36.24,35.64,33.48,32.02
2075,34.33,33.04,33.54,31.88,32.47,30.71,35.10,36.26,35.65,33.42,31.91
2076,34.47,33.15,33.70,32.06,32.60,30.85,35.32,36.39,35.87,33.53,32.04
2077,34.69,33.45,33.97,32.22,32.82,30.98,35.55,36.52,35.83,33.71,32.29
2078,34.54,33.31,33.82,32.11,32.72,31.01,35.32,36.39,35.77,33.64,32.12
2079,34.44,33.28,33.74,32.05,32.58,30.87,35.24,36.27,35.67,33.55,32.12
2080,34.65,33.42,33.93,32.18,32.74,30.99,35.46,36.49,35.94,33.71,32.23
2081,34.66,33.34,33.86,32.21,32.82,31.09,35.49,36.56,35.82,33.76,32.21
2082,34.57,33.27,33.81,32.15,32.71,30.98,35.39,36.43,35.82,33.66,32.16
2083,34.50,33.27,33.77,32.13,32.73,31.04,35.30,36.35,35.79,33.55,32.21
2084,34.56,33.34,33.84,32.21,32.76,31.05,35.32,36.35,35.68,33.73,32.24
2085,34.72,33.60,34.02,32.42,32.97,31.27,35.48,36.51,35.93,33.84,32.45
2086,34.66,33.46,34.00,32.31,32.89,31.17,35.47,36.42,35.89,33.73,32.33
2087,34.64,33.40,33.96,32.18,32.84,31.06,35.44,36.48,35.82,33.72,32.23
2088,34.67,33.42,33.98,32.31,32.93,31.14,35.44,36.37,35.85,33.87,32.31
2089,34.54,33.29,33.79,32.16,32.72,31.05,35.36,36.41,35.80,33.63,32.21
2090,34.67,33.45,34.00,32.24,32.84,31.10,35.44,36.39,35.82,33.79,32.24
2091,34.64,33.41,33.88,32.43,32.93,31.23,35.42,36.42,35.73,33.87,32.39
2092,34.92,33.52,34.15,32.41,32.99,31.29,35.82,36.92,36.31,33.97,32.42
2093,34.76,33.45,34.05,32.28,32.71,31.14,35.60,36.54,35.99,33.88,32.33
2094,34.72,33.36,33.92,32.32,32.85,31.23,35.58,36.61,36.00,33.81,32.33
2095,34.80,33.56,34.13,32.38,32.89,31.28,35.62,36.63,35.95,33.93,32.43
2096,34.65,33.38,33.90,32.29,32.83,31.18,35.45,36.48,35.86,33.77,32.33
2097,34.62,33.32,33.88,32.21,32.80,31.15,35.45,36.47,35.84,33.75,32.27
2098,34.62,33.42,33.88,32.31,32.85,31.19,35.40,36.33,35.73,33.81,32.36
2099,34.80,33.51,34.03,32.50,32.97,31.26,35.60,36.66,36.08,33.86,32.50
2100,34.65,33.44,33.93,32.32,32.87,31.21,35.38,36.37,35.86,33.83,32.32
