Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
2015,28.10,28.01,27.23,26.69,28.35,26.21,26.00
2016,28.09,28.01,27.19,26.64,28.35,26.13,25.92
2017,28.19,28.10,27.35,26.84,28.43,26.38,26.18
2018,28.19,28.10,27.30,26.75,28.46,26.24,26.03
2019,28.32,28.25,27.40,26.82,28.63,26.29,26.07
2020,28.32,28.23,27.34,26.78,28.66,26.28,26.07
2021,28.31,28.23,27.40,26.83,28.59,26.32,26.10
2022,28.38,28.29,27.43,26.87,28.69,26.36,26.15
2023,28.28,28.15,27.40,26.87,28.48,26.39,26.19
2024,28.42,28.34,27.45,26.91,28.74,26.41,26.20
2025,28.45,28.37,27.49,26.91,28.76,26.38,26.16
2026,28.55,28.48,27.64,27.06,28.84,26.52,26.30
2027,28.49,28.41,27.60,27.04,28.75,26.54,26.33
2028,28.56,28.49,27.65,27.06,28.84,26.52,26.29
2029,28.63,28.55,27.75,27.19,28.89,26.69,26.48
2030,28.49,28.38,27.58,27.01,28.71,26.50,26.28
2031,28.63,28.54,27.64,27.09,28.99,26.59,26.38
2032,28.58,28.44,27.67,27.15,28.77,26.69,26.49
2033,28.65,28.57,27.74,27.14,28.92,26.61,26.38
2034,28.63,28.57,27.70,27.12,28.96,26.60,26.38
2035,28.72,28.69,27.76,27.15,29.11,26.60,26.37
2036,28.82,28.73,27.86,27.25,29.13,26.70,26.47
2037,28.78,28.67,27.82,27.25,29.06,26.74,26.52
2038,28.72,28.67,27.86,27.31,29.01,26.81,26.60
2039,28.85,28.77,27.95,27.41,29.14,26.92,26.71
2040,28.56,28.48,27.70,27.18,28.80,26.72,26.52
2041,28.66,28.57,27.74,27.15,28.92,26.61,26.38
2042,28.83,28.73,27.87,27.27,29.09,26.73,26.50
2043,28.88,28.77,27.95,27.42,29.15,26.94,26.74
2044,28.86,28.78,27.88,27.30,29.18,26.77,26.55
2045,28.73,28.56,27.78,27.27,28.93,26.81,26.62
2046,28.95,28.82,28.03,27.51,29.18,27.04,26.84
2047,28.88,28.77,28.03,27.47,29.07,26.96,26.75
2048,28.88,28.75,27.95,27.40,29.09,26.89,26.68
2049,28.98,28.87,28.08,27.52,29.20,27.02,26.81
2050,29.15,29.04,28.23,27.66,29.38,27.15,26.93
2051,28.96,28.84,28.03,27.47,29.20,26.97,26.76
2052,28.76,28.65,27.78,27.23,29.03,26.73,26.52
2053,28.70,28.63,27.87,27.34,28.93,26.86,26.66
2054,28.90,28.86,27.96,27.35,29.24,26.79,26.56
2055,28.79,28.62,27.86,27.35,28.97,26.88,26.68
2056,28.81,28.69,27.89,27.38,29.07,26.92,26.72
2057,28.96,28.90,28.01,27.37,29.26,26.79,26.55
2058,28.96,28.83,28.01,27.46,29.19,26.95,26.74
2059,28.96,28.88,28.06,27.54,29.25,27.06,26.86
2060,29.09,29.04,28.13,27.54,29.44,27.01,26.78
2061,28.95,28.86,28.01,27.47,29.24,26.98,26.77
2062,28.97,28.87,28.06,27.55,29.24,27.09,26.89
2063,28.85,28.75,27.95,27.43,29.09,26.96,26.76
2064,28.93,28.86,27.98,27.44,29.27,26.95,26.74
2065,28.83,28.71,27.94,27.42,29.08,26.94,26.74
2066,29.06,28.97,28.11,27.54,29.35,27.03,26.81
2067,29.04,28.92,28.06,27.49,29.31,26.98,26.76
2068,29.10,28.94,28.24,27.69,29.24,27.18,26.97
2069,28.93,28.88,28.01,27.38,29.22,26.81,26.57
2070,29.07,28.94,28.12,27.56,29.32,27.06,26.85
2071,29.08,29.02,28.21,27.63,29.34,27.11,26.89
2072,29.01,28.96,28.10,27.58,29.32,27.12,26.92
2073,28.92,28.87,27.98,27.43,29.28,26.92,26.71
2074,28.98,28.89,28.06,27.48,29.25,26.95,26.73
2075,28.89,28.79,27.95,27.41,29.17,26.92,26.71
2076,29.03,28.94,28.09,27.51,29.31,26.98,26.76
2077,29.21,29.15,28.28,27.72,29.52,27.21,27.00
2078,29.22,29.17,28.25,27.64,29.56,27.09,26.86
2079,29.01,28.99,28.02,27.41,29.41,26.85,26.62
2080,29.02,28.85,28.18,27.60,29.10,27.07,26.85
2081,29.05,28.99,28.16,27.58,29.32,27.05,26.83
2082,29.05,28.99,28.13,27.54,29.35,27.00,26.77
2083,28.99,28.90,28.05,27.53,29.27,27.05,26.85
2084,28.92,28.81,28.02,27.51,29.17,27.04,26.84
2085,28.98,28.88,28.02,27.45,29.27,26.93,26.71
2086,29.13,29.01,28.22,27.65,29.36,27.13,26.91
2087,29.05,28.91,28.22,27.66,29.18,27.16,26.95
2088,29.02,28.91,28.11,27.55,29.23,27.04,26.82
2089,28.95,28.84,28.06,27.48,29.14,26.95,26.73
2090,28.91,28.80,27.96,27.38,29.16,26.86,26.64
2091,29.05,28.95,28.13,27.57,29.27,27.06,26.85
2092,28.96,28.89,27.99,27.39,29.25,26.85,26.62
2093,29.01,28.90,28.13,27.53,29.20,26.97,26.74
2094,28.84,28.77,27.96,27.42,29.12,26.92,26.71
2095,28.98,28.96,28.11,27.52,29.30,26.98,26.75
2096,28.70,28.56,27.75,27.25,28.94,26.79,26.60
2097,28.87,28.69,27.92,27.39,29.04,26.91,26.71
2098,28.94,28.84,28.05,27.49,29.16,26.98,26.77
2099,28.95,28.88,28.03,27.47,29.25,26.97,26.76
2100,28.83,28.73,27.92,27.35,29.08,26.83,26.61
