Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,24.43,24.64,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.07,24.05
2016,24.51,24.73,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.09,24.07
2017,24.45,24.69,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.09,24.07
2018,24.39,24.57,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.05,24.03
2019,24.33,24.59,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.93,23.91
2020,24.77,24.96,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.46,24.45
2021,24.61,24.92,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.20,24.18
2022,24.53,24.73,24.18,24.18,24.18,24.18,24.18,24.18,24.18,24.20,24.18
2023,24.77,25.04,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2024,24.83,25.07,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.47,24.45
2025,24.66,24.89,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.28,24.26
2026,24.65,24.94,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.26,24.24
2027,24.73,24.90,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.40,24.38
2028,24.67,24.84,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.33,24.31
2029,24.61,24.85,24.29,24.29,24.29,24.29,24.29,24.29,24.29,24.31,24.29
2030,24.79,25.01,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.40,24.38
2031,24.79,25.06,24.45,24.45,24.45,24.45,24.45,24.45,24.45,24.46,24.45
2032,24.62,24.87,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.24,24.22
2033,24.55,24.84,24.20,24.20,24.20,24.20,24.20,24.20,24.20,24.22,24.20
2034,24.79,25.15,24.36,24.36,24.36,24.36,24.36,24.36,24.36,24.38,24.36
