Variable:,tas
,Greenland,Nordgronland,Ostgronland,Vestgronland
2015,-15.42,-19.31,-15.54,-10.07
2016,-15.33,-19.32,-15.44,-9.90
2017,-15.35,-19.15,-15.47,-10.07
2018,-15.20,-19.22,-15.27,-9.81
2019,-15.02,-18.98,-15.06,-9.74
2020,-15.03,-18.96,-15.10,-9.74
2021,-14.72,-18.65,-14.86,-9.29
2022,-14.97,-18.89,-15.02,-9.69
2023,-14.99,-18.71,-15.15,-9.71
2024,-14.83,-18.60,-14.97,-9.55
2025,-14.70,-18.50,-14.86,-9.36
2026,-14.45,-18.36,-14.53,-9.13
2027,-14.44,-18.36,-14.56,-9.06
2028,-14.70,-18.41,-14.85,-9.45
2029,-14.70,-18.61,-14.77,-9.41
2030,-14.76,-18.55,-14.93,-9.39
2031,-14.47,-18.14,-14.67,-9.20
2032,-14.56,-18.30,-14.72,-9.30
2033,-14.60,-18.43,-14.68,-9.40
2034,-14.75,-18.66,-14.83,-9.45
2035,-14.53,-18.36,-14.73,-9.07
2036,-14.48,-18.19,-14.66,-9.17
2037,-14.49,-18.13,-14.64,-9.32
2038,-14.57,-18.41,-14.65,-9.38
2039,-14.51,-18.51,-14.57,-9.23
2040,-14.57,-18.25,-14.68,-9.47
2041,-14.55,-18.48,-14.45,-9.63
2042,-14.39,-18.20,-14.48,-9.21
2043,-14.33,-18.23,-14.41,-9.10
2044,-14.33,-18.03,-14.48,-9.07
2045,-14.11,-18.04,-14.14,-8.93
2046,-14.16,-17.94,-14.21,-9.03
2047,-14.14,-17.93,-14.26,-8.94
2048,-14.60,-18.20,-14.72,-9.49
2049,-14.26,-18.02,-14.32,-9.17
2050,-14.08,-17.82,-14.19,-8.91
2051,-13.96,-17.76,-14.10,-8.71
2052,-14.19,-17.90,-14.35,-8.93
2053,-14.14,-17.97,-14.23,-8.93
2054,-14.25,-18.01,-14.40,-8.97
2055,-14.33,-17.92,-14.54,-9.10
2056,-14.06,-17.86,-14.15,-8.89
2057,-14.31,-18.04,-14.37,-9.21
2058,-13.95,-17.65,-14.07,-8.82
2059,-14.02,-17.92,-14.01,-8.95
2060,-13.84,-17.80,-13.86,-8.68
2061,-14.21,-17.86,-14.31,-9.12
2062,-14.00,-17.50,-14.20,-8.88
2063,-13.90,-17.70,-13.94,-8.83
2064,-14.36,-18.12,-14.39,-9.35
2065,-13.95,-17.69,-14.01,-8.88
2066,-14.08,-17.80,-14.20,-8.91
2067,-14.01,-17.69,-14.09,-8.98
2068,-14.21,-17.96,-14.38,-8.92
2069,-14.38,-18.10,-14.43,-9.31
2070,-14.01,-17.67,-14.21,-8.76
2071,-13.98,-17.68,-14.14,-8.77
2072,-14.22,-17.95,-14.31,-9.09
2073,-13.83,-17.73,-13.89,-8.63
2074,-13.99,-17.78,-14.05,-8.88
2075,-14.13,-17.79,-14.25,-9.02
2076,-13.80,-17.43,-13.92,-8.71
2077,-13.83,-17.55,-13.92,-8.69
2078,-13.89,-17.75,-13.99,-8.64
2079,-14.10,-18.00,-14.14,-8.93
2080,-14.02,-17.77,-14.18,-8.73
2081,-13.75,-17.58,-13.76,-8.65
2082,-14.01,-17.82,-14.11,-8.80
2083,-14.03,-17.65,-14.14,-8.95
2084,-13.99,-17.78,-14.05,-8.87
2085,-14.05,-17.91,-14.07,-8.95
2086,-13.89,-17.33,-14.23,-8.57
2087,-13.94,-17.73,-14.04,-8.73
2088,-14.02,-17.89,-14.16,-8.66
2089,-14.34,-18.03,-14.37,-9.36
2090,-14.24,-18.02,-14.30,-9.13
2091,-14.10,-17.80,-14.19,-8.98
2092,-14.12,-17.95,-14.11,-9.04
2093,-14.08,-18.03,-14.16,-8.76
2094,-14.03,-17.80,-14.11,-8.92
2095,-14.05,-17.88,-14.11,-8.90
2096,-13.94,-17.72,-13.98,-8.85
2097,-13.98,-17.63,-14.11,-8.84
2098,-14.09,-17.83,-14.22,-8.82
2099,-14.05,-17.81,-14.23,-8.75
2100,-14.04,-17.79,-14.12,-8.91
