Variable:,tasmin
,Fiji,Central,Eastern,Northern,Western
2015,21.86,21.99,23.11,22.13,22.66
2016,21.77,21.88,23.01,22.07,22.53
2017,21.92,22.04,23.12,22.18,22.72
2018,21.82,21.92,23.01,22.11,22.59
2019,21.84,21.90,23.01,22.15,22.58
2020,21.95,22.03,23.10,22.24,22.72
2021,21.99,22.10,23.16,22.23,22.79
2022,21.95,22.06,23.16,22.22,22.72
2023,21.98,22.06,23.14,22.28,22.71
2024,22.04,22.17,23.25,22.32,22.86
2025,22.07,22.16,23.26,22.35,22.82
2026,22.10,22.19,23.31,22.40,22.86
2027,22.10,22.20,23.30,22.37,22.86
2028,22.10,22.20,23.34,22.39,22.86
2029,22.10,22.23,23.31,22.34,22.87
2030,22.14,22.26,23.34,22.41,22.91
2031,22.15,22.25,23.36,22.43,22.92
2032,22.14,22.24,23.34,22.43,22.92
2033,22.12,22.21,23.30,22.40,22.91
2034,22.14,22.26,23.34,22.39,22.92
2035,22.28,22.38,23.47,22.58,23.05
2036,22.19,22.26,23.40,22.50,22.93
2037,22.14,22.24,23.36,22.43,22.92
2038,22.16,22.24,23.35,22.46,22.90
2039,22.41,22.50,23.59,22.69,23.16
2040,22.34,22.42,23.52,22.62,23.10
2041,22.28,22.36,23.46,22.59,23.05
2042,22.20,22.31,23.40,22.47,22.98
2043,22.22,22.32,23.46,22.53,22.98
2044,22.17,22.28,23.39,22.43,22.95
2045,22.28,22.38,23.47,22.55,23.04
2046,22.21,22.33,23.43,22.47,23.00
2047,22.32,22.39,23.51,22.63,23.08
2048,22.33,22.43,23.52,22.61,23.11
2049,22.39,22.47,23.55,22.70,23.16
2050,22.33,22.42,23.53,22.63,23.08
2051,22.35,22.48,23.57,22.59,23.14
2052,22.47,22.58,23.70,22.76,23.25
2053,22.36,22.48,23.58,22.64,23.15
2054,22.22,22.31,23.40,22.51,22.99
2055,22.26,22.37,23.48,22.53,23.05
2056,22.27,22.34,23.45,22.55,23.02
2057,22.35,22.47,23.58,22.61,23.14
2058,22.30,22.39,23.51,22.61,23.05
2059,22.25,22.40,23.51,22.51,23.04
2060,22.42,22.53,23.63,22.70,23.19
2061,22.39,22.50,23.63,22.69,23.15
2062,22.29,22.39,23.53,22.61,23.04
2063,22.34,22.45,23.53,22.61,23.10
2064,22.40,22.51,23.65,22.69,23.17
2065,22.30,22.38,23.46,22.59,23.06
2066,22.32,22.41,23.52,22.61,23.07
2067,22.39,22.47,23.56,22.70,23.15
2068,22.41,22.50,23.57,22.68,23.19
2069,22.51,22.62,23.73,22.79,23.26
2070,22.36,22.48,23.59,22.64,23.16
2071,22.46,22.55,23.66,22.74,23.21
2072,22.36,22.47,23.56,22.63,23.16
2073,22.32,22.40,23.50,22.61,23.09
2074,22.49,22.60,23.67,22.73,23.26
2075,22.37,22.46,23.57,22.65,23.12
2076,22.36,22.41,23.51,22.67,23.09
2077,22.33,22.40,23.49,22.62,23.06
2078,22.24,22.35,23.46,22.52,23.02
2079,22.41,22.52,23.60,22.69,23.19
2080,22.37,22.42,23.53,22.70,23.09
2081,22.31,22.39,23.50,22.62,23.06
2082,22.44,22.56,23.59,22.68,23.23
2083,22.32,22.40,23.48,22.61,23.10
2084,22.30,22.42,23.55,22.60,23.04
2085,22.34,22.44,23.54,22.60,23.10
2086,22.27,22.36,23.45,22.56,23.04
2087,22.34,22.47,23.55,22.59,23.12
2088,22.49,22.64,23.73,22.72,23.32
2089,22.36,22.45,23.58,22.65,23.13
2090,22.31,22.42,23.53,22.59,23.07
2091,22.43,22.53,23.60,22.72,23.19
2092,22.38,22.50,23.63,22.68,23.16
2093,22.33,22.42,23.52,22.62,23.10
2094,22.43,22.54,23.61,22.69,23.19
2095,22.24,22.34,23.45,22.53,23.00
2096,22.35,22.46,23.54,22.62,23.15
2097,22.37,22.52,23.63,22.64,23.18
2098,22.29,22.43,23.56,22.57,23.11
2099,22.34,22.43,23.53,22.60,23.08
2100,22.44,22.55,23.64,22.69,23.21
