Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2042,7.61,8.68,6.57,6.57,9.66,9.66,6.57,6.91,10.73,7.78,8.55,9.84,7.93,10.56,6.01,5.93,7.04,8.42,7.76,9.65,7.31,6.92,5.93,5.89,9.65,8.42,8.42
2043,7.86,9.00,6.81,6.81,9.93,9.93,6.84,7.17,10.98,8.03,8.78,10.12,8.24,10.84,6.27,6.19,7.29,8.75,8.07,9.92,7.59,7.19,6.19,6.16,9.89,8.75,8.75
2044,7.78,8.91,6.73,6.73,9.93,9.93,6.81,7.14,10.97,7.94,8.67,10.12,8.16,10.83,6.17,6.09,7.20,8.64,7.96,9.92,7.50,7.08,6.09,6.11,9.88,8.64,8.64
2045,7.92,9.02,6.96,6.96,9.92,9.92,6.82,7.17,11.04,8.10,8.82,10.09,8.25,10.83,6.30,6.22,7.41,8.78,8.10,9.91,7.69,7.21,6.22,6.15,9.94,8.78,8.78
2046,7.95,9.06,6.94,6.94,10.02,10.02,6.94,7.29,11.12,8.14,8.86,10.19,8.31,10.92,6.37,6.29,7.41,8.80,8.13,10.01,7.69,7.29,6.29,6.27,10.03,8.80,8.80
2047,7.74,8.82,6.71,6.71,9.84,9.84,6.77,7.15,11.02,7.93,8.66,10.01,8.09,10.78,6.18,6.10,7.18,8.55,7.90,9.83,7.45,7.09,6.10,6.10,9.92,8.55,8.55
2048,7.84,8.98,6.82,6.82,9.95,9.95,6.80,7.14,11.02,8.00,8.70,10.11,8.21,10.81,6.23,6.15,7.28,8.72,8.04,9.94,7.58,7.14,6.15,6.11,9.91,8.72,8.72
2049,7.97,9.08,6.94,6.94,10.06,10.06,6.95,7.31,11.17,8.15,8.90,10.25,8.32,11.00,6.35,6.27,7.41,8.82,8.14,10.05,7.70,7.27,6.27,6.27,10.08,8.82,8.82
2050,7.95,9.10,6.87,6.87,10.06,10.06,6.96,7.32,11.17,8.10,8.84,10.24,8.33,10.98,6.33,6.25,7.35,8.84,8.15,10.05,7.66,7.24,6.25,6.27,10.08,8.84,8.84
2051,8.01,9.13,6.98,6.98,10.03,10.03,6.99,7.33,11.16,8.25,9.00,10.20,8.39,10.94,6.57,6.49,7.46,8.89,8.25,10.02,7.75,7.47,6.49,6.36,10.07,8.89,8.89
2052,7.96,9.06,6.93,6.93,10.03,10.03,6.93,7.27,11.11,8.16,8.91,10.20,8.31,10.92,6.41,6.33,7.40,8.80,8.14,10.02,7.68,7.33,6.33,6.26,10.02,8.80,8.80
2053,8.15,9.24,7.16,7.16,10.17,10.17,7.09,7.43,11.24,8.34,9.08,10.34,8.48,11.04,6.56,6.48,7.62,8.99,8.32,10.16,7.90,7.47,6.48,6.42,10.16,8.99,8.99
2054,7.81,8.93,6.80,6.80,9.82,9.82,6.83,7.21,11.00,8.01,8.72,9.99,8.19,10.76,6.28,6.20,7.27,8.69,8.03,9.81,7.56,7.18,6.20,6.19,9.92,8.69,8.69
2055,7.70,8.83,6.68,6.68,9.86,9.86,6.73,7.11,11.00,7.82,8.52,10.02,8.07,10.76,6.01,5.93,7.14,8.56,7.86,9.85,7.44,6.93,5.93,6.04,9.90,8.56,8.56
2056,7.74,8.88,6.62,6.62,9.84,9.84,6.77,7.14,10.99,7.91,8.70,10.03,8.13,10.81,6.17,6.09,7.11,8.62,7.95,9.83,7.42,7.10,6.09,6.12,9.90,8.62,8.62
2057,8.00,9.10,6.99,6.99,9.98,9.98,7.02,7.39,11.14,8.19,8.93,10.17,8.36,10.94,6.47,6.39,7.46,8.86,8.20,9.97,7.74,7.37,6.39,6.38,10.07,8.86,8.86
2058,7.93,9.01,6.90,6.90,9.96,9.96,6.87,7.18,11.00,8.17,8.98,10.14,8.26,10.84,6.41,6.33,7.38,8.75,8.11,9.95,7.64,7.33,6.33,6.20,9.91,8.75,8.75
