Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
2040,7.34,8.94,9.31,9.19,6.51,9.34,8.65,9.92,6.39,5.97,6.09,6.55,6.50,6.44,6.40,6.69,6.37,7.69,7.68,8.34,9.12,5.48,5.30,6.91,6.71,8.46,6.33,6.62,6.09
2041,7.41,8.95,9.31,9.26,6.58,9.35,8.74,9.94,6.42,5.99,6.16,6.48,6.54,6.56,6.34,6.93,6.61,7.87,7.83,8.43,9.03,5.49,5.32,6.95,6.95,8.58,6.54,6.82,6.15
2042,7.35,8.69,9.28,9.33,6.41,9.07,8.54,9.59,6.22,5.86,6.09,6.26,6.34,6.48,6.12,6.95,6.58,7.90,7.90,8.23,8.78,5.31,5.12,6.74,6.96,8.63,6.44,6.58,6.10
2043,7.38,9.04,9.44,9.45,6.38,9.25,8.53,9.80,6.40,5.84,6.04,6.42,6.52,6.38,6.21,6.97,6.54,7.96,7.94,8.22,9.02,5.43,5.28,6.73,6.98,8.75,6.36,6.60,6.03
2044,7.33,8.99,9.21,9.14,6.44,9.26,8.57,9.87,6.37,5.94,6.18,6.47,6.48,6.49,6.29,6.77,6.46,7.72,7.72,8.25,9.07,5.49,5.33,6.79,6.79,8.45,6.39,6.64,6.18
2045,7.85,9.31,9.80,9.65,6.85,9.81,9.11,10.49,6.87,6.42,6.58,6.83,6.98,7.07,6.65,7.48,7.09,8.32,8.29,8.77,9.51,5.94,5.80,7.15,7.49,8.99,6.92,7.08,6.63
2046,7.54,9.10,9.60,9.46,6.62,9.56,8.90,10.16,6.68,6.05,6.29,6.66,6.80,6.56,6.48,7.08,6.66,8.07,7.96,8.57,9.30,5.70,5.55,7.00,7.10,8.82,6.54,6.86,6.27
2047,7.10,8.74,9.12,9.09,6.20,9.07,8.37,9.65,6.29,5.64,5.94,6.22,6.41,6.17,6.04,6.50,6.16,7.57,7.50,8.05,8.80,5.29,5.13,6.58,6.52,8.38,6.09,6.59,5.90
2048,7.49,9.06,9.55,9.44,6.58,9.39,8.79,9.97,6.57,5.99,6.16,6.54,6.69,6.56,6.36,7.13,6.73,8.06,7.98,8.47,9.22,5.54,5.38,6.93,7.15,8.79,6.58,6.81,6.14
2049,7.57,9.10,9.71,9.52,6.73,9.50,8.96,10.00,6.61,6.08,6.17,6.69,6.73,6.54,6.54,7.07,6.68,8.08,8.01,8.65,9.20,5.70,5.56,7.15,7.09,8.86,6.60,6.67,6.17
