Variable:,tasmin
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
2015,7.52,6.52,14.51,6.21,11.62,6.41,7.37,6.41,11.18,7.76,7.04,6.62,10.16,13.27,6.36,6.73,14.05,7.62,6.60,6.87,11.60,6.27
2016,7.23,6.27,14.22,5.83,11.16,5.99,7.12,6.11,10.74,7.52,6.97,6.45,9.69,12.87,6.03,6.59,13.68,7.38,6.43,6.77,11.17,5.91
2017,7.48,6.54,14.52,6.08,11.42,6.25,7.35,6.32,11.07,7.69,7.19,6.76,9.99,13.18,6.29,6.88,13.94,7.55,6.74,6.96,11.51,6.15
2018,7.41,6.43,14.40,6.05,11.50,6.25,7.28,6.33,11.03,7.65,7.06,6.61,10.02,13.11,6.22,6.73,13.89,7.52,6.59,6.84,11.45,6.12
2019,7.06,6.02,14.26,5.72,11.13,5.97,6.91,5.95,10.82,7.31,6.61,6.16,9.70,12.96,5.83,6.28,13.72,7.17,6.14,6.41,11.25,5.77
2020,7.61,6.61,14.61,6.17,11.52,6.34,7.52,6.49,11.14,7.91,7.32,6.83,10.10,13.27,6.36,6.96,14.08,7.77,6.81,7.12,11.57,6.24
2021,7.55,6.54,14.57,6.12,11.55,6.32,7.44,6.41,11.15,7.83,7.20,6.75,10.10,13.26,6.30,6.87,14.04,7.69,6.73,7.01,11.58,6.19
2022,7.39,6.41,14.53,5.99,11.43,6.17,7.26,6.26,11.03,7.65,7.08,6.60,9.97,13.21,6.18,6.73,14.00,7.51,6.58,6.87,11.47,6.06
2023,7.68,6.66,14.74,6.29,11.76,6.47,7.52,6.58,11.24,7.91,7.44,6.81,10.26,13.37,6.47,6.98,14.16,7.78,6.78,7.26,11.67,6.36
2024,7.70,6.74,14.69,6.33,11.63,6.51,7.60,6.61,11.32,7.98,7.43,6.94,10.16,13.39,6.51,7.07,14.15,7.84,6.92,7.22,11.73,6.40
2025,7.92,6.94,14.91,6.50,11.94,6.67,7.79,6.79,11.49,8.17,7.61,7.15,10.44,13.59,6.69,7.27,14.37,8.03,7.13,7.43,11.92,6.57
