Variable:,tasmin
,Tonga,"Administrative unit not available"
2015,22.98,22.96
2016,22.83,22.80
2017,23.04,22.99
2018,22.92,22.87
2019,23.11,23.07
2020,23.01,22.96
2021,23.10,23.05
2022,23.16,23.10
2023,23.07,23.07
2024,23.18,23.15
2025,23.23,23.24
2026,23.25,23.23
2027,23.25,23.20
2028,23.18,23.15
2029,23.13,23.12
2030,23.31,23.27
2031,23.16,23.16
2032,23.08,23.07
2033,23.35,23.34
2034,23.30,23.28
2035,23.49,23.44
2036,23.28,23.27
2037,23.30,23.30
2038,23.41,23.36
2039,23.51,23.47
2040,23.44,23.42
2041,23.50,23.50
2042,23.47,23.45
2043,23.56,23.55
2044,23.53,23.47
2045,23.61,23.56
2046,23.56,23.52
2047,23.50,23.46
2048,23.59,23.54
2049,23.62,23.60
2050,23.55,23.54
2051,23.66,23.62
2052,23.65,23.63
2053,23.64,23.66
2054,23.72,23.72
2055,23.71,23.70
2056,23.75,23.73
2057,23.71,23.72
2058,23.83,23.79
2059,23.89,23.85
2060,23.87,23.84
2061,23.84,23.83
2062,23.82,23.78
2063,23.88,23.84
2064,23.91,23.91
2065,23.98,23.94
2066,23.81,23.79
2067,23.86,23.83
2068,23.85,23.86
2069,24.04,23.98
2070,24.07,24.01
2071,24.01,23.98
2072,23.90,23.88
2073,23.85,23.84
2074,23.98,23.99
2075,24.11,24.08
2076,23.98,23.97
2077,24.09,24.06
2078,24.27,24.25
2079,24.01,24.02
2080,24.00,23.99
2081,23.98,23.96
2082,24.19,24.16
2083,24.13,24.12
2084,24.14,24.12
2085,24.24,24.21
2086,24.07,24.07
2087,24.21,24.19
2088,24.09,24.09
2089,24.15,24.12
2090,24.02,23.98
2091,24.23,24.21
2092,24.23,24.19
2093,24.35,24.34
2094,24.41,24.39
2095,24.28,24.21
2096,24.26,24.22
2097,24.26,24.23
2098,24.20,24.20
2099,24.32,24.31
2100,24.30,24.29
