Variable:,tas
,"Macao SAR, China","Administrative unit not available"
2015,23.85,23.25
2016,23.78,23.29
2017,23.70,23.18
2018,23.87,23.26
2019,23.92,23.38
2020,23.95,23.41
2021,23.78,23.22
2022,23.70,23.20
2023,23.71,23.09
2024,23.89,23.32
2025,24.32,23.76
2026,24.04,23.47
2027,24.25,23.71
2028,23.99,23.48
2029,24.08,23.66
2030,24.29,23.82
2031,23.98,23.44
2032,24.00,23.46
2033,24.21,23.61
2034,24.21,23.73
2035,24.34,23.81
2036,24.18,23.58
2037,24.17,23.65
2038,24.50,23.98
2039,24.27,23.73
2040,24.50,23.97
2041,24.43,23.89
2042,24.29,23.76
2043,24.31,23.78
2044,24.26,23.70
2045,24.20,23.67
2046,24.42,23.89
2047,24.35,23.85
2048,24.50,23.92
2049,24.38,23.88
2050,24.01,23.43
2051,24.20,23.75
2052,24.40,23.88
2053,24.48,23.88
2054,24.32,23.80
2055,24.27,23.74
2056,24.30,23.75
2057,24.59,24.07
2058,24.47,23.86
2059,24.65,24.06
2060,24.30,23.74
2061,24.42,23.87
2062,24.43,23.84
2063,24.36,23.83
2064,24.30,23.90
2065,24.21,23.60
2066,24.54,23.91
2067,24.56,24.05
2068,24.44,23.92
2069,24.41,23.86
2070,24.32,23.78
2071,24.61,24.07
2072,24.11,23.63
2073,24.16,23.60
2074,24.28,23.78
2075,24.44,23.88
2076,24.35,23.86
2077,24.30,23.91
2078,24.67,24.15
2079,24.33,23.83
2080,24.19,23.63
2081,24.51,24.00
2082,24.30,23.82
2083,24.13,23.69
2084,24.14,23.75
2085,24.30,23.58
2086,24.30,23.72
2087,24.36,23.88
2088,24.47,23.81
2089,24.10,23.57
2090,24.15,23.43
2091,24.47,23.94
2092,24.43,24.02
2093,23.84,23.45
2094,24.21,23.60
2095,24.47,23.81
2096,23.96,23.41
2097,24.36,23.77
2098,24.07,23.52
2099,24.09,23.64
2100,24.36,23.82
