Variable:,tasmin
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,22.13,22.63,21.70,21.70,21.70,21.70,21.70,21.70,21.70,21.72,21.70
2016,22.20,22.68,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.81,21.79
2017,22.36,22.77,21.96,21.96,21.96,21.96,21.96,21.96,21.96,21.97,21.96
2018,22.34,22.82,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.97,21.95
2019,22.27,22.74,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.92,21.91
2020,22.11,22.61,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.75,21.74
2021,22.22,22.70,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.83,21.82
2022,22.39,22.80,21.97,21.97,21.97,21.97,21.97,21.97,21.97,21.98,21.97
2023,22.40,22.87,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.04,22.03
2024,22.39,22.81,21.99,21.99,21.99,21.99,21.99,21.99,21.99,22.00,21.99
2025,22.23,22.69,21.83,21.83,21.83,21.83,21.83,21.83,21.83,21.84,21.83
2026,22.35,22.78,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.93,21.91
2027,22.41,22.88,22.01,22.01,22.01,22.01,22.01,22.01,22.01,22.02,22.01
2028,22.54,23.01,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.16,22.14
2029,22.54,23.03,22.10,22.10,22.10,22.10,22.10,22.10,22.10,22.12,22.10
2030,22.49,22.89,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
2031,22.45,22.86,22.07,22.07,22.07,22.07,22.07,22.07,22.07,22.08,22.07
2032,22.51,22.99,22.18,22.18,22.18,22.18,22.18,22.18,22.18,22.19,22.18
2033,22.58,23.05,22.20,22.20,22.20,22.20,22.20,22.20,22.20,22.21,22.20
2034,22.64,23.06,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.24,22.23
2035,22.66,23.14,22.29,22.29,22.29,22.29,22.29,22.29,22.29,22.30,22.29
2036,22.54,23.02,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
2037,22.77,23.21,22.38,22.38,22.38,22.38,22.38,22.38,22.38,22.40,22.38
2038,22.84,23.21,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.44,22.42
2039,22.76,23.14,22.37,22.37,22.37,22.37,22.37,22.37,22.37,22.38,22.37
2040,22.68,23.09,22.30,22.30,22.30,22.30,22.30,22.30,22.30,22.31,22.30
2041,22.75,23.20,22.32,22.32,22.32,22.32,22.32,22.32,22.32,22.34,22.32
2042,22.76,23.25,22.35,22.35,22.35,22.35,22.35,22.35,22.35,22.37,22.35
2043,22.69,23.17,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.37,22.36
2044,22.80,23.29,22.44,22.44,22.44,22.44,22.44,22.44,22.44,22.45,22.44
2045,22.75,23.21,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.37,22.36
2046,22.74,23.26,22.36,22.36,22.36,22.36,22.36,22.36,22.36,22.37,22.36
2047,22.94,23.31,22.46,22.46,22.46,22.46,22.46,22.46,22.46,22.48,22.46
2048,23.00,23.40,22.60,22.60,22.60,22.60,22.60,22.60,22.60,22.61,22.60
2049,22.88,23.34,22.47,22.47,22.47,22.47,22.47,22.47,22.47,22.49,22.47
2050,22.82,23.28,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.43,22.41
2051,22.96,23.45,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.55,22.53
2052,23.00,23.52,22.59,22.59,22.59,22.59,22.59,22.59,22.59,22.61,22.59
2053,22.91,23.36,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.53,22.52
2054,22.92,23.44,22.55,22.55,22.55,22.55,22.55,22.55,22.55,22.56,22.55
2055,22.95,23.42,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.58,22.56
2056,22.89,23.44,22.55,22.55,22.55,22.55,22.55,22.55,22.55,22.56,22.55
2057,23.06,23.52,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.68,22.67
2058,23.04,23.45,22.66,22.66,22.66,22.66,22.66,22.66,22.66,22.67,22.66
2059,23.13,23.60,22.74,22.74,22.74,22.74,22.74,22.74,22.74,22.75,22.74
2060,23.32,23.70,22.91,22.91,22.91,22.91,22.91,22.91,22.91,22.93,22.91
2061,23.02,23.44,22.70,22.70,22.70,22.70,22.70,22.70,22.70,22.71,22.70
2062,23.02,23.47,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.66,22.65
2063,23.34,23.75,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.94,22.92
2064,23.21,23.66,22.81,22.81,22.81,22.81,22.81,22.81,22.81,22.82,22.81
2065,23.30,23.73,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.88,22.86
2066,23.23,23.69,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.84,22.83
2067,23.35,23.74,22.91,22.91,22.91,22.91,22.91,22.91,22.91,22.93,22.91
2068,23.25,23.68,22.86,22.86,22.86,22.86,22.86,22.86,22.86,22.87,22.86
2069,23.20,23.71,22.79,22.79,22.79,22.79,22.79,22.79,22.79,22.80,22.79
2070,23.23,23.66,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.86,22.85
2071,23.19,23.65,22.85,22.85,22.85,22.85,22.85,22.85,22.85,22.86,22.85
2072,23.30,23.66,22.92,22.92,22.92,22.92,22.92,22.92,22.92,22.93,22.92
2073,23.43,23.91,23.02,23.02,23.02,23.02,23.02,23.02,23.02,23.03,23.02
2074,23.25,23.70,22.88,22.88,22.88,22.88,22.88,22.88,22.88,22.89,22.88
2075,23.25,23.71,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.86,22.84
2076,23.37,23.80,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.96,22.95
2077,23.41,23.91,23.02,23.02,23.02,23.02,23.02,23.02,23.02,23.03,23.02
2078,23.40,23.81,22.94,22.94,22.94,22.94,22.94,22.94,22.94,22.96,22.94
2079,23.45,23.91,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.02,23.00
2080,23.39,23.89,23.01,23.01,23.01,23.01,23.01,23.01,23.01,23.02,23.01
2081,23.47,23.90,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.16,23.15
2082,23.42,23.97,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.02,23.00
2083,23.51,23.96,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.10,23.08
2084,23.48,23.95,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.17,23.16
2085,23.43,23.89,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.06,23.05
2086,23.35,23.84,22.96,22.96,22.96,22.96,22.96,22.96,22.96,22.97,22.96
2087,23.44,23.95,23.01,23.01,23.01,23.01,23.01,23.01,23.01,23.03,23.01
2088,23.41,23.88,22.96,22.96,22.96,22.96,22.96,22.96,22.96,22.98,22.96
2089,23.48,23.93,23.10,23.10,23.10,23.10,23.10,23.10,23.10,23.11,23.10
2090,23.49,24.01,23.13,23.13,23.13,23.13,23.13,23.13,23.13,23.14,23.13
2091,23.56,24.00,23.16,23.16,23.16,23.16,23.16,23.16,23.16,23.17,23.16
2092,23.49,23.98,23.13,23.13,23.13,23.13,23.13,23.13,23.13,23.14,23.13
2093,23.44,23.85,23.08,23.08,23.08,23.08,23.08,23.08,23.08,23.09,23.08
2094,23.44,23.88,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.08,23.07
2095,23.54,24.00,23.09,23.09,23.09,23.09,23.09,23.09,23.09,23.11,23.09
2096,23.59,24.05,23.21,23.21,23.21,23.21,23.21,23.21,23.21,23.22,23.21
2097,23.62,24.06,23.20,23.20,23.20,23.20,23.20,23.20,23.20,23.21,23.20
2098,23.66,24.11,23.31,23.31,23.31,23.31,23.31,23.31,23.31,23.32,23.31
2099,23.66,24.13,23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.25,23.23
2100,23.62,24.06,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.19,23.17
