Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2087,28.37,28.53,28.53,28.53,28.53,28.50,28.53,28.53,28.53,28.53
2088,28.28,28.36,28.36,28.36,28.36,28.35,28.36,28.36,28.36,28.36
2089,28.21,28.39,28.39,28.39,28.39,28.36,28.39,28.39,28.39,28.39
2090,28.34,28.56,28.56,28.56,28.56,28.52,28.56,28.56,28.56,28.56
2091,28.19,28.43,28.43,28.43,28.43,28.39,28.43,28.43,28.43,28.43
2092,28.22,28.35,28.35,28.35,28.35,28.33,28.35,28.35,28.35,28.35
2093,28.05,28.28,28.28,28.28,28.28,28.24,28.28,28.28,28.28,28.28
2094,28.15,28.34,28.34,28.34,28.34,28.30,28.34,28.34,28.34,28.34
2095,28.30,28.42,28.42,28.42,28.42,28.40,28.42,28.42,28.42,28.42
2096,28.29,28.43,28.43,28.43,28.43,28.40,28.43,28.43,28.43,28.43
2097,28.14,28.35,28.35,28.35,28.35,28.31,28.35,28.35,28.35,28.35
2098,28.20,28.37,28.37,28.37,28.37,28.34,28.37,28.37,28.37,28.37
2099,28.18,28.32,28.32,28.32,28.32,28.29,28.32,28.32,28.32,28.32
2100,28.35,28.52,28.52,28.52,28.52,28.49,28.52,28.52,28.52,28.52
