Variable:,tasmin
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2015,18.73,22.04,20.08,22.04,22.62,23.46,22.82,24.18,19.53,23.05,24.18,24.38,20.83,15.61,14.87,14.40,14.52,19.90,17.68,18.13,19.59,20.50,21.03
2016,18.79,22.18,20.19,22.18,22.75,23.58,22.96,24.26,19.60,23.13,24.26,24.47,20.91,15.66,14.92,14.46,14.54,19.96,17.67,18.18,19.71,20.63,21.16
2017,18.90,22.29,20.32,22.29,22.85,23.67,23.07,24.34,19.71,23.22,24.34,24.55,21.02,15.80,15.06,14.61,14.70,20.04,17.84,18.33,19.84,20.75,21.28
2018,18.86,22.21,20.23,22.21,22.79,23.64,23.00,24.34,19.67,23.21,24.34,24.55,20.98,15.72,14.97,14.50,14.60,20.04,17.77,18.25,19.75,20.66,21.20
2019,18.92,22.34,20.34,22.34,22.90,23.71,23.11,24.38,19.77,23.26,24.38,24.59,21.07,15.87,15.11,14.64,14.72,20.08,17.83,18.32,19.80,20.74,21.26
2020,18.87,22.16,20.20,22.16,22.74,23.58,22.94,24.29,19.66,23.17,24.29,24.50,20.96,15.75,15.02,14.56,14.68,20.06,17.79,18.25,19.67,20.59,21.12
2021,18.98,22.25,20.31,22.25,22.83,23.67,23.05,24.37,19.73,23.24,24.37,24.58,21.04,15.82,15.09,14.64,14.78,20.16,17.94,18.40,19.84,20.73,21.28
2022,18.98,22.30,20.34,22.30,22.91,23.77,23.10,24.53,19.84,23.38,24.53,24.72,21.12,15.87,15.09,14.61,14.74,20.14,17.94,18.41,19.86,20.76,21.31
2023,19.14,22.44,20.48,22.44,23.01,23.83,23.21,24.52,19.89,23.40,24.52,24.73,21.20,15.99,15.24,14.79,14.92,20.32,18.07,18.53,19.95,20.87,21.40
2024,19.18,22.45,20.49,22.45,23.01,23.82,23.22,24.49,19.84,23.36,24.49,24.70,21.17,15.93,15.21,14.77,14.90,20.38,18.10,18.56,20.00,20.91,21.43
2025,19.08,22.40,20.43,22.40,22.99,23.83,23.19,24.56,19.91,23.43,24.56,24.77,21.21,15.97,15.21,14.74,14.84,20.26,18.00,18.46,19.95,20.86,21.39
2026,19.17,22.44,20.49,22.44,23.01,23.84,23.22,24.54,19.91,23.42,24.54,24.75,21.22,16.01,15.27,14.81,14.93,20.34,18.09,18.55,20.01,20.91,21.44
2027,19.08,22.34,20.39,22.34,22.92,23.75,23.13,24.45,19.83,23.34,24.45,24.67,21.15,15.94,15.20,14.74,14.85,20.27,18.03,18.45,19.92,20.82,21.35
2028,19.23,22.60,20.61,22.60,23.16,23.98,23.38,24.65,20.00,23.52,24.65,24.86,21.31,16.07,15.34,14.89,14.99,20.41,18.16,18.61,20.07,21.01,21.53
2029,19.36,22.61,20.68,22.61,23.18,24.01,23.39,24.70,20.09,23.58,24.70,24.90,21.37,16.21,15.47,15.02,15.18,20.56,18.37,18.81,20.19,21.09,21.62
