Variable:,tasmin
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2015,16.45,10.40,18.18,13.27,17.91,14.65,21.31,14.18,16.13,16.06,14.24,19.81
2016,16.48,10.36,18.22,13.29,17.93,14.73,21.31,14.29,16.07,16.06,14.25,19.88
2017,16.63,10.63,18.32,13.48,18.04,14.89,21.49,14.51,16.19,16.15,14.41,20.03
2018,16.64,10.54,18.31,13.40,18.08,14.77,21.53,14.42,16.34,16.20,14.41,20.05
2019,16.63,10.52,18.27,13.41,18.02,14.80,21.38,14.41,16.24,16.21,14.39,20.11
2020,16.60,10.47,18.32,13.44,18.09,14.84,21.41,14.44,16.15,16.16,14.35,20.04
2021,16.68,10.67,18.40,13.44,18.06,15.01,21.48,14.57,16.33,16.14,14.47,20.10
2022,16.80,10.66,18.52,13.59,18.23,15.02,21.59,14.59,16.25,16.39,14.53,20.28
2023,16.84,10.72,18.52,13.63,18.29,15.09,21.61,14.72,16.40,16.45,14.60,20.26
2024,16.95,10.89,18.60,13.77,18.43,15.15,21.75,14.65,16.56,16.52,14.69,20.41
2025,16.87,10.86,18.56,13.73,18.39,15.17,21.63,14.70,16.44,16.44,14.61,20.30
2026,16.86,10.85,18.58,13.63,18.39,15.05,21.75,14.68,16.51,16.40,14.64,20.24
2027,16.82,10.72,18.57,13.65,18.18,15.15,21.68,14.72,16.43,16.39,14.58,20.23
2028,16.98,10.95,18.73,13.78,18.42,15.31,21.83,14.87,16.59,16.48,14.77,20.40
2029,17.09,11.03,18.88,13.91,18.51,15.29,21.95,14.91,16.67,16.68,14.84,20.49
2030,16.89,10.75,18.65,13.63,18.27,15.12,21.65,14.74,16.57,16.38,14.68,20.31
2031,17.13,11.18,18.78,13.95,18.56,15.35,21.97,14.94,16.75,16.65,14.89,20.59
2032,17.19,11.29,18.92,14.02,18.62,15.40,21.96,14.98,16.81,16.72,14.95,20.59
2033,17.16,11.05,18.85,13.93,18.58,15.45,21.95,15.02,16.76,16.72,14.92,20.61
2034,17.08,11.17,18.74,13.92,18.50,15.35,21.80,14.95,16.64,16.64,14.86,20.49
2035,17.11,11.06,18.75,13.94,18.59,15.32,21.86,14.92,16.67,16.67,14.88,20.56
2036,17.09,10.95,18.89,13.83,18.46,15.37,21.84,15.02,16.73,16.68,14.83,20.52
2037,17.23,11.16,18.92,14.06,18.65,15.50,22.05,15.04,16.85,16.77,15.02,20.64
2038,17.35,11.28,19.12,14.12,18.76,15.63,22.09,15.24,16.91,16.87,15.08,20.79
2039,17.35,11.32,19.08,14.17,18.80,15.63,22.02,15.25,16.89,16.98,15.08,20.76
2040,17.34,11.35,19.07,14.18,18.72,15.65,22.07,15.26,16.88,16.90,15.09,20.76
2041,17.34,11.26,19.07,14.14,18.80,15.58,22.22,15.20,16.96,16.88,15.08,20.77
2042,17.36,11.25,19.12,14.16,18.82,15.50,22.21,15.10,17.03,16.97,15.13,20.77
2043,17.41,11.37,19.20,14.21,18.82,15.65,22.26,15.24,16.98,16.96,15.15,20.80
2044,17.40,11.35,19.14,14.16,18.74,15.59,22.18,15.19,16.96,16.95,15.16,20.86
2045,17.48,11.40,19.20,14.25,18.90,15.74,22.22,15.34,16.99,16.91,15.21,20.97
2046,17.59,11.50,19.19,14.36,19.06,15.78,22.38,15.42,17.17,17.13,15.38,21.04
2047,17.63,11.49,19.39,14.46,19.08,15.82,22.49,15.47,17.12,17.24,15.36,21.05
2048,17.73,11.64,19.52,14.55,19.15,16.06,22.50,15.64,17.23,17.38,15.46,21.10
2049,17.60,11.42,19.31,14.32,18.94,15.86,22.40,15.51,17.15,17.14,15.35,21.09
2050,17.58,11.53,19.32,14.39,19.00,15.86,22.26,15.42,17.16,17.16,15.34,21.00
2051,17.67,11.57,19.38,14.47,19.12,15.90,22.44,15.53,17.23,17.20,15.46,21.10
2052,17.81,11.71,19.65,14.58,19.25,16.11,22.64,15.69,17.34,17.42,15.54,21.23
2053,17.75,11.67,19.48,14.58,19.03,16.06,22.33,15.71,17.25,17.33,15.49,21.20
