Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,25.34,18.86,25.87,24.69,22.75,27.95,22.88,22.47,23.31
2016,25.29,18.87,25.79,24.65,22.70,27.84,22.83,22.45,23.24
2017,25.34,18.86,25.90,24.69,22.75,27.95,22.82,22.46,23.36
2018,25.36,18.95,25.91,24.72,22.78,27.91,22.94,22.54,23.42
2019,25.43,18.95,25.96,24.80,22.88,27.97,23.04,22.63,23.49
2020,25.42,19.01,25.93,24.80,22.92,27.98,22.93,22.61,23.39
2021,25.47,18.95,26.00,24.82,22.83,28.07,22.93,22.59,23.44
2022,25.45,18.99,26.03,24.85,22.92,28.05,22.89,22.52,23.37
2023,25.54,19.06,26.10,24.93,22.97,28.12,23.06,22.66,23.49
2024,25.67,19.23,26.25,25.01,23.12,28.25,23.20,22.83,23.70
2025,25.65,19.18,26.20,25.03,23.06,28.22,23.14,22.78,23.60
2026,25.62,19.16,26.14,24.97,23.11,28.19,23.20,22.82,23.68
2027,25.68,19.16,26.19,25.05,23.02,28.30,23.16,22.77,23.60
2028,25.75,19.23,26.30,25.14,23.16,28.30,23.25,22.91,23.74
2029,25.71,19.23,26.23,25.06,23.10,28.29,23.32,22.86,23.74
2030,25.65,19.31,26.21,25.03,23.27,28.20,23.27,22.87,23.69
2031,25.71,19.30,26.21,25.07,23.29,28.25,23.31,22.93,23.84
2032,25.69,19.19,26.19,25.07,23.06,28.29,23.16,22.82,23.57
2033,25.81,19.34,26.31,25.22,23.27,28.33,23.22,22.98,23.71
2034,25.64,19.13,26.17,24.98,23.09,28.28,23.17,22.78,23.66
2035,25.86,19.48,26.38,25.25,23.31,28.42,23.45,23.02,23.88
2036,25.81,19.32,26.30,25.13,23.22,28.39,23.40,23.01,24.00
2037,25.85,19.44,26.33,25.21,23.38,28.46,23.45,23.01,23.83
2038,25.90,19.35,26.37,25.28,23.27,28.52,23.42,23.01,23.91
2039,25.91,19.48,26.37,25.31,23.36,28.47,23.41,23.10,23.84
2040,25.79,19.29,26.28,25.15,23.30,28.38,23.43,22.96,23.88
2041,25.91,19.44,26.38,25.27,23.42,28.52,23.42,23.07,23.89
2042,26.02,19.55,26.54,25.40,23.54,28.63,23.50,23.16,24.03
2043,26.02,19.54,26.51,25.38,23.42,28.58,23.59,23.23,24.11
2044,25.88,19.47,26.41,25.24,23.32,28.48,23.34,23.02,23.92
2045,25.94,19.57,26.46,25.32,23.45,28.47,23.52,23.14,23.96
2046,26.00,19.57,26.51,25.39,23.44,28.57,23.54,23.16,23.96
2047,25.96,19.45,26.47,25.35,23.34,28.56,23.45,23.09,23.99
2048,25.96,19.48,26.44,25.36,23.29,28.48,23.50,23.14,24.01
2049,25.96,19.59,26.46,25.30,23.50,28.48,23.57,23.21,24.08
2050,26.05,19.60,26.55,25.42,23.46,28.59,23.64,23.23,24.12
2051,25.99,19.51,26.50,25.34,23.43,28.61,23.54,23.12,24.04
2052,25.95,19.43,26.49,25.32,23.37,28.50,23.54,23.10,24.05
2053,25.98,19.48,26.45,25.36,23.44,28.55,23.43,23.14,24.02
2054,25.98,19.44,26.54,25.34,23.38,28.58,23.43,23.09,23.96
2055,26.02,19.58,26.51,25.40,23.52,28.54,23.46,23.24,24.13
2056,25.98,19.49,26.43,25.37,23.32,28.52,23.50,23.15,24.08
2057,26.08,19.54,26.51,25.49,23.49,28.70,23.55,23.20,24.02
2058,26.21,19.66,26.72,25.63,23.54,28.85,23.66,23.28,24.23
2059,26.03,19.65,26.52,25.40,23.55,28.54,23.62,23.26,24.06
2060,26.07,19.70,26.60,25.46,23.57,28.65,23.48,23.21,24.06
2061,26.06,19.53,26.55,25.45,23.53,28.66,23.54,23.15,24.05
2062,26.11,19.63,26.60,25.53,23.48,28.67,23.52,23.24,24.06
2063,26.01,19.45,26.50,25.39,23.32,28.56,23.58,23.17,24.10
2064,25.98,19.57,26.48,25.38,23.40,28.51,23.65,23.15,24.20
2065,25.95,19.61,26.49,25.37,23.51,28.50,23.55,23.05,24.01
2066,25.99,19.52,26.46,25.35,23.36,28.52,23.51,23.17,24.08
2067,26.08,19.61,26.54,25.47,23.45,28.63,23.58,23.24,24.06
2068,26.06,19.62,26.55,25.44,23.52,28.63,23.59,23.21,24.03
2069,26.09,19.71,26.53,25.49,23.61,28.67,23.64,23.26,24.14
2070,26.08,19.52,26.53,25.45,23.38,28.64,23.50,23.28,24.12
2071,26.06,19.56,26.58,25.44,23.41,28.71,23.57,23.12,23.96
2072,26.03,19.45,26.60,25.40,23.33,28.66,23.49,23.11,24.09
2073,26.03,19.58,26.57,25.40,23.53,28.59,23.59,23.21,24.09
2074,26.07,19.66,26.56,25.43,23.55,28.63,23.66,23.28,24.26
2075,26.09,19.65,26.57,25.49,23.58,28.69,23.57,23.21,23.99
2076,26.05,19.53,26.46,25.40,23.36,28.64,23.58,23.24,24.08
2077,26.08,19.60,26.57,25.47,23.49,28.67,23.55,23.22,24.11
2078,26.06,19.63,26.56,25.42,23.52,28.64,23.60,23.24,23.99
2079,26.10,19.62,26.66,25.48,23.54,28.70,23.65,23.22,24.03
2080,26.02,19.44,26.47,25.39,23.28,28.59,23.55,23.17,24.12
2081,26.01,19.45,26.47,25.35,23.31,28.58,23.51,23.23,24.13
2082,26.18,19.70,26.62,25.58,23.77,28.74,23.80,23.38,24.21
2083,26.04,19.41,26.61,25.40,23.36,28.66,23.42,23.11,23.95
2084,26.06,19.55,26.52,25.41,23.58,28.69,23.61,23.21,24.07
2085,25.89,19.33,26.36,25.22,23.27,28.49,23.53,23.05,23.93
2086,26.01,19.54,26.57,25.38,23.43,28.51,23.50,23.21,24.01
2087,25.92,19.43,26.43,25.32,23.24,28.53,23.37,22.99,23.82
2088,25.98,19.38,26.48,25.37,23.29,28.61,23.45,23.04,23.96
2089,25.85,19.35,26.34,25.21,23.23,28.46,23.38,23.00,23.92
2090,25.98,19.43,26.46,25.36,23.25,28.60,23.46,23.09,24.04
2091,26.01,19.60,26.47,25.36,23.51,28.60,23.54,23.21,24.03
2092,26.03,19.62,26.55,25.40,23.44,28.66,23.61,23.11,24.03
2093,25.92,19.33,26.42,25.31,23.29,28.57,23.34,22.97,23.86
2094,26.02,19.49,26.51,25.39,23.41,28.62,23.45,23.16,23.94
2095,25.89,19.39,26.41,25.28,23.26,28.50,23.37,23.01,23.84
2096,25.85,19.35,26.45,25.22,23.18,28.43,23.34,22.93,23.79
2097,26.00,19.43,26.56,25.40,23.41,28.63,23.39,23.07,23.96
2098,26.04,19.48,26.50,25.41,23.45,28.65,23.53,23.19,24.04
2099,25.86,19.38,26.38,25.23,23.36,28.36,23.48,23.12,24.04
2100,26.00,19.49,26.44,25.38,23.47,28.57,23.50,23.17,24.04
