Variable:,tas
2015,6.44
2016,6.36
2017,6.33
2018,6.43
2019,6.35
2020,6.57
2021,6.64
2022,6.45
2023,6.45
2024,6.45
2025,6.43
2026,6.53
2027,6.62
2028,6.53
2029,6.62
2030,6.41
2031,6.55
2032,6.68
2033,6.58
2034,6.56
2035,6.72
2036,6.67
2037,6.60
2038,6.53
2039,6.51
2040,6.66
2041,6.65
2042,6.61
2043,6.58
2044,6.58
2045,6.88
2046,6.74
2047,6.81
2048,6.55
2049,6.52
2050,6.62
2051,6.51
2052,6.79
2053,6.82
2054,6.77
2055,6.79
2056,6.79
2057,6.67
2058,6.70
2059,6.73
2060,6.79
2061,6.56
2062,6.83
2063,6.72
2064,6.86
2065,6.51
2066,6.70
2067,6.63
2068,6.85
2069,6.77
2070,6.54
2071,6.66
2072,6.54
2073,6.58
2074,6.59
2075,6.49
2076,6.57
2077,6.57
2078,6.71
2079,6.76
2080,6.69
2081,6.74
2082,6.58
2083,6.64
2084,6.68
2085,6.61
2086,6.72
2087,6.64
2088,6.73
2089,6.60
2090,6.52
2091,6.57
2092,6.71
2093,6.74
2094,6.37
2095,6.64
2096,6.68
2097,6.52
2098,6.68
2099,6.30
2100,6.45
