Variable:,tas
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,20.96,26.04,25.41,15.89,14.40,14.21,8.33,8.28,24.19,17.22
2016,21.11,26.09,25.56,16.18,14.71,14.43,8.66,8.56,24.29,17.60
2017,21.46,26.62,26.01,16.38,14.88,14.70,8.84,8.93,24.60,17.82
2018,21.14,26.27,25.60,16.05,14.65,14.47,8.68,8.59,24.29,17.37
2019,21.10,26.29,25.58,16.01,14.67,14.49,8.60,8.41,24.27,17.26
2020,21.54,26.66,26.15,16.46,15.08,14.90,9.09,9.01,24.60,17.66
2021,21.40,26.43,25.77,16.36,14.86,14.69,8.91,8.90,24.63,17.70
2022,21.38,26.36,25.79,16.24,14.90,14.63,8.75,8.72,24.66,17.45
2023,21.45,26.52,25.94,16.32,14.95,14.76,8.84,8.83,24.66,17.64
2024,21.33,26.46,25.76,16.26,14.87,14.65,8.85,8.80,24.46,17.60
2025,21.51,26.47,25.90,16.61,15.01,14.78,9.04,9.05,24.69,17.94
2026,21.64,26.57,26.11,16.65,15.15,14.93,9.06,9.10,24.84,17.87
2027,21.51,26.57,25.92,16.48,15.02,14.75,8.92,8.93,24.77,17.74
2028,21.84,26.84,26.29,16.68,15.20,14.95,9.06,9.02,25.20,18.03
2029,21.72,26.87,26.30,16.46,15.11,14.88,8.97,9.00,24.96,17.75
2030,21.74,26.91,26.32,16.59,15.02,14.91,9.09,9.04,24.93,17.92
2031,21.64,26.67,26.04,16.63,15.30,15.01,9.10,9.01,24.85,17.76
2032,21.30,26.44,25.72,16.23,14.72,14.52,8.64,8.74,24.53,17.55
2033,21.61,26.77,26.19,16.45,14.95,14.81,8.93,8.80,24.85,17.75
2034,21.95,27.00,26.47,16.81,15.33,15.08,9.05,9.09,25.29,18.18
2035,21.76,26.96,26.36,16.67,15.22,15.00,9.22,9.29,24.88,17.90
2036,21.58,26.65,25.98,16.54,15.18,14.96,9.15,9.09,24.74,17.71
2037,21.62,26.64,25.97,16.68,15.12,14.83,8.97,9.07,24.87,17.95
2038,21.77,26.89,26.24,16.68,15.38,15.18,9.27,9.26,24.87,17.88
2039,21.83,26.65,26.22,16.71,15.10,14.88,9.09,9.13,25.26,18.04
2040,21.87,26.94,26.34,16.76,15.27,15.05,9.17,9.22,25.14,18.03
2041,21.97,27.00,26.42,16.79,15.45,15.20,9.34,9.30,25.23,18.01
2042,21.67,26.69,26.10,16.65,15.16,14.89,9.14,9.09,24.90,17.94
2043,21.57,26.62,26.04,16.52,15.08,14.87,8.95,8.91,24.75,17.80
2044,22.02,27.07,26.58,16.70,15.36,15.15,9.23,9.16,25.37,17.95
2045,22.22,27.25,26.77,17.00,15.56,15.42,9.51,9.42,25.53,18.21
2046,21.70,26.73,26.04,16.73,15.31,15.03,9.16,9.31,24.88,17.94
2047,21.88,26.93,26.24,16.99,15.36,15.21,9.47,9.46,25.02,18.17
2048,21.53,26.40,25.79,16.56,15.10,14.76,9.15,9.32,24.82,17.82
2049,21.56,26.63,25.94,16.58,15.20,14.88,9.13,9.10,24.69,17.85
2050,21.82,26.61,26.23,16.58,15.27,14.96,9.17,9.07,25.20,17.93
2051,22.01,26.95,26.33,16.91,15.35,15.01,9.25,9.25,25.46,18.17
2052,21.78,26.97,26.21,16.75,15.21,15.06,9.10,9.07,25.00,17.98
2053,21.60,26.67,26.10,16.50,15.06,14.93,9.11,9.10,24.73,17.80
2054,21.75,26.69,26.17,16.68,15.29,15.03,9.16,9.11,25.00,17.88
2055,21.78,26.76,26.25,16.71,15.24,14.93,9.09,9.20,25.00,17.99
2056,21.74,26.77,26.30,16.69,15.16,14.90,8.96,8.97,25.00,17.86
2057,21.73,26.55,26.21,16.68,15.23,14.89,9.12,9.08,25.04,17.83
2058,21.88,26.92,26.33,16.71,15.31,15.14,9.30,9.28,25.13,18.07
2059,22.05,26.95,26.54,16.84,15.39,15.26,9.33,9.28,25.40,18.10
2060,21.59,26.60,26.07,16.37,14.94,14.83,9.01,9.11,24.82,17.89
2061,21.84,26.87,26.32,16.67,15.20,14.96,9.10,9.09,25.14,17.97
2062,21.76,26.83,26.24,16.77,15.39,15.14,9.28,9.20,24.87,18.00
2063,22.07,27.22,26.67,16.87,15.40,15.22,9.24,9.24,25.28,17.96
2064,21.56,26.69,26.06,16.45,15.10,14.88,8.88,8.85,24.75,17.75
2065,21.41,26.44,25.92,16.27,14.73,14.46,8.60,8.65,24.72,17.50
2066,21.59,26.64,25.98,16.53,15.06,14.78,8.84,8.81,24.92,17.99
2067,21.80,26.92,26.33,16.65,15.31,15.13,9.33,9.30,24.96,17.89
2068,21.97,27.07,26.42,16.82,15.32,15.15,9.24,9.21,25.25,18.09
2069,21.64,26.75,26.21,16.44,15.02,14.79,8.86,8.83,24.90,17.83
2070,21.72,26.85,26.27,16.64,15.24,15.08,9.23,9.20,24.77,17.70
2071,21.87,27.07,26.43,16.67,15.35,15.19,9.36,9.39,24.93,17.81
2072,21.30,26.39,25.86,16.24,14.83,14.60,8.73,8.71,24.46,17.56
2073,21.77,26.51,26.24,16.79,15.11,14.84,9.04,9.10,25.14,17.92
2074,21.78,26.80,26.25,16.67,15.34,15.06,9.29,9.27,24.92,17.87
2075,21.73,26.71,26.15,16.64,15.28,14.98,9.07,9.13,24.97,17.89
2076,21.70,26.82,26.21,16.49,15.16,15.00,9.10,9.13,24.85,17.76
2077,21.77,26.81,26.18,16.62,15.21,15.04,9.15,9.16,25.02,18.05
2078,21.62,26.34,25.92,16.65,15.14,14.89,9.25,9.22,24.90,17.94
2079,21.77,26.82,26.26,16.63,15.10,14.90,9.03,9.05,25.04,18.00
2080,21.59,26.84,26.11,16.50,15.07,15.00,9.26,9.15,24.61,17.69
2081,21.70,26.64,26.07,16.63,15.07,14.82,9.01,9.00,25.08,17.91
2082,21.54,26.58,25.97,16.52,15.13,14.95,9.16,9.18,24.62,17.78
2083,21.68,26.76,26.16,16.58,15.12,14.98,9.08,9.07,24.90,17.96
2084,21.68,26.43,26.06,16.49,14.82,14.64,8.87,8.84,25.19,17.89
