Variable:,tas
2015,26.72
2016,26.74
2017,26.72
2018,26.86
2019,26.89
2020,26.85
2021,26.85
2022,26.87
2023,26.92
2024,27.05
2025,27.08
2026,27.05
2027,27.02
2028,27.07
2029,27.09
2030,27.01
2031,27.10
2032,27.12
2033,27.17
2034,27.13
2035,27.07
2036,27.26
2037,27.22
2038,27.13
2039,27.22
2040,27.17
2041,27.16
2042,27.27
2043,27.29
2044,27.27
2045,27.28
2046,27.36
2047,27.16
2048,27.31
2049,27.34
2050,27.43
2051,27.38
2052,27.28
2053,27.26
2054,27.40
2055,27.26
2056,27.38
2057,27.34
2058,27.37
2059,27.44
2060,27.44
2061,27.33
2062,27.34
2063,27.27
2064,27.33
2065,27.27
2066,27.32
2067,27.41
2068,27.39
2069,27.32
2070,27.45
2071,27.35
2072,27.36
2073,27.40
2074,27.40
2075,27.47
2076,27.44
2077,27.28
2078,27.47
2079,27.42
2080,27.37
2081,27.36
2082,27.37
2083,27.28
2084,27.36
2085,27.34
2086,27.43
2087,27.38
2088,27.40
2089,27.20
2090,27.22
2091,27.32
2092,27.31
2093,27.39
2094,27.36
2095,27.35
2096,27.38
2097,27.35
2098,27.27
2099,27.32
2100,27.34
