Variable:,tas
2015,26.54
2016,26.24
2017,26.42
2018,26.47
2019,26.45
2020,26.83
2021,26.55
2022,26.59
2023,26.56
2024,26.67
2025,26.64
2026,26.74
2027,26.76
2028,26.64
2029,26.72
2030,26.53
2031,26.67
2032,26.69
2033,26.52
2034,26.70
2035,26.83
2036,26.71
2037,26.73
2038,26.69
2039,26.75
2040,26.85
2041,26.93
2042,26.71
2043,26.49
2044,26.80
2045,26.81
2046,26.74
2047,27.02
2048,26.64
2049,26.74
2050,26.67
2051,26.65
2052,26.80
2053,26.83
2054,26.82
2055,26.69
2056,26.75
2057,26.93
2058,26.67
2059,26.77
2060,26.74
2061,26.60
2062,26.77
2063,26.83
2064,26.85
2065,26.44
2066,26.43
2067,26.99
2068,26.80
2069,26.74
2070,26.73
2071,26.92
2072,26.56
2073,26.57
2074,26.91
2075,26.71
2076,26.88
2077,26.67
2078,26.47
2079,26.59
2080,26.80
2081,26.59
2082,26.61
2083,26.71
2084,26.70
2085,26.55
2086,26.72
2087,26.80
2088,26.67
2089,26.42
2090,26.74
2091,26.78
2092,26.51
2093,26.56
2094,26.61
2095,26.67
2096,26.68
2097,26.47
2098,26.42
2099,26.58
2100,26.95
