Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,8.70,9.39,10.98,3.74,15.82,4.15,11.00,15.48,12.64,16.72,0.81,7.92,8.93,4.27,15.97,3.12,5.16,8.38,3.57,9.76,2.57,12.86,14.20,1.61,9.09
2016,8.62,9.22,10.94,3.69,15.73,4.13,10.87,15.43,12.62,16.78,0.95,7.70,8.78,4.14,15.81,3.14,5.05,8.36,3.44,9.50,2.63,12.78,14.06,1.60,8.96
2017,8.55,9.14,10.91,3.74,15.44,4.02,10.88,15.19,12.50,16.49,0.86,7.65,8.87,4.13,15.73,3.09,4.97,8.32,3.44,9.51,2.63,12.64,14.06,1.56,9.03
2018,8.65,9.23,11.09,3.73,15.61,4.18,10.98,15.35,12.63,16.63,0.85,7.76,8.93,4.25,15.77,3.20,5.10,8.34,3.63,9.59,2.68,12.75,14.11,1.65,9.01
2019,8.65,9.25,11.02,3.80,15.62,3.99,11.00,15.41,12.68,16.65,0.95,7.83,8.94,4.22,16.07,3.01,4.96,8.41,3.51,9.67,2.59,12.81,14.22,1.61,9.09
2020,8.72,9.39,11.19,3.83,15.69,4.11,11.09,15.45,12.69,16.73,0.83,7.89,8.95,4.33,16.03,3.19,5.12,8.44,3.55,9.75,2.63,12.88,14.21,1.63,9.14
2021,8.72,9.36,11.09,3.90,15.69,4.20,10.93,15.44,12.61,16.77,0.90,7.91,8.99,4.36,15.93,3.19,5.17,8.52,3.72,9.67,2.65,12.77,14.12,1.54,9.14
2022,8.63,9.17,10.81,3.67,15.62,4.13,10.89,15.33,12.54,16.72,0.89,7.90,8.79,4.27,16.05,3.19,5.12,8.37,3.44,9.61,2.65,12.73,14.01,1.58,8.95
2023,8.80,9.36,11.01,3.88,15.81,4.30,11.08,15.59,12.66,16.81,1.07,7.99,8.97,4.37,16.05,3.32,5.29,8.58,3.70,9.73,2.78,12.96,14.28,1.74,9.15
2024,8.79,9.29,10.90,3.99,15.90,4.24,11.07,15.52,12.70,16.87,1.15,7.87,9.05,4.30,16.16,3.23,5.17,8.65,3.66,9.73,2.79,12.95,14.31,1.65,9.18
2025,8.75,9.39,11.17,3.90,15.73,4.24,11.04,15.46,12.73,16.75,0.98,7.80,8.98,4.31,16.02,3.23,5.12,8.52,3.65,9.63,2.77,12.96,14.28,1.69,9.14
2026,8.81,9.37,10.98,3.99,15.76,4.33,11.10,15.48,12.67,16.76,1.09,7.99,9.11,4.45,15.95,3.36,5.24,8.56,3.77,9.82,2.87,12.88,14.32,1.83,9.20
2027,8.80,9.39,11.06,4.00,15.79,4.27,11.04,15.50,12.67,16.81,1.06,7.91,9.08,4.40,16.03,3.27,5.22,8.60,3.80,9.70,2.85,12.95,14.20,1.78,9.25
2028,8.87,9.47,11.29,4.01,15.89,4.36,11.08,15.56,12.85,16.84,1.22,8.04,9.03,4.49,16.20,3.41,5.33,8.67,3.77,9.73,2.89,12.99,14.31,1.71,9.34
2029,8.92,9.39,11.06,4.21,15.99,4.38,11.23,15.71,12.73,17.09,1.46,8.05,9.30,4.44,16.13,3.33,5.30,8.87,3.88,9.88,2.84,13.00,14.41,1.71,9.42
2030,8.97,9.61,11.43,4.13,15.86,4.51,11.25,15.66,12.91,16.86,1.16,8.16,9.20,4.56,16.14,3.53,5.47,8.65,3.87,9.88,2.97,13.12,14.40,1.83,9.29
2031,8.97,9.59,11.27,4.10,15.92,4.56,11.25,15.63,12.85,16.79,1.17,8.18,9.15,4.61,16.22,3.69,5.53,8.68,3.84,9.83,3.00,13.09,14.37,1.80,9.25
2032,8.97,9.48,11.22,4.28,16.12,4.39,11.19,15.82,12.91,17.12,1.43,8.01,9.29,4.42,16.53,3.28,5.29,8.91,3.90,9.86,2.95,13.11,14.50,1.75,9.45
2033,9.07,9.72,11.38,4.21,16.06,4.48,11.38,15.79,12.98,17.15,1.39,8.28,9.32,4.67,16.29,3.47,5.51,8.84,3.98,9.97,3.05,13.15,14.50,2.00,9.52
2034,8.94,9.59,11.22,4.15,16.00,4.41,11.16,15.66,12.88,17.08,1.38,8.08,9.18,4.48,16.31,3.39,5.36,8.80,3.84,9.80,2.88,13.00,14.35,1.86,9.35
2035,8.99,9.56,11.26,4.17,16.10,4.43,11.21,15.77,12.94,17.10,1.40,8.11,9.16,4.54,16.30,3.39,5.36,8.86,3.89,9.86,2.93,13.11,14.51,1.82,9.38
2036,9.03,9.61,11.43,4.20,16.05,4.55,11.27,15.80,13.04,17.06,1.31,8.04,9.22,4.59,16.28,3.65,5.49,8.80,3.90,9.89,3.01,13.22,14.50,1.84,9.44
2037,9.20,9.72,11.42,4.46,16.30,4.60,11.43,16.01,13.09,17.35,1.67,8.37,9.45,4.72,16.70,3.58,5.59,9.18,4.14,10.10,3.12,13.28,14.71,1.97,9.63
2038,9.10,9.62,11.21,4.28,16.06,4.56,11.34,15.91,13.02,17.02,1.49,8.27,9.35,4.71,16.60,3.57,5.51,8.94,4.04,10.11,3.12,13.20,14.52,1.99,9.60
2039,9.05,9.53,11.29,4.40,16.04,4.52,11.30,15.79,12.90,17.12,1.52,8.18,9.39,4.61,16.54,3.53,5.46,8.98,4.05,9.97,2.99,13.08,14.52,1.86,9.66
2040,9.22,9.72,11.40,4.63,16.24,4.57,11.50,15.85,13.07,17.29,1.72,8.28,9.62,4.80,16.45,3.78,5.62,9.22,4.23,10.14,3.06,13.32,14.74,1.93,9.81
