Variable:,tas
,"Cook Islands","Administrative unit not available"
2015,24.45,24.65
2016,24.47,24.65
2017,24.39,24.57
2018,24.67,24.84
2019,24.48,24.65
2020,24.57,24.76
2021,24.44,24.62
2022,24.73,24.90
2023,24.66,24.86
2024,24.60,24.79
2025,24.45,24.64
2026,24.73,24.90
2027,24.83,24.98
2028,24.55,24.75
2029,24.82,25.02
2030,24.45,24.65
2031,24.62,24.80
2032,24.84,25.02
2033,24.65,24.84
2034,24.83,25.00
2035,24.47,24.69
2036,24.74,24.97
2037,24.75,24.94
2038,24.62,24.83
2039,24.63,24.82
2040,24.70,24.89
2041,24.95,25.15
2042,25.00,25.14
2043,24.74,24.93
2044,24.79,24.98
2045,24.65,24.84
2046,24.90,25.06
2047,24.59,24.79
2048,24.72,24.92
2049,24.80,25.00
2050,24.64,24.83
2051,24.51,24.72
2052,24.88,25.05
2053,24.82,25.00
2054,24.81,24.99
2055,24.66,24.86
2056,24.67,24.85
2057,24.78,24.97
2058,24.80,24.96
2059,24.57,24.78
2060,24.90,25.10
2061,24.82,25.02
2062,25.00,25.15
2063,24.88,25.05
2064,24.58,24.77
2065,24.85,25.02
2066,24.85,25.01
2067,24.83,25.00
2068,24.81,24.99
2069,24.81,24.98
2070,24.73,24.92
2071,24.84,25.02
2072,24.91,25.08
2073,24.65,24.83
2074,24.77,24.95
2075,24.76,24.98
2076,24.60,24.80
2077,24.78,24.96
2078,24.97,25.17
2079,24.80,24.95
2080,24.98,25.15
2081,24.77,24.94
2082,24.64,24.82
2083,24.67,24.85
2084,24.74,24.91
2085,24.77,24.93
2086,24.81,25.00
2087,24.74,24.91
2088,24.65,24.85
2089,24.61,24.80
2090,24.54,24.76
2091,24.64,24.82
2092,24.80,24.98
2093,24.58,24.78
2094,24.58,24.79
2095,24.66,24.81
2096,24.82,24.98
2097,24.78,24.95
2098,24.51,24.70
2099,24.54,24.67
2100,24.41,24.62
