Variable:,tasmax
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
2087,33.50,33.96,33.96,33.96,33.96,33.87,33.96,33.96,33.96,33.96
2088,33.37,33.83,33.83,33.83,33.83,33.74,33.83,33.83,33.83,33.83
2089,33.40,33.76,33.76,33.76,33.76,33.69,33.76,33.76,33.76,33.76
2090,33.49,33.85,33.85,33.85,33.85,33.78,33.85,33.85,33.85,33.85
2091,33.58,33.95,33.95,33.95,33.95,33.88,33.95,33.95,33.95,33.95
2092,33.46,33.89,33.89,33.89,33.89,33.81,33.89,33.89,33.89,33.89
2093,33.45,34.10,34.10,34.10,34.10,33.98,34.10,34.10,34.10,34.10
2094,33.67,34.02,34.02,34.02,34.02,33.95,34.02,34.02,34.02,34.02
2095,33.56,33.97,33.97,33.97,33.97,33.89,33.97,33.97,33.97,33.97
2096,33.57,34.05,34.05,34.05,34.05,33.96,34.05,34.05,34.05,34.05
2097,33.46,33.95,33.95,33.95,33.95,33.86,33.95,33.95,33.95,33.95
2098,33.34,33.77,33.77,33.77,33.77,33.69,33.77,33.77,33.77,33.77
2099,33.53,33.94,33.94,33.94,33.94,33.86,33.94,33.94,33.94,33.94
2100,33.59,34.04,34.04,34.04,34.04,33.96,34.04,34.04,34.04,34.04
