Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
2015,16.65,17.62,20.80,17.84,20.80,20.82,20.80
2016,16.91,17.87,21.06,18.11,21.06,21.08,21.06
2017,16.75,17.71,20.87,17.92,20.87,20.89,20.87
2018,16.81,17.77,20.95,17.97,20.95,20.95,20.95
2019,16.72,17.70,20.87,17.88,20.87,20.87,20.87
2020,16.88,17.86,21.03,18.05,21.03,21.04,21.03
2021,17.01,17.97,21.13,18.16,21.13,21.13,21.13
2022,17.05,18.02,21.23,18.24,21.23,21.25,21.23
2023,17.02,17.99,21.15,18.18,21.15,21.16,21.15
2024,17.02,18.01,21.24,18.18,21.24,21.23,21.24
2025,17.37,18.35,21.52,18.52,21.52,21.51,21.52
2026,17.27,18.24,21.40,18.46,21.40,21.43,21.40
2027,17.13,18.09,21.25,18.31,21.25,21.28,21.25
2028,17.19,18.17,21.41,18.34,21.41,21.39,21.41
2029,17.16,18.13,21.32,18.35,21.32,21.35,21.32
2030,17.32,18.29,21.50,18.51,21.50,21.52,21.50
2031,17.28,18.26,21.43,18.45,21.43,21.44,21.43
2032,17.25,18.23,21.40,18.43,21.40,21.42,21.40
2033,17.31,18.28,21.43,18.47,21.43,21.44,21.43
2034,17.38,18.34,21.47,18.55,21.47,21.50,21.47
2035,17.50,18.46,21.61,18.64,21.61,21.61,21.61
2036,17.44,18.41,21.55,18.57,21.55,21.54,21.55
2037,17.43,18.39,21.49,18.54,21.49,21.48,21.49
2038,17.28,18.22,21.30,18.43,21.30,21.33,21.30
2039,17.29,18.26,21.44,18.48,21.44,21.47,21.44
2040,17.64,18.59,21.74,18.79,21.74,21.75,21.74
2041,17.44,18.41,21.58,18.60,21.58,21.59,21.58
2042,17.30,18.26,21.38,18.44,21.38,21.39,21.38
2043,17.29,18.27,21.45,18.47,21.45,21.47,21.45
2044,17.38,18.35,21.54,18.55,21.54,21.55,21.54
2045,17.59,18.58,21.76,18.74,21.76,21.76,21.76
2046,17.65,18.60,21.67,18.77,21.67,21.68,21.67
2047,17.55,18.54,21.77,18.73,21.77,21.78,21.77
2048,17.57,18.53,21.65,18.71,21.65,21.66,21.65
2049,17.67,18.63,21.79,18.85,21.79,21.82,21.79
2050,17.59,18.54,21.68,18.75,21.68,21.70,21.68
2051,17.62,18.59,21.75,18.76,21.75,21.75,21.75
2052,17.84,18.81,21.94,18.98,21.94,21.95,21.94
2053,17.47,18.44,21.61,18.65,21.61,21.64,21.61
2054,17.84,18.78,21.91,19.00,21.91,21.94,21.91
2055,17.57,18.54,21.66,18.70,21.66,21.66,21.66
2056,17.71,18.68,21.81,18.84,21.81,21.81,21.81
2057,17.83,18.79,21.94,18.99,21.94,21.95,21.94
2058,17.81,18.77,21.89,18.92,21.89,21.87,21.89
2059,17.49,18.46,21.63,18.64,21.63,21.63,21.63
2060,17.81,18.79,21.97,18.92,21.97,21.94,21.97
2061,17.86,18.83,21.97,18.98,21.97,21.95,21.97
2062,17.92,18.87,21.97,19.04,21.97,21.97,21.97
2063,17.76,18.73,21.89,18.93,21.89,21.91,21.89
2064,17.73,18.69,21.84,18.90,21.84,21.86,21.84
2065,17.46,18.43,21.60,18.62,21.60,21.61,21.60
2066,17.58,18.55,21.72,18.71,21.72,21.71,21.72
2067,17.63,18.59,21.73,18.77,21.73,21.74,21.73
2068,17.85,18.81,22.00,19.02,22.00,22.01,22.00
2069,17.89,18.85,22.00,19.06,22.00,22.02,22.00
2070,17.68,18.65,21.80,18.83,21.80,21.81,21.80
2071,17.72,18.69,21.81,18.90,21.81,21.84,21.81
2072,17.73,18.69,21.80,18.82,21.80,21.78,21.80
2073,17.56,18.51,21.62,18.70,21.62,21.64,21.62
2074,17.69,18.67,21.85,18.83,21.85,21.85,21.85
2075,17.67,18.63,21.77,18.83,21.77,21.79,21.77
2076,17.72,18.71,21.93,18.89,21.93,21.93,21.93
2077,17.83,18.81,22.03,19.00,22.03,22.03,22.03
2078,17.81,18.75,21.84,18.95,21.84,21.85,21.84
2079,17.67,18.63,21.76,18.79,21.76,21.75,21.76
2080,17.67,18.65,21.77,18.79,21.77,21.77,21.77
2081,17.93,18.87,21.92,19.03,21.92,21.92,21.92
2082,17.77,18.73,21.87,18.90,21.87,21.86,21.87
2083,17.72,18.69,21.79,18.84,21.79,21.79,21.79
2084,17.76,18.71,21.88,18.94,21.88,21.90,21.88
2085,17.77,18.72,21.78,18.87,21.78,21.78,21.78
2086,17.78,18.73,21.85,18.91,21.85,21.85,21.85
2087,17.77,18.72,21.77,18.87,21.77,21.77,21.77
2088,17.80,18.76,21.89,18.95,21.89,21.90,21.89
2089,17.52,18.46,21.55,18.64,21.55,21.56,21.55
2090,17.79,18.74,21.85,18.93,21.85,21.86,21.85
2091,17.61,18.57,21.72,18.77,21.72,21.74,21.72
2092,17.58,18.54,21.67,18.71,21.67,21.67,21.67
2093,17.66,18.64,21.85,18.86,21.85,21.87,21.85
2094,17.59,18.58,21.78,18.73,21.78,21.75,21.78
2095,17.64,18.61,21.78,18.81,21.78,21.80,21.78
2096,17.63,18.59,21.76,18.78,21.76,21.76,21.76
2097,17.63,18.58,21.70,18.77,21.70,21.70,21.70
2098,17.73,18.69,21.84,18.87,21.84,21.84,21.84
2099,17.76,18.69,21.75,18.88,21.75,21.77,21.75
2100,17.59,18.57,21.80,18.76,21.80,21.80,21.80
