Variable:,tasmax
,"Norfolk Island","Administrative unit not available"
2015,21.69,21.35
2016,21.74,21.34
2017,21.60,21.28
2018,21.80,21.45
2019,21.93,21.54
2020,21.82,21.48
2021,21.83,21.46
2022,21.81,21.39
2023,21.91,21.47
2024,21.91,21.53
2025,22.06,21.66
2026,22.02,21.59
2027,21.92,21.56
2028,21.89,21.56
2029,22.07,21.69
2030,22.18,21.78
2031,22.02,21.63
2032,22.05,21.70
2033,22.21,21.80
2034,22.20,21.77
2035,22.19,21.78
2036,22.28,21.84
2037,22.18,21.87
2038,22.21,21.89
2039,22.21,21.84
2040,22.32,21.99
2041,22.39,21.99
2042,22.38,21.97
2043,22.36,22.01
2044,22.31,21.93
2045,22.41,22.01
2046,22.47,22.06
2047,22.49,22.13
2048,22.43,21.99
2049,22.50,22.08
2050,22.47,22.14
2051,22.54,22.14
2052,22.51,22.07
2053,22.46,22.05
2054,22.62,22.10
2055,22.63,22.20
2056,22.64,22.23
2057,22.73,22.35
2058,22.59,22.16
2059,22.60,22.14
2060,22.67,22.33
2061,22.76,22.40
2062,22.65,22.27
2063,22.80,22.39
2064,22.83,22.52
2065,22.69,22.28
2066,22.88,22.55
2067,22.75,22.37
2068,22.91,22.55
2069,22.89,22.55
2070,22.90,22.50
2071,22.72,22.36
2072,22.77,22.35
2073,22.75,22.36
2074,23.01,22.64
2075,22.94,22.58
2076,22.84,22.45
2077,22.97,22.63
2078,23.11,22.70
2079,22.92,22.55
2080,23.06,22.72
2081,23.14,22.84
2082,23.04,22.68
2083,23.11,22.65
2084,23.02,22.61
2085,23.09,22.75
2086,23.18,22.77
2087,23.08,22.71
2088,23.03,22.68
2089,23.02,22.63
2090,23.14,22.79
2091,23.22,22.86
2092,23.20,22.82
2093,23.13,22.76
2094,23.17,22.76
2095,23.13,22.77
2096,23.23,22.87
2097,23.19,22.78
2098,23.24,22.88
2099,23.30,22.98
2100,23.20,22.85
