Variable:,tasmin
,Nauru,"Administrative unit not available"
2015,25.23,25.41
2016,25.44,25.64
2017,25.56,25.75
2018,25.29,25.48
2019,25.52,25.71
2020,25.55,25.74
2021,25.54,25.63
2022,25.58,25.70
2023,25.58,25.73
2024,25.81,25.95
2025,25.98,26.15
2026,25.82,25.98
2027,25.83,26.00
2028,25.69,25.88
2029,25.73,25.88
2030,25.72,25.92
2031,25.72,25.87
2032,25.19,25.37
2033,25.75,25.95
2034,25.91,26.05
2035,25.86,26.02
2036,25.63,25.77
2037,25.74,25.91
2038,25.84,26.06
2039,25.90,26.04
2040,25.85,26.00
2041,25.62,25.78
2042,25.63,25.80
2043,25.69,25.88
2044,25.85,26.03
2045,25.84,25.99
2046,25.77,25.96
2047,25.79,25.99
2048,25.86,26.06
2049,25.68,25.84
2050,25.80,25.97
2051,25.85,25.97
2052,25.86,26.00
2053,25.62,25.79
2054,25.62,25.78
2055,25.84,26.00
2056,25.87,26.04
2057,25.83,26.01
2058,25.94,26.10
2059,25.74,25.93
2060,25.72,25.88
2061,25.88,26.01
2062,25.74,25.91
2063,26.00,26.15
2064,25.73,25.90
2065,25.52,25.71
2066,25.84,26.01
2067,25.90,26.07
2068,25.70,25.89
2069,25.82,26.05
2070,25.76,25.93
2071,25.70,25.89
2072,25.63,25.84
2073,25.88,26.11
2074,25.70,25.88
2075,25.75,25.95
2076,25.95,26.13
2077,25.82,26.01
2078,25.88,26.06
2079,26.00,26.16
2080,25.73,25.90
2081,25.63,25.76
2082,25.73,25.87
2083,25.63,25.81
2084,25.99,26.18
2085,25.50,25.69
2086,25.66,25.83
2087,25.69,25.85
2088,25.77,25.95
2089,25.74,25.93
2090,25.69,25.86
2091,25.69,25.82
2092,25.51,25.69
2093,25.57,25.76
2094,25.76,25.92
2095,25.62,25.80
2096,25.47,25.65
2097,25.46,25.63
2098,25.66,25.83
2099,25.97,26.15
2100,25.78,25.92
