Variable:,tasmax
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,31.28,25.52,30.91,30.73,29.18,33.36,29.43,29.28,30.00
2016,31.32,25.43,30.87,30.84,28.97,33.41,29.22,29.26,29.84
2017,31.38,25.52,31.07,30.89,29.05,33.49,29.28,29.32,29.93
2018,31.36,25.48,30.98,30.83,29.11,33.52,29.34,29.28,30.07
2019,31.31,25.31,30.94,30.73,28.90,33.56,29.24,29.18,29.78
2020,31.41,25.63,31.03,30.94,29.32,33.48,29.42,29.34,30.07
2021,31.37,25.66,31.09,30.88,29.26,33.52,29.36,29.26,29.85
2022,31.40,25.66,31.13,30.86,29.35,33.57,29.35,29.29,29.91
2023,31.48,25.66,31.10,30.99,29.21,33.60,29.40,29.38,30.07
2024,31.64,25.88,31.25,31.09,29.45,33.76,29.67,29.62,30.28
2025,31.53,25.86,31.24,31.01,29.43,33.64,29.52,29.52,30.09
2026,31.51,25.68,31.21,30.99,29.20,33.64,29.49,29.41,30.27
2027,31.51,25.73,31.18,31.01,29.31,33.67,29.39,29.38,30.01
2028,31.60,25.84,31.26,31.08,29.32,33.65,29.63,29.60,30.21
2029,31.60,25.85,31.21,31.07,29.41,33.70,29.70,29.59,30.27
2030,31.61,25.82,31.25,31.09,29.44,33.77,29.56,29.54,30.18
2031,31.75,25.97,31.34,31.24,29.57,33.79,29.76,29.79,30.41
2032,31.67,25.91,31.28,31.15,29.51,33.80,29.59,29.60,30.26
2033,31.77,25.97,31.38,31.27,29.52,33.91,29.82,29.68,30.40
2034,31.70,25.95,31.39,31.16,29.64,33.83,29.71,29.69,30.27
2035,31.68,25.83,31.39,31.11,29.55,33.91,29.72,29.58,30.29
2036,31.73,25.97,31.37,31.22,29.57,33.84,29.74,29.71,30.32
2037,31.79,26.00,31.39,31.25,29.64,33.86,29.84,29.81,30.56
2038,31.75,25.85,31.36,31.22,29.44,33.87,29.75,29.67,30.37
2039,31.82,25.90,31.44,31.32,29.46,33.95,29.86,29.73,30.48
2040,31.84,26.05,31.51,31.34,29.58,33.97,29.77,29.76,30.41
2041,31.92,26.16,31.56,31.42,29.76,33.96,29.94,29.94,30.58
2042,31.98,26.15,31.61,31.48,29.73,34.09,29.98,29.95,30.64
2043,31.84,26.01,31.52,31.32,29.56,33.96,29.87,29.77,30.46
2044,31.86,26.01,31.59,31.33,29.66,34.02,29.88,29.76,30.44
2045,32.07,26.30,31.70,31.58,29.95,34.19,29.96,29.98,30.57
2046,32.23,26.49,31.73,31.73,30.07,34.31,30.39,30.25,30.92
2047,32.05,26.28,31.64,31.51,29.92,34.23,30.12,29.96,30.70
2048,32.05,26.28,31.72,31.50,29.97,34.17,30.23,30.04,30.82
2049,32.14,26.32,31.80,31.59,29.94,34.31,30.14,30.08,30.74
2050,32.01,26.27,31.64,31.45,29.87,34.16,30.02,29.98,30.68
2051,32.25,26.53,31.83,31.77,30.04,34.35,30.27,30.22,30.80
2052,32.28,26.65,31.97,31.81,30.21,34.33,30.35,30.28,30.91
2053,32.10,26.40,31.79,31.53,30.03,34.19,30.16,30.10,30.78
2054,32.14,26.34,31.82,31.64,29.96,34.23,30.19,30.08,30.87
2055,32.30,26.47,31.90,31.77,30.05,34.47,30.35,30.23,30.87
2056,32.14,26.35,31.84,31.59,30.02,34.25,30.20,30.10,30.89
2057,32.38,26.63,31.90,31.92,30.27,34.31,30.51,30.53,31.14
2058,32.24,26.45,31.84,31.70,30.14,34.30,30.48,30.29,31.18
2059,32.36,26.66,31.96,31.87,30.21,34.37,30.51,30.44,31.12
2060,32.25,26.54,31.95,31.75,30.22,34.34,30.31,30.20,30.84
2061,32.33,26.44,31.98,31.83,30.14,34.43,30.49,30.28,30.93
2062,32.47,26.71,32.10,31.99,30.29,34.62,30.54,30.39,30.96
2063,32.47,26.72,32.15,31.93,30.41,34.59,30.53,30.43,31.11
2064,32.45,26.70,32.10,31.93,30.37,34.54,30.49,30.46,31.18
2065,32.48,26.60,32.10,31.97,30.29,34.61,30.44,30.39,31.00
2066,32.29,26.45,31.99,31.79,30.15,34.43,30.40,30.16,30.96
2067,32.54,26.70,32.12,32.01,30.33,34.65,30.56,30.55,31.24
2068,32.51,26.66,32.17,31.98,30.23,34.61,30.66,30.51,31.32
2069,32.49,26.67,32.16,31.97,30.23,34.66,30.41,30.37,31.05
2070,32.46,26.67,32.08,31.94,30.39,34.54,30.50,30.47,31.14
2071,32.51,26.80,32.26,31.98,30.36,34.64,30.45,30.46,31.10
2072,32.62,26.92,32.31,32.10,30.60,34.70,30.65,30.64,31.25
2073,32.73,26.99,32.29,32.21,30.59,34.81,30.79,30.77,31.50
2074,32.47,26.72,32.15,31.92,30.40,34.67,30.55,30.34,31.00
2075,32.54,26.77,32.31,32.01,30.46,34.72,30.60,30.42,31.25
2076,32.73,27.12,32.32,32.27,30.63,34.73,30.84,30.79,31.47
2077,32.71,26.99,32.33,32.23,30.53,34.77,30.71,30.68,31.36
2078,32.57,26.78,32.20,32.05,30.44,34.65,30.64,30.56,31.21
2079,32.68,27.05,32.29,32.18,30.58,34.75,30.72,30.67,31.37
2080,32.57,26.79,32.23,31.99,30.47,34.68,30.68,30.63,31.30
2081,32.69,26.80,32.49,32.15,30.52,34.89,30.72,30.56,31.27
2082,32.83,26.95,32.43,32.34,30.58,34.95,30.76,30.79,31.40
2083,32.76,26.89,32.37,32.26,30.53,34.85,30.79,30.70,31.42
2084,32.71,26.90,32.37,32.18,30.53,34.88,30.61,30.63,31.29
2085,32.72,26.86,32.38,32.18,30.41,34.79,30.83,30.73,31.38
2086,32.97,27.18,32.47,32.46,30.81,35.10,30.93,30.96,31.53
2087,32.76,26.94,32.41,32.26,30.71,34.85,30.97,30.76,31.54
2088,32.80,26.96,32.42,32.26,30.64,34.98,30.79,30.73,31.42
2089,32.77,26.89,32.34,32.24,30.55,34.95,30.87,30.67,31.40
2090,32.80,27.08,32.41,32.30,30.73,34.92,30.73,30.80,31.48
2091,32.81,27.15,32.48,32.25,30.95,34.89,31.10,30.89,31.61
2092,32.79,26.81,32.38,32.24,30.40,34.94,30.84,30.74,31.64
2093,32.94,27.17,32.45,32.41,30.76,35.03,31.03,30.92,31.69
2094,32.92,27.23,32.51,32.47,30.86,34.93,31.00,31.00,31.69
2095,32.94,27.27,32.50,32.43,30.90,34.96,31.11,31.05,31.77
2096,32.91,26.94,32.54,32.39,30.69,35.09,30.96,30.83,31.51
2097,32.88,27.09,32.49,32.38,30.77,35.03,30.85,30.81,31.47
2098,32.81,26.98,32.41,32.33,30.74,34.95,31.01,30.76,31.50
2099,32.83,27.08,32.39,32.34,30.66,34.90,30.98,30.85,31.64
2100,32.98,27.26,32.51,32.47,30.88,35.02,31.10,31.01,31.79
