Variable:,tasmin
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
2015,5.28,4.41,7.20,6.03,3.04,6.57,4.09,3.04,7.04,4.39,7.39,5.84,7.34,7.15,4.22,8.54,4.05,6.47,7.39,6.58,7.14,6.51,2.80,5.68,7.37,4.37,4.10,6.86,3.61,2.08,7.53,5.68,4.61,5.31,4.50,1.21,6.82,7.98,8.34,5.19,5.88,5.51
2016,4.94,4.12,7.03,5.73,2.59,6.36,3.70,2.56,6.64,4.00,6.96,5.45,6.90,6.98,3.90,8.12,3.63,6.06,7.19,6.20,6.75,6.36,2.32,5.49,6.93,3.90,3.77,6.69,3.23,1.60,7.24,5.28,4.36,5.10,4.27,0.71,6.48,7.84,8.02,4.81,5.67,5.12
2017,5.08,4.17,7.10,5.75,2.79,6.41,3.90,2.93,6.77,4.10,7.13,5.57,7.13,6.99,3.97,8.26,3.78,6.17,7.14,6.29,6.91,6.31,2.55,5.49,7.16,4.24,3.92,6.62,3.36,1.86,7.26,5.39,4.44,5.17,4.27,1.00,6.61,7.91,8.11,4.96,5.64,5.23
2018,5.00,4.21,6.88,5.73,2.66,6.33,3.93,2.80,6.62,4.08,6.95,5.37,6.93,6.93,4.01,8.20,3.67,6.07,7.17,6.16,6.74,6.33,2.51,5.50,6.97,4.07,3.95,6.62,3.41,1.76,7.22,5.27,4.46,5.16,4.32,0.92,6.48,7.78,8.02,4.82,5.66,5.06
2019,5.16,4.31,7.15,5.90,2.87,6.48,4.00,2.90,6.84,4.24,7.16,5.67,7.14,7.15,4.10,8.31,3.90,6.31,7.39,6.39,6.99,6.50,2.67,5.64,7.17,4.26,4.00,6.89,3.54,1.91,7.44,5.50,4.51,5.20,4.42,1.03,6.72,8.00,8.14,5.07,5.80,5.34
2020,5.34,4.47,7.46,6.01,3.00,6.85,4.21,3.15,7.00,4.33,7.26,5.79,7.24,7.33,4.31,8.40,3.99,6.37,7.41,6.58,7.07,6.58,2.73,5.80,7.27,4.34,4.30,6.95,3.66,2.10,7.52,5.60,4.87,5.61,4.57,1.30,6.81,8.25,8.28,5.24,5.92,5.49
2021,5.40,4.44,7.30,6.03,3.16,6.67,4.23,3.26,7.12,4.37,7.36,5.86,7.35,7.26,4.23,8.64,4.09,6.44,7.53,6.69,7.17,6.67,2.92,5.80,7.38,4.57,4.24,6.94,3.72,2.21,7.61,5.65,4.74,5.47,4.58,1.31,6.90,8.18,8.47,5.37,5.94,5.58
2022,5.75,4.89,7.81,6.45,3.42,7.14,4.62,3.59,7.33,4.82,7.62,6.19,7.58,7.77,4.70,8.83,4.45,6.82,7.87,6.89,7.43,7.05,3.19,6.22,7.61,4.87,4.65,7.43,4.09,2.51,7.91,6.04,5.17,5.90,5.00,1.73,7.16,8.69,8.69,5.59,6.36,5.87
2023,5.21,4.34,7.34,5.95,2.95,6.68,3.92,2.85,7.00,4.31,7.27,5.81,7.27,7.30,4.11,8.43,3.96,6.31,7.39,6.54,6.98,6.58,2.59,5.77,7.30,4.22,3.97,6.92,3.47,1.89,7.44,5.60,4.58,5.35,4.48,0.95,6.67,8.15,8.25,5.21,5.87,5.48
2024,5.37,4.55,7.31,6.17,2.98,6.70,4.15,3.12,7.07,4.47,7.38,5.87,7.36,7.34,4.32,8.64,4.08,6.52,7.61,6.59,7.20,6.76,2.81,5.91,7.40,4.37,4.16,7.06,3.70,2.07,7.72,5.72,4.72,5.44,4.69,1.24,6.95,8.15,8.44,5.17,6.09,5.52
