Variable:,tasmin
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
2015,14.71,20.78,20.18,8.56,6.87,7.90,0.61,0.72,18.02,9.85
2016,14.89,20.89,20.28,8.92,7.12,8.01,0.69,0.85,18.27,10.22
2017,15.13,21.29,20.64,8.92,7.32,8.26,0.75,0.99,18.46,10.27
2018,14.87,21.02,20.32,8.72,7.07,8.09,0.58,0.71,18.20,10.09
2019,14.79,20.96,20.24,8.67,6.98,7.96,0.57,0.83,18.09,10.03
2020,15.22,21.48,20.85,9.05,7.54,8.52,0.95,1.08,18.42,10.25
2021,15.01,21.04,20.37,8.88,7.26,8.30,0.89,1.06,18.33,10.27
2022,15.09,21.19,20.47,8.85,7.37,8.33,0.75,0.90,18.49,10.05
2023,15.10,21.24,20.63,8.86,7.30,8.30,0.91,1.06,18.41,10.18
2024,14.98,21.08,20.40,8.83,7.21,8.23,0.80,1.03,18.27,10.07
2025,15.24,21.26,20.69,9.19,7.46,8.41,0.99,1.15,18.59,10.47
2026,15.35,21.47,20.84,9.12,7.53,8.53,1.02,1.30,18.66,10.40
2027,15.12,21.14,20.54,8.98,7.31,8.30,0.89,1.15,18.49,10.28
2028,15.53,21.60,20.99,9.26,7.58,8.67,1.25,1.27,18.97,10.58
2029,15.40,21.51,20.90,9.18,7.42,8.54,1.21,1.46,18.74,10.50
2030,15.45,21.67,20.98,9.18,7.58,8.56,1.02,1.14,18.81,10.45
2031,15.39,21.87,20.86,9.17,7.57,8.56,1.02,1.11,18.71,10.41
2032,15.05,21.24,20.52,8.81,7.26,8.25,0.68,0.88,18.39,10.09
2033,15.33,21.46,20.79,9.06,7.41,8.48,1.06,1.13,18.75,10.32
2034,15.64,21.73,21.17,9.37,7.72,8.67,1.22,1.41,19.09,10.76
2035,15.57,21.69,21.14,9.41,7.79,8.79,1.17,1.37,18.92,10.62
2036,15.19,21.37,20.59,9.02,7.37,8.43,0.91,1.15,18.56,10.18
2037,15.42,21.53,20.79,9.25,7.61,8.61,1.28,1.41,18.76,10.48
2038,15.53,21.72,21.02,9.33,7.84,8.82,1.16,1.41,18.82,10.43
2039,15.59,21.52,20.94,9.35,7.72,8.66,1.28,1.45,19.11,10.71
2040,15.48,21.63,20.97,9.19,7.63,8.63,1.07,1.27,18.86,10.50
2041,15.59,21.71,20.99,9.44,7.88,8.84,1.39,1.47,18.92,10.63
2042,15.37,21.47,20.85,9.15,7.57,8.58,1.11,1.23,18.72,10.41
2043,15.29,21.43,20.81,9.10,7.40,8.41,0.92,1.13,18.67,10.37
2044,15.62,21.72,21.11,9.29,7.71,8.74,1.25,1.44,19.07,10.54
2045,15.78,21.67,21.16,9.53,7.85,8.88,1.62,1.77,19.26,10.77
2046,15.49,21.65,20.92,9.34,7.78,8.72,1.13,1.45,18.82,10.56
2047,15.62,21.71,20.99,9.53,7.71,8.69,1.41,1.65,19.01,10.83
2048,15.55,21.71,21.00,9.42,7.90,8.82,1.13,1.37,18.85,10.69
2049,15.30,21.43,20.74,9.12,7.58,8.60,1.14,1.24,18.59,10.45
2050,15.52,21.62,20.91,9.15,7.74,8.72,1.38,1.52,18.91,10.35
2051,15.76,21.57,21.14,9.50,7.77,8.74,1.18,1.42,19.39,10.84
2052,15.47,21.71,20.95,9.27,7.49,8.59,1.04,1.26,18.85,10.50
2053,15.36,21.46,20.83,9.18,7.47,8.53,1.08,1.27,18.72,10.47
2054,15.46,21.51,20.88,9.21,7.65,8.67,1.29,1.41,18.81,10.45
2055,15.45,21.46,20.92,9.31,7.65,8.57,1.04,1.26,18.82,10.62
2056,15.46,21.65,20.96,9.20,7.56,8.60,1.21,1.27,18.81,10.47
2057,15.48,21.55,21.02,9.26,7.51,8.52,1.08,1.31,18.90,10.71
2058,15.56,21.66,21.01,9.21,7.66,8.67,1.22,1.36,19.00,10.61
2059,15.72,21.65,21.27,9.37,7.80,8.83,1.32,1.42,19.20,10.64
2060,15.42,21.58,20.89,9.22,7.61,8.62,1.14,1.39,18.76,10.68
2061,15.50,21.57,21.01,9.27,7.55,8.51,0.89,1.11,18.98,10.65
2062,15.51,21.55,20.97,9.35,7.73,8.69,1.26,1.44,18.84,10.59
2063,15.70,21.96,21.27,9.39,7.78,8.85,1.22,1.39,19.04,10.60
2064,15.41,21.42,20.95,9.25,7.75,8.62,1.10,1.27,18.72,10.53
2065,15.23,21.43,20.71,9.06,7.33,8.35,0.79,0.95,18.64,10.35
2066,15.34,21.51,20.88,9.06,7.48,8.46,0.88,1.06,18.74,10.53
2067,15.51,21.78,21.16,9.09,7.67,8.69,1.17,1.34,18.77,10.50
2068,15.65,21.81,21.13,9.34,7.74,8.78,1.25,1.40,19.06,10.58
2069,15.43,21.65,20.97,9.15,7.55,8.62,1.07,1.29,18.75,10.32
2070,15.45,21.63,21.00,9.13,7.59,8.63,1.10,1.31,18.75,10.36
2071,15.67,22.00,21.31,9.30,7.95,8.93,1.30,1.42,18.89,10.41
2072,15.07,21.15,20.57,8.88,7.27,8.34,0.93,1.01,18.37,10.18
2073,15.57,21.60,21.00,9.35,7.64,8.67,1.23,1.32,19.05,10.50
2074,15.54,21.67,21.03,9.29,7.79,8.79,1.22,1.34,18.87,10.56
2075,15.42,21.53,20.99,9.16,7.67,8.60,1.08,1.21,18.76,10.39
2076,15.38,21.62,20.95,9.08,7.58,8.58,0.94,1.15,18.67,10.34
2077,15.50,21.73,21.04,9.13,7.64,8.66,1.24,1.31,18.83,10.46
2078,15.23,21.07,20.51,9.15,7.54,8.44,1.25,1.43,18.61,10.63
2079,15.49,21.57,21.03,9.24,7.55,8.63,1.21,1.41,18.81,10.53
2080,15.34,21.67,20.89,9.07,7.61,8.63,1.03,1.13,18.57,10.37
2081,15.37,21.39,20.78,9.19,7.46,8.42,1.08,1.18,18.85,10.46
2082,15.34,21.44,20.83,9.12,7.54,8.57,1.14,1.33,18.64,10.36
2083,15.43,21.51,20.91,9.20,7.56,8.53,1.09,1.35,18.81,10.58
2084,15.48,21.39,20.91,9.23,7.36,8.45,0.94,1.16,19.07,10.56
2085,15.28,21.16,20.66,8.99,7.41,8.32,1.07,1.20,18.78,10.39
2086,15.18,21.27,20.68,8.87,7.39,8.37,0.85,0.96,18.58,10.14
2087,15.52,21.68,21.02,9.30,7.74,8.68,1.09,1.33,18.88,10.61
2088,15.18,21.38,20.64,9.06,7.26,8.29,0.91,1.11,18.53,10.46
2089,15.14,21.16,20.61,8.87,7.08,8.19,0.68,0.85,18.63,10.25
2090,15.21,21.34,20.66,8.98,7.45,8.46,1.04,1.13,18.54,10.25
2091,15.60,21.85,21.06,9.35,7.62,8.68,1.07,1.24,19.10,10.74
2092,15.10,21.21,20.61,8.71,7.17,8.30,0.91,1.02,18.40,10.12
2093,14.99,21.12,20.46,8.77,7.06,8.18,0.72,0.85,18.36,10.21
2094,15.37,21.48,20.82,9.10,7.55,8.53,0.96,1.14,18.78,10.38
2095,15.31,21.59,20.87,8.95,7.44,8.43,0.91,1.08,18.66,10.23
2096,15.20,21.39,20.69,8.93,7.50,8.52,1.02,1.12,18.45,10.13
2097,15.05,21.06,20.44,8.88,7.31,8.31,0.82,0.92,18.45,10.15
2098,15.16,21.26,20.57,8.88,7.37,8.38,0.94,1.06,18.52,10.16
2099,15.25,21.42,20.81,8.93,7.42,8.43,0.93,1.04,18.58,10.30
2100,15.39,21.37,20.87,9.18,7.56,8.51,1.00,1.20,18.79,10.48
