Variable:,tasmax
2015,30.38
2016,30.50
2017,30.73
2018,30.53
2019,30.58
2020,30.55
2021,30.63
2022,30.89
2023,30.72
2024,30.90
2025,30.65
2026,30.78
2027,30.76
2028,30.97
2029,31.01
2030,30.86
2031,31.09
2032,31.01
2033,30.99
2034,30.87
2035,30.84
2036,31.01
2037,31.19
2038,31.36
2039,31.30
2040,31.16
2041,31.09
2042,31.23
2043,31.11
2044,31.11
2045,31.14
2046,31.49
2047,31.38
2048,31.68
2049,31.62
2050,31.44
2051,31.43
2052,31.76
2053,31.60
2054,31.59
2055,31.64
2056,31.63
2057,31.86
2058,31.63
2059,32.00
2060,32.19
2061,31.67
2062,31.70
2063,31.92
2064,31.81
2065,31.85
2066,31.90
2067,31.76
2068,32.06
2069,32.08
2070,31.94
2071,32.10
2072,32.16
2073,32.15
2074,31.94
2075,32.01
2076,32.00
2077,32.31
2078,32.04
2079,32.05
2080,32.24
2081,32.18
2082,32.08
2083,32.19
2084,32.39
2085,32.35
2086,32.30
2087,32.20
2088,32.23
2089,32.48
2090,32.39
2091,32.25
2092,32.37
2093,32.35
2094,32.12
2095,32.38
2096,32.35
2097,32.35
2098,32.28
2099,32.43
2100,32.53
