Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,13.80,10.92,12.34,0.46,11.07,6.68,12.85,4.32,4.14,5.58,6.09,15.70,5.51,12.52,17.66,13.36,20.69,15.45,11.36,7.52,17.13,0.47,11.24,13.34,17.71,18.98
2016,13.88,10.97,12.39,0.50,11.33,6.89,12.88,4.48,4.17,5.74,6.10,16.01,5.54,12.55,17.71,13.50,20.78,15.48,11.62,7.48,17.16,0.58,11.20,13.56,17.70,19.04
2017,14.21,11.29,12.75,0.93,11.61,7.18,13.29,4.72,4.47,6.00,6.39,16.21,5.83,12.95,18.16,13.86,21.14,15.83,11.90,7.82,17.57,0.85,11.54,13.79,18.18,19.34
2018,13.97,11.06,12.36,0.55,11.21,6.84,12.92,4.56,4.24,5.69,6.15,15.80,5.57,12.57,17.68,13.42,20.93,15.66,11.54,7.58,17.10,0.62,11.33,13.41,17.64,19.22
2019,13.90,10.96,12.45,0.47,11.42,6.85,12.94,4.53,4.12,5.76,6.09,16.11,5.52,12.63,17.95,13.60,20.87,15.56,11.60,7.50,17.30,0.53,11.21,13.38,17.82,19.00
2020,14.42,11.38,12.84,1.09,11.79,7.38,13.31,4.84,4.72,6.25,6.69,16.30,6.14,13.03,18.23,13.89,21.36,16.10,12.08,8.11,17.65,1.09,11.77,13.98,18.17,19.60
2021,14.15,11.21,12.69,0.90,11.50,7.07,13.21,4.84,4.52,5.88,6.36,15.96,5.80,12.85,18.09,13.70,21.04,15.77,11.79,7.76,17.54,0.96,11.55,13.72,18.04,19.30
2022,14.22,11.30,12.71,0.96,11.48,7.11,13.23,4.75,4.59,5.99,6.49,16.07,5.90,12.89,18.11,13.75,21.11,15.88,11.77,7.91,17.51,0.94,11.56,13.77,18.03,19.39
2023,14.18,11.21,12.55,0.94,11.43,7.04,13.14,4.72,4.56,5.84,6.36,16.00,5.83,12.76,17.98,13.63,21.09,15.90,11.76,7.83,17.28,0.88,11.47,13.74,17.80,19.41
2024,14.18,11.31,12.73,0.81,11.54,7.08,13.27,4.72,4.45,5.94,6.40,16.16,5.83,12.94,18.12,13.77,21.13,15.74,11.83,7.83,17.51,0.84,11.60,13.80,18.07,19.33
2025,14.28,11.31,12.91,0.98,11.69,7.30,13.37,4.84,4.58,6.16,6.47,16.45,5.94,13.12,18.42,14.02,21.17,15.90,11.99,7.89,17.81,0.92,11.61,13.91,18.32,19.47
2026,14.43,11.38,12.79,1.13,11.60,7.27,13.29,4.99,4.77,6.14,6.58,16.14,6.09,12.99,18.12,13.84,21.42,16.09,11.84,8.03,17.53,1.09,11.73,13.72,18.06,19.65
2027,14.17,11.18,12.67,0.89,11.59,7.15,13.15,4.75,4.49,6.00,6.40,16.22,5.84,12.82,18.07,13.76,21.06,15.90,11.83,7.77,17.47,0.92,11.49,13.75,17.99,19.33
2028,14.46,11.43,13.07,1.20,11.88,7.38,13.46,5.14,4.82,6.27,6.75,16.53,6.15,13.19,18.40,14.10,21.29,16.21,12.20,8.12,17.84,1.25,11.76,14.18,18.34,19.67
2029,14.36,11.40,12.82,1.04,11.55,7.18,13.34,4.91,4.63,6.00,6.50,16.08,5.96,13.02,18.17,13.81,21.27,16.09,11.95,7.89,17.58,1.10,11.68,14.03,18.00,19.62
2030,14.52,11.67,13.06,1.22,11.74,7.39,13.66,5.01,4.78,6.27,6.71,16.36,6.11,13.31,18.64,14.06,21.43,16.25,12.04,8.07,17.97,1.13,11.90,13.98,18.43,19.67
2031,14.59,11.54,12.97,1.10,11.71,7.30,13.53,4.88,4.82,6.15,6.69,16.26,6.10,13.21,18.44,13.89,21.62,16.27,11.94,8.10,17.84,1.18,11.86,13.80,18.41,19.83
2032,14.12,11.03,12.36,0.68,11.16,6.72,12.83,4.58,4.47,5.61,6.27,15.79,5.64,12.56,17.79,13.37,21.19,15.90,11.41,7.65,17.16,0.74,11.39,13.32,17.66,19.41
2033,14.40,11.43,12.98,1.04,11.83,7.39,13.44,4.96,4.61,6.27,6.58,16.52,6.03,13.14,18.45,14.08,21.35,15.98,12.07,8.01,17.86,1.01,11.69,14.09,18.42,19.50
2034,14.49,11.45,12.92,1.14,11.79,7.34,13.43,5.02,4.75,6.18,6.61,16.43,6.06,13.09,18.35,13.98,21.45,16.18,12.11,8.04,17.80,1.19,11.73,14.08,18.27,19.66
