Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,24.43,24.72,24.01,24.01,24.01,24.01,24.01,24.01,24.01,24.03,24.01
2016,24.49,24.77,24.12,24.12,24.12,24.12,24.12,24.12,24.12,24.14,24.12
2017,24.66,24.90,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.28,24.26
2018,24.62,24.91,24.24,24.24,24.24,24.24,24.24,24.24,24.24,24.26,24.24
2019,24.56,24.86,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.21,24.19
2020,24.43,24.73,24.06,24.06,24.06,24.06,24.06,24.06,24.06,24.08,24.06
2021,24.52,24.80,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.15,24.13
2022,24.72,24.95,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.40,24.38
2023,24.72,24.99,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.37,24.35
2024,24.69,24.95,24.30,24.30,24.30,24.30,24.30,24.30,24.30,24.32,24.30
2025,24.59,24.87,24.17,24.17,24.17,24.17,24.17,24.17,24.17,24.19,24.17
2026,24.64,24.93,24.20,24.20,24.20,24.20,24.20,24.20,24.20,24.22,24.20
2027,24.75,25.00,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.36,24.34
2028,24.84,25.12,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
2029,24.80,25.15,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.40,24.38
2030,24.78,25.02,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.43,24.41
2031,24.85,25.02,24.51,24.51,24.51,24.51,24.51,24.51,24.51,24.53,24.51
2032,24.85,25.11,24.50,24.50,24.50,24.50,24.50,24.50,24.50,24.52,24.50
2033,24.89,25.12,24.51,24.51,24.51,24.51,24.51,24.51,24.51,24.53,24.51
2034,24.92,25.16,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.56,24.54
2035,24.94,25.24,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.59,24.57
2036,24.84,25.17,24.44,24.44,24.44,24.44,24.44,24.44,24.44,24.46,24.44
2037,25.05,25.31,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.69,24.67
2038,25.12,25.32,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.78,24.76
2039,25.04,25.25,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2040,24.97,25.17,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.62,24.60
2041,24.94,25.29,24.61,24.61,24.61,24.61,24.61,24.61,24.61,24.62,24.61
2042,25.09,25.39,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.69,24.67
2043,25.01,25.29,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.68,24.66
2044,25.07,25.34,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.78,24.77
2045,25.05,25.30,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.70,24.68
2046,25.01,25.35,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.67,24.65
2047,25.27,25.42,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.91,24.89
2048,25.30,25.51,24.92,24.92,24.92,24.92,24.92,24.92,24.92,24.94,24.92
2049,25.19,25.47,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.83,24.81
2050,25.10,25.38,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.78,24.77
2051,25.24,25.54,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.84,24.82
2052,25.34,25.61,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.93,24.91
2053,25.19,25.48,24.81,24.81,24.81,24.81,24.81,24.81,24.81,24.83,24.81
2054,25.24,25.53,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.87,24.85
2055,25.31,25.59,24.94,24.94,24.94,24.94,24.94,24.94,24.94,24.96,24.94
2056,25.20,25.56,24.87,24.87,24.87,24.87,24.87,24.87,24.87,24.88,24.87
2057,25.40,25.65,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.02,25.00
2058,25.35,25.56,24.98,24.98,24.98,24.98,24.98,24.98,24.98,25.00,24.98
2059,25.48,25.74,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.10,25.08
2060,25.60,25.82,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.25,25.23
2061,25.34,25.56,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.04,25.02
2062,25.32,25.57,24.96,24.96,24.96,24.96,24.96,24.96,24.96,24.98,24.96
2063,25.61,25.82,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.22,25.20
2064,25.48,25.75,25.10,25.10,25.10,25.10,25.10,25.10,25.10,25.12,25.10
2065,25.58,25.83,25.15,25.15,25.15,25.15,25.15,25.15,25.15,25.17,25.15
2066,25.49,25.77,25.12,25.12,25.12,25.12,25.12,25.12,25.12,25.14,25.12
2067,25.66,25.86,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.29,25.27
2068,25.57,25.79,25.19,25.19,25.19,25.19,25.19,25.19,25.19,25.21,25.19
2069,25.61,25.93,25.11,25.11,25.11,25.11,25.11,25.11,25.11,25.13,25.11
2070,25.53,25.77,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.20,25.18
2071,25.46,25.75,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.15,25.14
2072,25.58,25.77,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.22,25.20
2073,25.74,26.01,25.35,25.35,25.35,25.35,25.35,25.35,25.35,25.37,25.35
2074,25.53,25.79,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.20,25.18
2075,25.48,25.80,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.16,25.14
2076,25.66,25.91,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.27,25.25
2077,25.70,26.02,25.33,25.33,25.33,25.33,25.33,25.33,25.33,25.35,25.33
2078,25.67,25.91,25.25,25.25,25.25,25.25,25.25,25.25,25.25,25.27,25.25
2079,25.73,26.00,25.33,25.33,25.33,25.33,25.33,25.33,25.33,25.35,25.33
2080,25.72,26.00,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.39,25.37
2081,25.72,25.97,25.39,25.39,25.39,25.39,25.39,25.39,25.39,25.41,25.39
2082,25.74,26.10,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.40,25.38
2083,25.80,26.05,25.35,25.35,25.35,25.35,25.35,25.35,25.35,25.37,25.35
2084,25.77,26.06,25.46,25.46,25.46,25.46,25.46,25.46,25.46,25.47,25.46
