Variable:,tas
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
2015,22.50,22.63,23.63,22.30,21.36,21.36,21.66,23.45,21.90,20.59,20.95
2016,21.97,21.92,23.26,21.61,21.18,20.90,21.25,22.95,21.14,20.35,20.70
2017,22.29,22.34,23.67,22.01,21.19,21.11,21.43,23.28,21.51,20.41,20.69
2018,22.42,22.47,23.85,22.04,21.21,21.33,21.56,23.49,21.90,20.61,20.87
2019,22.18,22.30,23.46,21.76,21.06,21.25,21.59,23.00,21.80,20.71,21.01
2020,22.95,23.04,24.15,22.62,21.87,21.95,22.13,24.03,22.29,21.22,21.43
2021,22.57,22.74,23.84,22.14,21.48,21.47,21.77,23.47,22.10,20.78,21.08
2022,22.72,22.84,24.02,22.38,21.46,21.50,21.83,23.84,22.23,20.75,21.07
2023,22.93,23.12,24.29,22.72,21.40,21.65,21.89,24.05,22.42,20.75,20.97
2024,22.68,22.73,23.75,22.45,21.61,21.70,21.98,23.62,21.96,21.04,21.26
2025,22.83,22.83,24.20,22.54,21.72,21.61,21.98,23.91,22.15,20.95,21.25
2026,22.81,23.02,24.09,22.38,21.68,21.69,21.95,23.67,22.50,21.04,21.29
2027,22.73,22.80,23.85,22.46,21.76,21.63,21.94,23.70,22.07,20.97,21.22
2028,22.61,22.63,24.05,22.28,21.57,21.27,21.61,23.71,21.96,20.60,20.93
2029,22.78,22.93,24.14,22.33,21.50,21.53,21.74,23.93,22.44,20.78,20.97
2030,23.35,23.62,24.60,23.00,21.96,22.11,22.36,24.45,22.80,21.19,21.46
2031,22.77,22.81,24.03,22.33,21.76,21.68,21.90,23.88,22.32,21.06,21.37
2032,22.96,23.05,24.14,22.67,21.90,21.80,22.09,23.87,22.48,21.16,21.62
2033,22.68,22.74,24.17,22.23,21.62,21.43,21.68,23.77,22.23,20.83,21.07
2034,22.59,22.65,23.85,22.19,21.61,21.66,21.89,23.46,21.91,20.92,21.24
