Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2015,5.64,5.90,9.17,7.66,5.43,9.60,11.89,6.88,5.88,7.49,5.46,5.82,5.39
2016,5.40,5.59,8.87,7.38,5.21,9.32,11.57,6.58,5.69,7.23,5.25,5.57,5.16
2017,5.82,5.97,9.20,7.85,5.64,9.79,11.97,7.02,6.14,7.75,5.68,6.03,5.59
2018,5.88,6.00,9.24,7.95,5.73,9.91,11.98,7.08,6.23,7.75,5.77,6.12,5.66
2019,5.88,6.06,9.32,7.98,5.66,9.92,12.09,7.12,6.13,7.77,5.69,6.11,5.61
2020,5.44,5.58,8.86,7.39,5.23,9.36,11.60,6.59,5.73,7.36,5.27,5.56,5.17
2021,5.54,5.80,9.11,7.66,5.35,9.62,11.78,6.81,5.80,7.30,5.39,5.79,5.31
2022,5.97,6.20,9.53,8.12,5.78,10.08,12.23,7.24,6.26,7.85,5.82,6.24,5.73
2023,5.73,5.85,9.06,7.77,5.54,9.69,11.84,6.92,6.03,7.61,5.58,5.96,5.49
2024,5.73,5.78,9.04,7.88,5.53,9.77,11.84,6.90,6.09,7.80,5.58,6.06,5.47
2025,6.11,6.26,9.53,8.19,5.93,10.17,12.29,7.33,6.43,8.01,5.97,6.32,5.87
2026,5.81,5.90,9.17,7.81,5.61,9.73,11.91,6.94,6.14,7.82,5.65,6.02,5.54
2027,6.17,6.32,9.63,8.24,5.96,10.17,12.36,7.35,6.47,8.13,6.00,6.40,5.90
2028,6.13,6.30,9.63,8.36,5.95,10.37,12.57,7.44,6.43,8.01,5.99,6.43,5.90
2029,5.84,6.01,9.36,8.00,5.66,9.99,12.19,7.09,6.16,7.78,5.69,6.10,5.60
2030,5.68,5.89,9.15,7.65,5.49,9.70,11.90,6.92,5.95,7.52,5.52,5.76,5.44
2031,6.15,6.26,9.62,8.26,5.93,10.13,12.32,7.29,6.47,8.15,5.97,6.45,5.86
