Variable:,tasmax
2015,9.99
2016,9.85
2017,9.81
2018,9.95
2019,9.94
2020,9.91
2021,9.93
2022,9.83
2023,9.99
2024,10.03
2025,9.99
2026,10.06
2027,9.97
2028,10.03
2029,10.08
2030,10.11
2031,10.06
2032,10.12
2033,10.22
2034,10.10
2035,10.17
2036,10.09
2037,10.21
2038,10.26
2039,10.18
2040,10.18
2041,10.23
2042,10.31
2043,10.27
2044,10.40
2045,10.43
2046,10.45
2047,10.39
2048,10.33
2049,10.29
2050,10.37
2051,10.37
2052,10.44
2053,10.43
2054,10.45
2055,10.48
2056,10.54
2057,10.59
2058,10.51
2059,10.54
2060,10.60
2061,10.63
2062,10.58
2063,10.47
2064,10.41
2065,10.60
2066,10.59
2067,10.59
2068,10.65
2069,10.78
2070,10.66
2071,10.74
2072,10.57
2073,10.66
2074,10.79
2075,10.69
2076,10.69
2077,10.60
2078,10.71
2079,10.70
2080,10.60
2081,10.80
2082,10.71
2083,10.79
2084,10.76
2085,10.85
2086,10.91
2087,10.85
2088,10.88
2089,10.68
2090,10.69
2091,10.76
2092,10.91
2093,10.98
2094,10.91
2095,10.82
2096,10.95
2097,10.96
2098,10.95
2099,11.02
2100,10.91
