Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
2015,25.07,23.61,25.01,24.52,28.15,26.19,25.41,23.82,24.40,25.08,25.97
2016,25.00,23.60,24.95,24.46,27.94,26.16,25.34,23.73,24.29,25.03,25.92
2017,25.04,23.63,24.96,24.49,28.15,26.16,25.42,23.71,24.31,25.06,25.90
2018,25.20,23.76,25.09,24.62,28.30,26.29,25.61,23.93,24.51,25.15,26.08
2019,25.32,23.86,25.16,24.70,28.63,26.36,25.79,24.00,24.57,25.22,26.15
2020,25.38,23.92,25.27,24.81,28.56,26.43,25.83,24.09,24.67,25.34,26.21
2021,25.30,23.86,25.22,24.71,28.41,26.43,25.68,24.05,24.61,25.25,26.20
2022,25.26,23.79,25.17,24.71,28.37,26.37,25.64,23.99,24.60,25.27,26.17
2023,25.35,23.88,25.21,24.76,28.59,26.42,25.81,24.04,24.58,25.30,26.18
2024,25.51,24.07,25.36,24.92,28.73,26.56,25.96,24.18,24.73,25.45,26.32
2025,25.51,24.12,25.41,24.93,28.60,26.56,25.92,24.24,24.83,25.45,26.35
2026,25.50,24.09,25.39,24.89,28.65,26.62,25.92,24.25,24.78,25.47,26.38
2027,25.39,23.92,25.28,24.80,28.49,26.43,25.84,24.14,24.67,25.38,26.24
2028,25.58,24.18,25.45,25.00,28.60,26.63,26.04,24.32,24.87,25.54,26.44
2029,25.60,24.18,25.51,25.03,28.62,26.68,26.07,24.36,24.91,25.57,26.45
2030,25.60,24.18,25.45,25.04,28.76,26.61,25.99,24.33,24.85,25.52,26.43
2031,25.72,24.30,25.60,25.12,28.85,26.78,26.19,24.44,25.02,25.63,26.57
2032,25.60,24.16,25.45,25.01,28.72,26.62,26.03,24.34,24.89,25.53,26.43
2033,25.69,24.30,25.61,25.12,28.76,26.75,26.08,24.46,25.02,25.63,26.58
2034,25.65,24.13,25.52,25.07,28.88,26.70,26.06,24.37,24.95,25.57,26.49
2035,25.62,24.14,25.47,25.02,28.84,26.67,26.11,24.29,24.85,25.57,26.43
2036,25.75,24.32,25.58,25.11,28.98,26.74,26.28,24.43,24.99,25.63,26.56
2037,25.78,24.29,25.63,25.20,29.00,26.78,26.23,24.46,25.03,25.69,26.56
2038,25.69,24.27,25.57,25.12,28.82,26.76,26.07,24.40,25.05,25.63,26.54
2039,25.78,24.30,25.65,25.21,28.88,26.85,26.18,24.52,25.08,25.69,26.66
2040,25.66,24.16,25.52,25.08,28.89,26.71,26.14,24.30,24.90,25.60,26.49
2041,25.76,24.31,25.65,25.19,28.83,26.79,26.23,24.48,25.03,25.68,26.56
2042,25.83,24.42,25.72,25.24,28.87,26.91,26.32,24.52,25.10,25.80,26.70
2043,25.89,24.45,25.82,25.33,28.86,27.03,26.26,24.65,25.24,25.88,26.82
2044,25.77,24.35,25.65,25.17,28.87,26.87,26.22,24.50,25.06,25.71,26.66
2045,25.78,24.31,25.63,25.14,29.05,26.83,26.23,24.50,25.07,25.70,26.63
2046,26.02,24.68,25.84,25.35,29.22,27.02,26.52,24.75,25.28,25.90,26.81
2047,25.88,24.45,25.73,25.28,29.05,26.89,26.36,24.55,25.12,25.76,26.67
2048,25.87,24.46,25.76,25.30,28.92,26.93,26.29,24.58,25.14,25.85,26.72
2049,25.95,24.50,25.82,25.36,29.18,26.95,26.39,24.63,25.20,25.87,26.72
2050,26.01,24.56,25.88,25.38,29.16,27.07,26.49,24.74,25.31,25.92,26.84
2051,26.01,24.57,25.87,25.44,29.12,27.01,26.45,24.66,25.24,25.92,26.82
2052,25.86,24.35,25.71,25.29,29.12,26.86,26.33,24.53,25.13,25.74,26.65
2053,25.87,24.40,25.73,25.32,29.01,26.94,26.27,24.54,25.14,25.82,26.73
2054,25.83,24.42,25.69,25.25,29.03,26.89,26.27,24.52,25.07,25.74,26.66
2055,25.87,24.42,25.70,25.28,29.14,26.82,26.34,24.55,25.13,25.72,26.65
2056,25.90,24.46,25.74,25.29,29.15,26.90,26.41,24.50,25.09,25.79,26.72
2057,25.87,24.44,25.73,25.28,28.97,26.89,26.28,24.53,25.12,25.77,26.64
