Variable:,tas
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
2015,16.65,17.31,17.31,17.47,15.50,16.88,16.15
2016,16.78,17.52,17.42,17.53,15.69,16.94,16.18
2017,16.82,17.49,17.54,17.61,15.61,17.03,16.22
2018,16.63,17.35,17.23,17.44,15.52,16.81,16.05
2019,16.74,17.39,17.48,17.52,15.62,16.99,16.10
2020,16.80,17.38,17.59,17.51,15.70,17.06,16.19
2021,16.95,17.63,17.66,17.78,15.86,17.13,16.36
2022,17.01,17.71,17.58,17.83,15.91,17.12,16.49
2023,16.75,17.35,17.42,17.56,15.69,16.96,16.21
2024,17.14,17.79,17.73,17.88,16.10,17.40,16.53
2025,17.18,17.85,17.95,17.90,16.02,17.46,16.57
2026,17.06,17.75,17.75,17.90,15.90,17.26,16.49
2027,17.36,18.09,18.03,18.14,16.16,17.53,16.87
2028,17.25,17.97,17.87,18.13,16.04,17.46,16.70
2029,17.33,17.99,17.96,18.10,16.25,17.49,16.80
2030,17.23,17.84,17.95,17.97,16.19,17.51,16.61
2031,17.32,18.02,17.99,18.16,16.17,17.55,16.79
2032,17.28,18.03,17.93,18.17,16.13,17.36,16.75
2033,17.08,17.79,17.74,17.99,15.88,17.27,16.55
2034,17.13,17.83,17.81,18.03,15.86,17.38,16.62
2035,17.53,18.25,18.11,18.31,16.50,17.68,16.96
2036,17.64,18.40,18.16,18.48,16.53,17.76,17.10
2037,17.53,18.18,18.14,18.31,16.41,17.80,17.03
2038,17.51,18.15,18.13,18.28,16.41,17.77,16.90
2039,17.57,18.28,18.16,18.50,16.46,17.70,17.06
2040,17.09,17.78,17.81,17.91,15.88,17.34,16.51
2041,17.37,18.08,17.99,18.23,16.26,17.54,16.82
2042,17.51,18.20,17.91,18.42,16.45,17.68,17.06
2043,17.40,18.03,18.15,18.20,16.31,17.63,16.71
2044,17.60,18.24,18.30,18.45,16.38,17.87,17.13
2045,17.55,18.36,18.03,18.42,16.48,17.64,17.00
2046,17.61,18.26,18.27,18.38,16.50,17.84,17.07
2047,17.57,18.30,18.12,18.49,16.45,17.71,16.98
2048,17.69,18.32,18.31,18.62,16.62,17.87,17.18
2049,17.69,18.29,18.28,18.45,16.69,17.88,17.19
2050,17.73,18.47,18.21,18.68,16.64,17.84,17.18
2051,17.51,18.22,18.08,18.35,16.42,17.74,17.01
2052,17.89,18.51,18.53,18.64,16.76,18.19,17.30
2053,17.48,18.21,18.03,18.32,16.39,17.60,16.96
2054,17.65,18.35,18.37,18.57,16.39,17.86,17.12
2055,17.77,18.44,18.43,18.59,16.61,17.99,17.22
2056,17.91,18.58,18.44,18.70,16.88,18.10,17.31
2057,17.97,18.66,18.49,18.84,16.88,18.13,17.50
2058,17.80,18.51,18.25,18.64,16.70,17.99,17.23
2059,17.69,18.57,18.21,18.77,16.45,17.72,17.17
2060,17.59,18.28,18.19,18.49,16.46,17.80,17.08
2061,17.68,18.40,18.27,18.57,16.52,17.82,17.16
2062,17.97,18.82,18.43,18.83,16.89,18.03,17.38
2063,17.68,18.44,18.24,18.59,16.57,17.78,17.16
2064,17.76,18.37,18.34,18.59,16.71,18.00,17.21
2065,17.75,18.54,18.21,18.65,16.61,17.86,17.21
2066,17.80,18.56,18.43,18.75,16.58,17.97,17.28
2067,17.65,18.29,18.27,18.43,16.52,17.92,17.16
2068,17.90,18.53,18.49,18.72,16.78,18.13,17.47
2069,17.77,18.58,18.33,18.76,16.59,17.87,17.27
2070,17.91,18.69,18.43,18.86,16.78,18.02,17.37
2071,17.70,18.48,18.30,18.53,16.52,17.85,17.11
2072,17.66,18.38,18.33,18.56,16.48,17.86,17.15
2073,17.89,18.56,18.60,18.63,16.69,18.18,17.27
2074,17.82,18.52,18.38,18.70,16.71,18.05,17.26
2075,17.54,18.29,18.13,18.40,16.41,17.70,16.97
2076,17.89,18.60,18.41,18.61,16.85,18.05,17.26
2077,17.96,18.67,18.47,18.72,16.94,18.14,17.37
2078,17.82,18.53,18.37,18.67,16.72,17.99,17.26
2079,17.90,18.66,18.35,18.84,16.84,18.01,17.33
2080,17.83,18.56,18.40,18.73,16.66,17.99,17.36
2081,17.99,18.86,18.37,19.00,16.80,18.03,17.49
2082,17.90,18.61,18.43,18.73,16.85,18.05,17.37
2083,17.89,18.55,18.51,18.57,16.90,18.09,17.22
2084,17.93,18.69,18.37,18.73,16.80,18.06,17.46
2085,17.93,18.62,18.50,18.74,16.83,18.10,17.38
2086,17.80,18.47,18.38,18.64,16.73,18.03,17.20
2087,17.96,18.65,18.49,18.79,16.85,18.14,17.40
2088,17.76,18.44,18.34,18.54,16.66,18.02,17.20
2089,17.57,18.24,18.34,18.37,16.42,17.80,16.92
2090,17.72,18.49,18.36,18.68,16.52,17.83,17.16
2091,17.80,18.54,18.34,18.64,16.72,17.88,17.25
2092,17.46,18.21,18.10,18.30,16.26,17.62,16.87
2093,17.75,18.56,18.28,18.66,16.56,17.87,17.14
2094,17.94,18.72,18.44,18.83,16.86,18.03,17.38
2095,17.73,18.43,18.28,18.62,16.61,17.92,17.13
2096,17.65,18.37,18.22,18.42,16.60,17.78,17.14
2097,17.58,18.28,18.23,18.38,16.44,17.77,17.02
2098,17.81,18.49,18.43,18.67,16.68,18.05,17.20
2099,17.65,18.41,18.18,18.58,16.48,17.80,17.19
2100,17.54,18.20,18.16,18.40,16.40,17.77,16.97
