Variable:,tas
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
2015,22.08,21.47,20.42,21.22,21.27,22.88,22.35,22.11,21.63,22.62,20.16
2016,22.30,21.63,20.59,21.49,21.38,23.07,22.61,22.32,21.92,22.83,20.42
2017,22.22,21.63,20.51,21.42,21.35,22.97,22.58,22.27,21.82,22.70,20.31
2018,22.30,21.73,20.64,21.41,21.45,23.12,22.52,22.36,21.93,22.90,20.37
2019,22.40,21.77,20.70,21.54,21.51,23.21,22.67,22.39,22.02,22.99,20.48
2020,22.37,21.72,20.64,21.52,21.45,23.18,22.73,22.41,21.99,22.90,20.43
2021,22.41,21.85,20.74,21.53,21.55,23.20,22.73,22.49,22.04,22.95,20.49
2022,22.63,22.02,20.89,21.80,21.69,23.39,22.96,22.68,22.29,23.20,20.70
2023,22.55,21.94,20.91,21.68,21.72,23.39,22.83,22.56,22.18,23.06,20.65
2024,22.65,22.15,21.05,21.74,21.78,23.46,22.97,22.74,22.33,23.17,20.77
2025,22.74,22.23,21.08,21.89,21.85,23.55,23.12,22.85,22.37,23.21,20.82
2026,22.77,22.30,20.97,21.81,21.82,23.57,23.05,22.94,22.46,23.39,20.76
2027,22.64,22.06,20.92,21.77,21.70,23.43,23.00,22.77,22.29,23.16,20.68
2028,22.76,22.19,21.06,21.89,21.86,23.59,23.03,22.80,22.42,23.34,20.80
2029,22.58,22.03,20.93,21.77,21.75,23.39,22.82,22.66,22.16,23.05,20.70
2030,22.71,22.04,21.07,21.83,21.89,23.59,22.88,22.65,22.36,23.24,20.87
2031,22.54,21.95,20.98,21.59,21.85,23.46,22.66,22.55,22.12,23.00,20.67
2032,22.65,22.09,20.93,21.73,21.81,23.47,22.96,22.77,22.25,23.27,20.68
2033,22.67,22.13,21.08,21.73,21.87,23.54,22.89,22.72,22.30,23.24,20.77
2034,22.85,22.04,21.26,22.04,22.07,23.65,23.18,22.81,22.40,23.26,21.02
2035,22.74,22.20,21.17,21.93,21.93,23.54,23.01,22.76,22.33,23.14,20.90
2036,23.02,22.47,21.34,22.22,22.14,23.79,23.37,23.12,22.61,23.53,21.10
2037,23.03,22.49,21.34,22.15,22.15,23.81,23.35,23.16,22.67,23.59,21.08
2038,22.88,22.35,21.15,22.04,21.97,23.60,23.27,22.99,22.50,23.41,20.93
2039,23.12,22.39,21.47,22.26,22.28,23.98,23.37,23.06,22.75,23.65,21.21
2040,22.92,22.29,21.20,22.06,21.98,23.76,23.34,22.97,22.58,23.39,20.97
2041,22.88,22.22,21.21,22.01,22.00,23.72,23.14,22.88,22.50,23.40,21.01
2042,23.11,22.55,21.44,22.18,22.23,23.93,23.35,23.16,22.77,23.72,21.19
2043,23.19,22.61,21.62,22.21,22.43,24.09,23.48,23.23,22.84,23.67,21.24
2044,22.85,22.22,21.30,21.97,22.08,23.76,23.04,22.85,22.45,23.34,20.97
2045,22.87,22.44,21.11,21.94,21.99,23.65,23.18,23.03,22.51,23.46,20.86
2046,22.94,22.21,21.31,22.07,22.14,23.79,23.26,22.92,22.54,23.36,21.03
2047,22.95,22.34,21.30,22.12,22.13,23.78,23.23,22.96,22.55,23.47,21.08
2048,23.00,22.35,21.39,22.18,22.20,23.85,23.26,23.06,22.61,23.49,21.11
2049,23.06,22.38,21.31,22.19,22.15,23.88,23.28,23.07,22.72,23.63,21.14
2050,23.09,22.53,21.44,22.31,22.22,23.88,23.41,23.12,22.65,23.60,21.20
2051,23.13,22.61,21.42,22.24,22.24,23.98,23.45,23.32,22.73,23.67,21.17
2052,23.04,22.43,21.36,22.12,22.23,23.94,23.30,23.10,22.65,23.57,21.05
2053,23.07,22.52,21.27,22.16,22.26,23.91,23.31,23.13,22.67,23.60,21.07
2054,23.08,22.51,21.38,22.09,22.20,24.00,23.31,23.19,22.77,23.67,21.05
2055,22.73,22.04,21.11,21.90,21.88,23.51,23.09,22.77,22.32,23.22,20.92
2056,23.13,22.69,21.36,22.28,22.21,23.89,23.52,23.33,22.80,23.66,21.17
2057,23.09,22.40,21.31,22.21,22.20,23.92,23.38,23.14,22.71,23.58,21.12
2058,22.94,22.31,21.29,22.12,21.93,23.68,23.33,23.12,22.57,23.49,21.03
