Variable:,tasmin
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,6.25,8.13,6.88
2016,6.07,7.85,6.65
2017,6.26,8.08,6.86
2018,6.15,7.97,6.74
2019,5.78,7.71,6.42
2020,6.39,8.20,6.97
2021,6.37,8.17,6.97
2022,6.19,8.02,6.79
2023,6.50,8.30,7.08
2024,6.49,8.27,7.06
2025,6.71,8.50,7.28
2026,6.47,8.39,7.10
2027,6.48,8.29,7.08
2028,6.56,8.35,7.11
2029,6.53,8.40,7.14
2030,6.72,8.51,7.30
2031,6.33,8.19,6.95
2032,6.34,8.17,6.93
2033,6.46,8.29,7.04
2034,6.70,8.50,7.30
2035,6.60,8.41,7.20
2036,6.66,8.49,7.27
2037,6.43,8.27,7.01
2038,6.66,8.50,7.26
2039,6.66,8.50,7.25
2040,6.74,8.53,7.32
2041,6.60,8.45,7.20
2042,6.55,8.40,7.17
2043,6.98,8.74,7.53
2044,6.76,8.58,7.34
2045,6.69,8.57,7.31
2046,6.95,8.76,7.55
2047,6.68,8.52,7.28
2048,6.92,8.73,7.50
2049,7.00,8.84,7.59
2050,6.74,8.54,7.32
2051,6.92,8.76,7.54
2052,7.21,8.96,7.78
2053,7.09,8.89,7.70
2054,6.80,8.64,7.41
2055,6.81,8.68,7.41
2056,7.04,8.89,7.65
2057,7.11,8.93,7.72
2058,6.93,8.79,7.55
2059,6.98,8.86,7.59
2060,7.00,8.89,7.64
2061,7.09,8.98,7.71
2062,7.21,9.01,7.79
2063,7.03,8.82,7.63
2064,7.12,8.93,7.70
2065,6.87,8.70,7.48
2066,7.03,8.87,7.66
2067,7.00,8.93,7.65
2068,7.14,9.00,7.75
2069,7.51,9.30,8.07
2070,6.94,8.75,7.51
2071,6.93,8.72,7.49
2072,6.93,8.75,7.51
2073,6.83,8.68,7.42
2074,6.69,8.52,7.28
2075,7.39,9.18,7.96
2076,7.13,8.93,7.72
2077,7.03,8.85,7.62
2078,7.00,8.80,7.58
2079,6.96,8.79,7.56
2080,7.03,8.84,7.61
2081,6.92,8.76,7.52
2082,6.96,8.85,7.60
2083,6.89,8.75,7.51
2084,6.94,8.76,7.53
2085,7.18,9.02,7.75
2086,7.35,9.18,7.96
2087,6.88,8.68,7.45
2088,6.86,8.72,7.48
2089,7.00,8.80,7.58
2090,7.43,9.22,7.99
2091,6.87,8.75,7.48
2092,7.10,8.87,7.65
2093,7.27,9.09,7.88
2094,7.01,8.87,7.60
2095,6.90,8.73,7.47
2096,6.93,8.73,7.51
2097,6.65,8.44,7.25
2098,7.28,9.05,7.85
2099,7.04,8.90,7.65
2100,7.00,8.84,7.59
