Variable:,tas
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
2015,13.39,7.07,16.45,8.22,12.75,16.26,15.06,9.18,15.24,16.05,12.69,11.78,12.43,14.75,15.54
2016,13.27,7.12,16.41,8.36,12.48,16.57,14.66,9.36,15.49,16.48,12.95,11.96,12.64,14.47,15.68
2017,13.33,7.30,16.49,8.32,12.51,16.41,14.98,9.54,15.32,16.15,12.98,12.09,12.65,14.68,15.83
2018,13.34,6.87,16.48,8.18,12.70,16.34,14.93,9.26,15.34,16.09,12.78,11.82,12.49,14.60,15.53
2019,13.90,7.15,16.93,8.37,13.34,16.59,15.45,9.42,15.58,16.51,13.01,12.10,12.79,15.26,15.88
2020,14.02,7.56,17.07,8.74,13.32,16.94,15.51,9.90,15.84,16.68,13.40,12.56,13.02,15.31,16.35
2021,14.12,7.39,17.21,8.63,13.41,17.19,15.51,9.66,16.16,16.88,13.42,12.41,13.20,15.48,16.22
2022,13.66,7.18,16.79,8.51,13.03,16.54,15.29,9.51,15.45,16.36,13.00,12.18,12.64,14.97,15.97
2023,14.02,7.66,17.17,8.85,13.29,17.05,15.70,9.90,15.99,16.79,13.61,12.64,13.21,15.37,16.42
2024,14.02,7.62,17.04,8.77,13.36,16.93,15.64,9.73,15.83,16.83,13.17,12.30,12.96,15.40,16.10
2025,14.49,8.09,17.72,9.39,13.64,17.33,16.15,10.53,16.32,17.17,13.81,13.15,13.57,15.96,16.94
2026,14.29,7.71,17.56,8.94,13.55,17.20,16.06,10.09,16.18,17.00,13.59,12.74,13.33,15.78,16.44
2027,14.29,7.79,17.59,8.97,13.53,17.59,15.93,10.09,16.44,17.21,13.78,12.82,13.49,15.60,16.55
2028,13.84,7.69,16.94,8.89,13.13,16.78,15.36,9.82,15.76,16.68,13.20,12.37,12.94,15.11,16.06
2029,14.23,7.69,17.32,9.00,13.60,17.27,15.91,10.02,16.19,17.09,13.81,12.76,13.43,15.49,16.53
2030,14.54,8.09,17.77,9.18,13.75,17.59,16.03,10.22,16.52,17.30,13.79,12.91,13.57,16.00,16.73
2031,14.03,7.64,17.15,8.87,13.24,17.02,15.62,9.93,16.00,16.92,13.53,12.57,13.20,15.40,16.29
2032,14.47,7.68,17.52,8.92,13.83,17.33,16.25,10.01,16.31,17.11,13.68,12.72,13.48,15.88,16.54
2033,14.60,8.19,17.61,9.47,14.01,17.34,16.24,10.50,16.27,17.17,14.00,13.03,13.60,15.92,16.72
2034,15.00,8.49,18.13,9.70,14.29,18.05,16.46,10.79,17.03,17.69,14.40,13.47,14.17,16.35,17.23
2035,14.26,7.57,17.44,8.83,13.70,17.30,15.79,9.94,16.19,16.95,13.57,12.67,13.31,15.50,16.56
2036,14.53,7.98,17.71,9.14,13.84,17.45,16.12,10.24,16.36,17.23,13.70,12.83,13.50,15.95,16.60
2037,14.77,8.07,17.91,9.28,14.22,17.47,16.33,10.35,16.35,17.12,13.86,13.00,13.58,16.17,16.80
2038,14.73,8.40,17.78,9.61,14.05,17.51,16.27,10.62,16.48,17.28,14.04,13.07,13.74,16.06,16.88
2039,14.48,7.71,17.46,8.99,13.94,17.37,16.07,10.13,16.31,17.21,13.63,12.70,13.45,15.78,16.36
2040,14.38,8.18,17.49,9.31,13.83,17.40,16.05,10.23,16.29,17.27,13.74,12.76,13.46,15.61,16.48
2041,15.04,8.33,18.12,9.56,14.29,17.87,16.44,10.71,16.83,17.57,14.30,13.41,14.01,16.47,17.13
2042,14.44,8.15,17.58,9.42,13.58,17.39,16.06,10.50,16.41,17.24,14.27,13.30,13.78,15.83,17.15
2043,14.34,7.71,17.33,8.96,13.81,17.35,16.02,9.98,16.31,17.37,13.66,12.71,13.42,15.57,16.57
2044,14.22,8.04,17.40,9.29,13.65,17.10,16.02,10.31,16.06,16.73,13.60,12.76,13.22,15.48,16.46
2045,14.69,8.18,17.58,9.34,14.15,17.40,16.10,10.37,16.28,17.27,13.64,12.92,13.34,16.01,16.71
2046,14.59,8.15,17.60,9.41,13.96,17.34,16.14,10.42,16.35,17.21,13.77,12.96,13.56,15.91,16.78
2047,14.68,8.19,17.81,9.51,13.86,17.57,16.25,10.60,16.60,17.46,14.03,13.25,13.84,16.12,17.04
2048,14.35,8.25,17.48,9.49,13.56,17.49,16.01,10.51,16.40,17.49,13.94,13.06,13.70,15.63,16.79
2049,14.31,7.75,17.35,9.05,13.67,17.26,15.82,9.97,16.22,17.02,13.61,12.70,13.41,15.65,16.53
2050,14.50,7.75,17.61,8.96,13.86,17.36,15.98,10.05,16.30,17.11,13.67,12.72,13.46,15.90,16.53
2051,14.55,7.89,17.63,9.16,13.83,17.53,16.18,10.17,16.45,17.44,13.78,12.82,13.60,15.96,16.59
2052,14.15,7.73,17.33,8.88,13.55,17.05,15.82,9.91,16.04,16.86,13.40,12.52,13.16,15.47,16.33
2053,14.61,7.92,17.80,9.09,13.86,17.58,16.33,10.23,16.53,17.22,14.00,13.02,13.69,16.07,16.87
2054,14.32,7.88,17.25,9.19,13.62,17.29,15.64,10.31,16.19,17.05,13.69,12.87,13.42,15.59,16.64
2055,14.78,8.54,17.94,9.90,13.88,17.97,16.17,10.99,16.91,17.77,14.49,13.61,14.12,16.12,17.30
2056,14.53,8.40,17.69,9.61,13.70,17.58,16.13,10.69,16.51,17.48,14.16,13.23,13.76,15.89,16.95
2057,14.19,7.94,17.49,9.17,13.28,17.24,15.76,10.22,16.22,17.01,13.57,12.76,13.36,15.63,16.51
2058,14.32,7.74,17.31,8.92,13.71,16.92,16.03,9.97,15.87,16.78,13.33,12.53,13.09,15.75,16.33
2059,14.32,7.76,17.65,9.16,13.28,17.82,16.03,10.25,16.73,17.57,14.02,13.06,13.69,15.80,16.86
2060,13.94,7.45,16.98,8.70,13.19,16.86,15.53,9.79,15.82,16.60,13.25,12.40,13.00,15.35,16.16
2061,14.49,7.90,17.58,9.21,13.75,17.46,16.05,10.30,16.41,17.23,13.88,12.97,13.58,15.87,16.75
2062,14.84,8.69,17.87,9.81,14.16,17.79,16.53,10.78,16.77,17.60,14.30,13.34,14.02,16.16,17.18
2063,14.12,8.16,17.35,9.50,13.20,17.46,15.47,10.45,16.41,17.18,13.97,13.03,13.60,15.43,16.75
2064,14.42,8.08,17.64,9.30,13.61,17.65,15.99,10.34,16.54,17.47,13.92,13.01,13.68,15.78,16.87
2065,14.20,7.56,17.10,8.94,13.78,16.84,15.66,9.95,15.80,16.83,13.54,12.50,13.11,15.40,16.14
2066,13.97,7.49,16.92,8.70,13.31,16.75,15.64,9.75,15.70,16.57,12.92,12.29,12.81,15.47,16.11
2067,14.76,8.54,17.90,9.76,13.81,18.02,16.17,10.82,16.99,17.82,14.53,13.54,14.22,16.10,17.32
2068,13.67,7.91,16.67,8.99,12.98,16.61,15.24,9.86,15.56,16.64,13.09,12.25,12.80,14.91,15.95
2069,14.20,8.29,17.27,9.39,13.46,17.53,15.70,10.39,16.27,17.63,13.75,12.85,13.39,15.35,16.61
2070,14.31,7.97,17.12,9.21,13.68,17.30,15.60,10.47,16.25,17.33,13.84,13.09,13.46,15.39,16.80
2071,14.39,8.07,17.62,9.29,13.68,17.37,16.09,10.25,16.24,17.10,13.70,12.82,13.40,15.79,16.63
2072,14.35,7.57,17.52,8.87,13.73,17.19,16.02,9.93,16.13,17.11,13.48,12.64,13.17,15.75,16.43
2073,14.58,8.25,17.54,9.50,13.71,17.54,15.93,10.80,16.61,17.36,14.22,13.37,13.91,15.85,17.32
2074,14.04,7.58,16.98,8.96,13.44,17.02,15.60,10.00,15.95,16.81,13.73,12.77,13.30,15.19,16.60
2075,13.84,7.62,16.99,8.81,13.06,17.01,15.29,9.81,15.93,16.94,13.22,12.35,13.03,15.15,16.09
2076,14.42,7.98,17.64,9.14,13.72,17.31,16.28,10.19,16.23,17.12,13.68,12.80,13.40,15.85,16.54
2077,14.34,8.22,17.26,9.39,13.71,17.29,15.83,10.42,16.15,17.24,13.67,12.87,13.38,15.56,16.62
2078,14.12,7.79,17.05,8.97,13.43,17.02,15.49,10.03,16.03,16.81,13.57,12.67,13.20,15.39,16.45
2079,14.29,8.30,17.48,9.60,13.39,17.42,15.83,10.63,16.39,17.38,13.83,13.06,13.55,15.65,16.71
2080,14.43,8.06,17.49,9.20,13.81,17.20,16.14,10.24,16.26,17.05,13.74,12.75,13.44,15.79,16.44
2081,14.23,8.04,17.19,9.10,13.63,17.11,15.72,10.09,16.08,16.98,13.56,12.64,13.30,15.52,16.37
2082,14.69,8.41,17.98,9.60,13.95,17.88,16.31,10.76,16.80,17.59,14.27,13.47,13.91,15.92,17.20
2083,14.30,7.70,17.46,8.98,13.63,17.20,15.80,10.08,16.13,16.97,13.70,12.75,13.32,15.64,16.55
2084,14.60,7.95,17.75,9.24,13.94,17.64,16.40,10.37,16.49,17.42,14.05,13.04,13.70,15.99,16.78
2085,14.12,7.64,17.26,8.81,13.48,17.13,15.82,9.91,16.07,16.95,13.56,12.63,13.25,15.45,16.51
2086,14.37,8.07,17.33,9.22,13.56,17.31,15.69,10.37,16.25,17.25,14.08,13.05,13.52,15.68,16.80
2087,14.32,7.83,17.41,9.01,13.63,17.34,15.74,10.05,16.34,17.04,13.74,12.83,13.48,15.59,16.65
2088,14.27,8.06,17.27,9.23,13.48,17.20,15.65,10.30,16.25,16.98,13.80,12.88,13.50,15.59,16.63
2089,13.98,7.63,16.82,8.76,13.46,16.69,15.68,9.80,15.62,16.83,13.00,12.34,12.83,15.27,16.09
2090,14.13,7.54,17.23,8.73,13.50,16.98,15.84,9.78,15.95,16.81,13.50,12.46,13.18,15.42,16.23
2091,14.37,7.83,17.48,9.05,13.73,17.08,15.90,10.23,16.14,16.79,13.85,12.93,13.48,15.69,16.78
2092,14.34,7.94,17.34,9.30,13.58,17.36,16.06,10.18,16.13,17.45,13.65,12.86,13.39,15.76,16.66
2093,14.46,8.02,17.60,9.25,13.66,17.50,16.02,10.33,16.47,17.22,13.93,13.02,13.70,15.80,16.97
2094,14.13,7.85,17.40,9.01,13.30,17.06,15.71,9.93,16.10,16.92,13.46,12.51,13.24,15.64,16.34
2095,14.06,7.62,17.17,8.78,13.25,17.02,15.77,9.72,15.91,16.89,13.30,12.33,13.07,15.54,16.07
2096,14.13,7.75,17.35,8.96,13.32,17.26,15.83,9.98,16.27,16.98,13.47,12.60,13.35,15.50,16.40
2097,13.76,7.48,16.80,8.61,13.10,16.74,15.34,9.57,15.71,16.61,13.08,12.13,12.81,15.03,15.87
2098,13.99,7.29,17.12,8.55,13.32,17.07,15.76,9.68,15.95,16.75,13.28,12.39,13.03,15.35,16.18
2099,14.35,7.90,17.56,9.15,13.50,17.40,15.88,10.17,16.38,17.24,13.87,12.85,13.58,15.71,16.56
2100,14.29,7.93,17.46,9.14,13.49,17.19,15.97,10.26,16.20,16.83,13.66,12.84,13.36,15.71,16.57
