Variable:,tasmin
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
2015,23.23,22.75,22.28,22.96,23.39,22.65
2016,23.16,22.69,22.21,22.91,23.31,22.59
2017,23.54,23.07,22.59,23.27,23.70,22.96
2018,23.36,22.79,22.26,23.04,23.55,22.73
2019,23.15,22.70,22.21,22.95,23.27,22.55
2020,23.65,23.22,22.77,23.43,23.77,23.10
2021,23.52,22.97,22.52,23.20,23.70,22.92
2022,23.37,22.77,22.30,23.00,23.56,22.76
2023,23.49,22.99,22.51,23.22,23.65,22.92
2024,23.43,22.79,22.31,23.04,23.64,22.77
2025,23.54,23.03,22.57,23.27,23.69,22.95
2026,23.87,23.42,22.92,23.67,24.00,23.25
2027,23.51,23.01,22.53,23.24,23.66,22.95
2028,23.77,23.25,22.73,23.50,23.93,23.15
2029,23.62,23.07,22.58,23.28,23.80,23.07
2030,23.79,23.27,22.77,23.52,23.95,23.18
2031,23.97,23.49,23.04,23.72,24.12,23.40
2032,23.71,23.20,22.66,23.46,23.87,23.09
2033,23.73,23.20,22.71,23.44,23.90,23.16
2034,23.89,23.29,22.77,23.55,24.09,23.25
2035,23.81,23.27,22.81,23.49,23.99,23.22
2036,23.74,23.26,22.80,23.49,23.89,23.12
2037,23.96,23.38,22.92,23.59,24.16,23.42
2038,24.00,23.50,23.03,23.68,24.15,23.49
2039,23.93,23.39,22.88,23.65,24.10,23.30
2040,24.15,23.66,23.17,23.87,24.31,23.59
2041,24.25,23.82,23.36,23.94,24.38,23.82
2042,23.79,23.41,22.90,23.65,23.89,23.22
2043,23.90,23.34,22.79,23.58,24.10,23.25
2044,23.97,23.40,22.86,23.66,24.15,23.38
2045,24.00,23.59,23.12,23.83,24.11,23.42
2046,23.90,23.37,22.91,23.60,24.08,23.29
2047,24.04,23.58,23.09,23.81,24.18,23.43
2048,24.23,23.78,23.28,24.02,24.35,23.68
2049,23.82,23.35,22.85,23.60,23.95,23.21
2050,23.57,23.07,22.56,23.31,23.72,23.00
2051,23.95,23.43,22.92,23.68,24.12,23.30
2052,23.98,23.32,22.84,23.54,24.22,23.33
2053,23.71,23.31,22.83,23.55,23.82,23.10
2054,23.91,23.41,22.88,23.66,24.05,23.35
2055,23.79,23.31,22.83,23.56,23.93,23.20
2056,23.94,23.49,22.98,23.73,24.08,23.36
2057,23.89,23.29,22.74,23.53,24.08,23.26
2058,23.65,23.27,22.79,23.52,23.75,23.07
2059,23.84,23.32,22.84,23.53,24.02,23.23
2060,23.52,23.16,22.68,23.39,23.61,22.99
2061,23.73,23.25,22.79,23.49,23.87,23.14
2062,24.13,23.54,23.03,23.78,24.33,23.51
2063,24.04,23.57,23.09,23.81,24.18,23.44
2064,23.63,23.08,22.54,23.34,23.81,22.95
2065,23.53,23.10,22.66,23.33,23.66,22.96
2066,23.61,23.00,22.55,23.21,23.84,22.94
2067,23.83,23.32,22.83,23.58,23.98,23.19
2068,23.97,23.28,22.79,23.56,24.21,23.31
2069,23.92,23.48,23.00,23.70,24.05,23.36
2070,24.11,23.53,23.06,23.77,24.31,23.50
2071,24.17,23.60,23.11,23.84,24.36,23.58
2072,23.32,22.81,22.36,23.04,23.50,22.67
2073,23.73,23.30,22.76,23.58,23.83,23.12
2074,24.17,23.66,23.12,23.90,24.33,23.56
2075,23.43,23.02,22.49,23.26,23.55,22.81
2076,23.79,23.28,22.77,23.53,23.94,23.16
2077,23.74,23.28,22.81,23.52,23.88,23.13
2078,23.39,22.74,22.27,23.00,23.61,22.78
2079,23.88,23.35,22.88,23.58,24.04,23.35
2080,23.49,23.06,22.58,23.29,23.61,22.93
2081,23.53,23.06,22.64,23.30,23.68,22.93
2082,23.88,23.35,22.86,23.60,24.05,23.29
2083,23.73,23.21,22.73,23.46,23.89,23.11
2084,23.83,23.26,22.76,23.49,24.04,23.20
2085,23.44,22.94,22.44,23.19,23.59,22.84
2086,23.68,23.22,22.74,23.45,23.82,23.10
2087,23.83,23.29,22.81,23.52,24.01,23.22
2088,23.78,23.23,22.74,23.46,23.96,23.19
2089,23.59,23.16,22.66,23.41,23.71,23.02
2090,23.78,23.35,22.82,23.59,23.91,23.19
2091,23.56,23.10,22.61,23.34,23.69,22.99
2092,23.27,22.68,22.23,22.94,23.48,22.58
2093,23.52,23.07,22.56,23.31,23.66,22.94
2094,23.67,23.20,22.73,23.45,23.79,23.16
2095,23.70,23.20,22.70,23.43,23.86,23.12
2096,23.40,22.87,22.34,23.14,23.56,22.73
2097,23.38,22.86,22.38,23.09,23.56,22.74
2098,23.51,22.84,22.37,23.07,23.74,22.86
2099,23.52,22.90,22.42,23.16,23.73,22.87
2100,23.57,22.99,22.49,23.24,23.76,22.95
