Variable:,tasmin
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,19.52,12.33,20.89,18.81,16.48,22.59,16.41,15.82,16.76
2016,19.50,12.30,20.92,18.74,16.49,22.59,16.48,15.81,16.84
2017,19.66,12.64,21.04,18.97,16.82,22.67,16.68,16.05,17.02
2018,19.48,12.33,20.88,18.75,16.63,22.60,16.38,15.76,16.73
2019,19.39,12.27,20.82,18.62,16.42,22.46,16.58,15.73,16.88
2020,19.62,12.59,21.03,18.83,16.78,22.61,16.92,16.11,17.27
2021,19.61,12.66,21.00,18.84,16.74,22.57,16.80,16.09,17.08
2022,19.57,12.34,21.02,18.80,16.49,22.68,16.51,15.87,16.84
2023,19.58,12.48,21.04,18.88,16.70,22.62,16.52,15.89,16.85
2024,19.60,12.61,21.09,18.89,16.80,22.56,16.77,15.99,17.05
2025,19.77,12.66,21.14,19.03,16.78,22.85,16.84,16.11,17.18
2026,19.78,12.83,21.22,19.06,16.82,22.81,16.78,16.12,17.16
2027,19.51,12.48,20.88,18.78,16.68,22.50,16.67,15.94,17.05
2028,19.82,12.75,21.27,19.09,16.95,22.88,16.76,16.15,17.16
2029,19.85,12.82,21.29,19.15,16.96,22.90,16.75,16.17,17.06
2030,19.99,12.79,21.36,19.25,17.00,23.14,16.80,16.25,17.11
2031,19.81,12.62,21.20,19.07,16.76,22.85,16.90,16.15,17.35
2032,19.67,12.62,21.04,18.93,16.70,22.67,16.73,16.06,17.06
2033,19.71,12.51,21.04,18.96,16.74,22.77,16.83,16.06,17.13
2034,19.91,12.79,21.29,19.15,16.85,23.05,16.94,16.22,17.34
2035,20.04,13.03,21.41,19.32,17.16,23.02,17.21,16.44,17.61
2036,20.00,12.87,21.39,19.29,17.09,23.04,17.09,16.35,17.37
2037,19.95,12.89,21.23,19.24,17.06,23.01,16.94,16.36,17.28
2038,20.10,13.13,21.51,19.34,17.34,23.15,17.14,16.47,17.44
2039,19.77,12.64,21.14,19.04,16.78,22.83,16.79,16.08,17.09
2040,19.93,12.90,21.32,19.19,17.05,22.99,16.92,16.27,17.23
2041,20.05,12.86,21.49,19.31,16.98,23.09,17.06,16.35,17.40
2042,19.91,12.75,21.29,19.24,16.97,22.93,16.93,16.21,17.30
2043,19.90,12.76,21.31,19.21,16.92,22.99,16.87,16.17,17.20
2044,19.80,12.88,21.28,19.03,16.99,22.82,16.99,16.23,17.39
2045,20.07,12.85,21.45,19.32,17.09,23.16,17.08,16.41,17.59
2046,20.11,13.00,21.50,19.38,17.22,23.18,17.10,16.43,17.50
2047,20.07,12.88,21.33,19.30,17.07,23.06,17.14,16.55,17.45
2048,20.10,13.04,21.63,19.35,17.20,23.12,17.04,16.43,17.22
2049,19.91,12.80,21.33,19.19,17.04,23.00,17.09,16.18,17.32
2050,19.93,12.81,21.34,19.20,16.99,23.01,16.86,16.21,17.21
2051,20.00,12.74,21.23,19.25,16.95,23.10,16.99,16.35,17.42
2052,19.93,12.80,21.37,19.20,16.97,22.95,17.01,16.31,17.33
2053,19.89,12.80,21.34,19.11,17.07,22.98,17.07,16.24,17.29
2054,20.01,12.85,21.39,19.27,17.08,23.10,17.04,16.30,17.33
2055,19.81,12.76,21.17,19.09,16.96,22.84,17.02,16.17,17.33
2056,19.92,12.83,21.28,19.18,17.08,22.92,17.02,16.36,17.37
2057,19.96,12.92,21.25,19.26,17.06,22.91,17.13,16.45,17.57
2058,20.09,12.82,21.44,19.36,16.96,23.17,16.96,16.43,17.39
2059,19.93,12.74,21.23,19.16,16.99,23.01,16.99,16.33,17.32
2060,19.96,12.90,21.26,19.18,17.01,22.93,17.27,16.44,17.54
2061,19.94,12.82,21.30,19.17,17.01,23.06,17.00,16.29,17.27
2062,19.85,12.73,21.24,19.07,16.99,22.90,16.92,16.22,17.32
2063,20.06,13.07,21.47,19.37,17.26,23.07,16.99,16.42,17.46
2064,19.74,12.61,21.14,18.98,16.77,22.71,17.16,16.16,17.37
2065,19.62,12.47,20.94,18.89,16.54,22.73,16.73,15.90,17.07
2066,19.96,12.87,21.26,19.24,16.89,23.09,16.95,16.22,17.23
2067,20.25,13.15,21.47,19.51,17.41,23.34,17.27,16.66,17.61
2068,19.92,12.74,21.29,19.17,16.90,23.10,16.89,16.17,17.32
2069,19.87,12.62,21.14,19.10,16.74,22.92,17.09,16.32,17.43
2070,19.87,12.79,21.33,19.18,16.83,22.89,16.71,16.16,17.29
2071,19.85,12.75,21.26,19.09,16.80,22.87,17.01,16.19,17.27
2072,19.91,12.80,21.22,19.21,16.85,22.97,16.91,16.24,17.28
2073,19.85,12.87,21.15,19.10,17.02,22.86,17.20,16.28,17.54
2074,19.95,12.87,21.39,19.24,17.04,22.95,17.06,16.33,17.39
