Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2015,23.36,17.42,25.01,20.49,24.69,22.14,28.27,21.86,23.38,23.24,21.11,26.44
2016,23.37,17.43,25.09,20.49,24.61,22.27,28.16,21.89,23.28,23.26,21.14,26.48
2017,23.50,17.63,25.20,20.66,24.87,22.35,28.40,21.98,23.40,23.43,21.23,26.59
2018,23.47,17.54,25.02,20.58,24.83,22.23,28.37,21.90,23.49,23.32,21.22,26.61
2019,23.45,17.47,25.12,20.56,24.74,22.20,28.27,21.87,23.34,23.43,21.15,26.61
2020,23.51,17.60,25.15,20.61,24.86,22.24,28.44,21.87,23.46,23.35,21.26,26.65
2021,23.49,17.56,25.12,20.58,24.81,22.34,28.44,22.01,23.43,23.35,21.25,26.64
2022,23.64,17.62,25.30,20.72,24.88,22.44,28.42,22.09,23.39,23.58,21.31,26.87
2023,23.69,17.70,25.40,20.83,24.96,22.45,28.42,22.06,23.51,23.66,21.39,26.83
2024,23.79,17.78,25.49,20.92,25.12,22.63,28.65,22.27,23.72,23.76,21.49,26.93
2025,23.65,17.75,25.34,20.84,25.02,22.37,28.49,22.02,23.57,23.60,21.37,26.72
2026,23.73,17.77,25.45,20.88,25.06,22.58,28.53,22.24,23.62,23.68,21.43,26.83
2027,23.67,17.68,25.35,20.80,24.95,22.51,28.60,22.14,23.61,23.58,21.41,26.79
2028,23.78,17.90,25.51,20.92,25.08,22.64,28.66,22.27,23.75,23.65,21.52,26.86
2029,23.84,17.95,25.59,21.04,25.19,22.54,28.75,22.14,23.80,23.84,21.57,26.88
2030,23.81,17.97,25.59,20.96,25.03,22.69,28.58,22.29,23.81,23.74,21.58,26.85
2031,23.95,18.00,25.66,21.09,25.23,22.79,28.87,22.40,23.85,23.85,21.66,27.08
2032,23.93,18.01,25.59,21.08,25.24,22.73,28.88,22.35,23.91,23.82,21.67,27.03
2033,23.93,17.92,25.61,21.02,25.24,22.84,28.80,22.46,23.87,23.82,21.68,27.05
2034,23.89,17.98,25.56,20.99,25.16,22.74,28.71,22.40,23.81,23.79,21.62,26.99
2035,23.94,18.01,25.66,21.08,25.23,22.80,28.73,22.47,23.77,23.80,21.63,27.13
2036,23.90,17.92,25.69,20.96,25.10,22.72,28.66,22.41,23.91,23.86,21.60,27.02
2037,24.01,18.10,25.72,21.16,25.30,22.82,28.78,22.49,23.97,23.91,21.76,27.09
2038,24.14,18.15,25.85,21.22,25.44,22.98,28.89,22.68,24.01,24.05,21.82,27.31
2039,24.13,18.19,25.90,21.29,25.48,22.99,28.84,22.59,23.95,24.14,21.83,27.22
2040,24.14,18.20,25.89,21.31,25.49,22.98,28.96,22.60,23.97,24.06,21.82,27.26
2041,24.14,18.13,25.87,21.29,25.47,23.04,29.12,22.71,24.09,24.07,21.85,27.25
2042,24.19,18.28,25.90,21.30,25.54,23.01,29.12,22.67,24.20,24.13,21.95,27.25
2043,24.15,18.22,25.94,21.30,25.45,23.02,28.96,22.62,24.05,24.15,21.86,27.21
2044,24.19,18.27,25.94,21.32,25.45,22.92,29.00,22.60,24.03,24.14,21.88,27.33
2045,24.36,18.37,26.07,21.44,25.64,23.33,29.14,22.98,24.23,24.27,22.08,27.51
2046,24.41,18.50,26.05,21.59,25.81,23.43,29.31,23.13,24.27,24.38,22.15,27.51
2047,24.39,18.48,26.15,21.55,25.76,23.23,29.31,22.94,24.18,24.38,22.06,27.49
2048,24.40,18.40,26.14,21.56,25.75,23.29,29.23,22.98,24.18,24.44,22.05,27.53
2049,24.42,18.45,26.14,21.51,25.74,23.30,29.30,22.96,24.37,24.37,22.14,27.52
2050,24.37,18.39,26.07,21.52,25.67,23.19,29.05,22.90,24.29,24.34,22.08,27.45
2051,24.46,18.60,26.10,21.59,25.74,23.27,29.32,22.95,24.41,24.35,22.23,27.53
2052,24.58,18.49,26.40,21.65,25.91,23.45,29.39,23.10,24.45,24.58,22.26,27.69
2053,24.49,18.57,26.22,21.63,25.71,23.27,29.20,22.94,24.35,24.50,22.16,27.63
2054,24.47,18.43,26.21,21.62,25.75,23.35,29.22,23.00,24.38,24.48,22.17,27.56
2055,24.61,18.58,26.36,21.77,25.88,23.55,29.51,23.21,24.48,24.59,22.31,27.70
2056,24.50,18.61,26.23,21.66,25.87,23.38,29.40,23.00,24.34,24.50,22.21,27.59
2057,24.69,18.78,26.36,21.84,26.06,23.59,29.65,23.23,24.67,24.74,22.41,27.74
2058,24.70,18.77,26.48,21.86,26.02,23.69,29.53,23.31,24.59,24.69,22.42,27.77
2059,24.70,18.73,26.44,21.96,26.08,23.49,29.52,23.12,24.59,24.78,22.40,27.73
2060,24.78,18.82,26.58,21.98,26.09,23.67,29.41,23.33,24.55,24.76,22.46,27.87
