Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,3.61,4.45,4.32,4.03,3.92,4.12,3.53,3.13
2016,3.52,4.31,4.17,3.88,3.79,3.91,3.34,3.16
2017,3.66,4.31,4.40,3.87,3.88,3.99,3.68,3.29
2018,3.54,4.36,4.30,3.87,3.78,3.97,3.45,3.08
2019,3.78,4.47,4.54,4.09,4.05,4.26,3.77,3.32
2020,3.96,4.76,4.72,4.29,4.24,4.49,3.91,3.49
2021,4.02,4.91,4.65,4.47,4.29,4.50,3.90,3.57
2022,4.59,5.28,5.24,4.97,4.89,5.12,4.47,4.17
2023,3.46,4.25,4.19,3.77,3.70,3.88,3.43,3.04
2024,4.00,4.70,4.75,4.33,4.25,4.49,4.02,3.50
2025,4.22,5.10,4.92,4.71,4.50,4.73,4.13,3.67
2026,4.32,5.14,5.02,4.77,4.56,4.73,4.19,3.88
2027,4.09,4.87,4.62,4.52,4.39,4.61,3.95,3.67
2028,4.24,4.87,4.96,4.49,4.43,4.57,4.23,3.86
2029,4.41,5.03,5.11,4.73,4.71,4.90,4.32,4.01
2030,4.25,4.91,4.99,4.58,4.48,4.70,4.18,3.78
2031,4.09,4.84,4.80,4.45,4.38,4.59,4.01,3.62
2032,4.67,5.30,5.28,5.00,4.89,5.03,4.58,4.32
2033,4.42,5.12,5.00,4.85,4.72,4.94,4.31,4.00
2034,4.17,4.94,4.87,4.51,4.40,4.65,4.06,3.72
2035,4.47,5.06,5.13,4.74,4.67,4.81,4.38,4.12
2036,4.57,5.16,5.23,4.82,4.85,5.05,4.46,4.24
2037,4.32,4.92,4.95,4.64,4.52,4.71,4.23,3.96
2038,4.59,5.15,5.41,4.76,4.70,4.87,4.69,4.12
2039,4.54,5.35,5.25,4.92,4.73,4.91,4.44,4.09
2040,4.95,5.56,5.59,5.22,5.20,5.43,4.84,4.54
2041,4.73,5.31,5.34,4.97,4.99,5.23,4.74,4.29
2042,4.24,5.02,5.01,4.61,4.42,4.57,4.17,3.79
2043,4.98,5.67,5.66,5.34,5.22,5.37,4.88,4.59
2044,4.47,5.20,5.24,4.78,4.68,4.89,4.43,4.01
2045,4.62,5.26,5.20,4.99,4.86,5.06,4.49,4.26
2046,4.51,5.34,5.29,4.91,4.75,4.91,4.42,4.05
2047,4.97,5.62,5.51,5.31,5.23,5.50,4.92,4.59
2048,5.58,6.20,6.25,5.84,5.78,5.92,5.50,5.21
2049,5.16,5.78,5.71,5.46,5.36,5.40,5.01,4.83
2050,5.43,6.03,6.23,5.65,5.73,5.97,5.43,4.93
2051,5.14,5.79,5.77,5.47,5.38,5.60,5.04,4.74
2052,5.30,5.94,5.88,5.65,5.56,5.77,5.27,4.90
2053,5.54,6.24,6.15,5.87,5.73,5.96,5.53,5.17
2054,4.81,5.60,5.57,5.15,5.02,5.25,4.80,4.37
2055,4.97,5.58,5.63,5.18,5.21,5.35,4.92,4.64
2056,5.25,5.97,5.91,5.48,5.42,5.59,5.22,4.89
2057,5.28,5.94,5.96,5.59,5.51,5.68,5.18,4.88
2058,5.11,5.67,5.62,5.42,5.41,5.58,5.01,4.75
2059,5.14,5.88,5.87,5.41,5.36,5.55,5.10,4.68
2060,4.92,5.59,5.60,5.21,5.14,5.37,4.89,4.46
2061,5.34,6.03,6.02,5.71,5.56,5.75,5.24,4.94
2062,5.67,6.08,6.28,5.84,5.86,5.96,5.63,5.37
2063,5.44,5.98,6.13,5.66,5.65,5.78,5.47,5.03
2064,5.52,6.17,6.22,5.81,5.77,5.99,5.43,5.08
2065,5.76,6.45,6.45,6.08,6.05,6.28,5.58,5.36
2066,5.58,6.23,6.19,5.95,5.92,6.17,5.52,5.14
2067,5.43,6.01,6.09,5.63,5.64,5.83,5.44,5.02
2068,5.25,5.90,5.87,5.52,5.52,5.78,5.20,4.86
2069,5.88,6.61,6.60,6.22,6.16,6.38,5.78,5.43
2070,5.43,5.95,6.11,5.67,5.71,5.94,5.40,5.05
2071,5.56,6.05,6.23,5.84,5.77,5.92,5.50,5.21
2072,5.92,6.46,6.44,6.11,6.09,6.28,5.87,5.61
2073,5.57,6.22,6.18,5.89,5.83,6.05,5.47,5.18
2074,5.46,6.05,6.11,5.69,5.70,5.90,5.36,5.09
2075,5.36,6.07,5.97,5.78,5.58,5.81,5.27,4.94
2076,5.87,6.59,6.52,6.21,6.11,6.30,5.80,5.46
2077,5.72,6.28,6.33,5.96,5.91,6.07,5.59,5.44
2078,5.83,6.34,6.48,6.02,6.03,6.25,5.82,5.49
2079,5.74,6.20,6.45,5.76,5.79,5.88,5.89,5.45
2080,5.58,6.11,6.21,5.68,5.74,5.95,5.58,5.25
2081,5.76,6.41,6.57,5.93,5.89,6.02,5.89,5.27
2082,5.85,6.36,6.52,6.07,6.05,6.22,5.88,5.42
2083,5.47,6.17,6.17,5.82,5.73,5.95,5.38,5.01
2084,5.70,6.36,6.36,6.00,5.96,6.23,5.69,5.27
2085,5.49,6.21,6.24,5.87,5.77,6.04,5.42,4.99
2086,5.68,6.35,6.48,5.98,5.93,6.13,5.65,5.19
2087,6.10,6.49,6.75,6.20,6.34,6.47,6.12,5.80
2088,6.00,6.61,6.85,6.13,6.13,6.33,6.09,5.54
2089,5.84,6.57,6.40,6.17,6.13,6.36,5.71,5.48
2090,5.80,6.35,6.43,6.01,6.00,6.08,5.88,5.46
2091,5.88,6.45,6.64,6.07,6.07,6.31,6.00,5.35
2092,6.74,7.11,7.31,6.93,6.96,7.19,6.72,6.40
2093,6.06,6.60,6.62,6.27,6.22,6.34,6.03,5.76
2094,5.81,6.34,6.49,6.03,6.04,6.19,5.84,5.43
2095,6.15,6.70,6.87,6.37,6.34,6.50,6.15,5.72
2096,6.08,6.70,6.84,6.37,6.31,6.40,6.07,5.65
2097,6.22,6.74,7.05,6.33,6.41,6.59,6.24,5.79
2098,6.14,6.78,6.72,6.47,6.36,6.57,6.03,5.75
2099,6.00,6.62,6.75,6.25,6.26,6.43,6.02,5.56
2100,6.18,6.72,6.77,6.41,6.39,6.56,6.12,5.85
