Variable:,tasmax
,Tuvalu,"Administrative unit not available"
2015,29.98,29.38
2016,30.04,29.45
2017,30.10,29.52
2018,30.08,29.49
2019,30.12,29.53
2020,30.14,29.56
2021,30.26,29.66
2022,30.24,29.66
2023,30.21,29.64
2024,30.29,29.72
2025,30.23,29.66
2026,30.34,29.76
2027,30.36,29.75
2028,30.32,29.74
2029,30.38,29.78
2030,30.35,29.75
2031,30.42,29.83
2032,30.41,29.84
2033,30.51,29.90
2034,30.43,29.85
2035,30.48,29.88
2036,30.53,29.90
2037,30.54,29.96
2038,30.59,29.98
2039,30.54,29.96
2040,30.48,29.89
2041,30.60,30.03
2042,30.68,30.11
2043,30.68,30.07
2044,30.62,30.04
2045,30.63,30.04
2046,30.73,30.14
2047,30.77,30.17
2048,30.88,30.32
2049,30.85,30.25
2050,30.82,30.21
2051,30.81,30.24
2052,30.97,30.37
2053,30.83,30.25
2054,30.85,30.28
2055,30.98,30.38
2056,30.92,30.35
2057,31.02,30.46
2058,31.01,30.43
2059,31.00,30.41
2060,31.04,30.45
2061,30.99,30.41
2062,30.99,30.41
2063,30.99,30.46
2064,31.12,30.56
2065,31.06,30.48
2066,31.10,30.51
2067,31.02,30.46
2068,31.26,30.69
2069,31.18,30.56
2070,31.17,30.57
2071,31.23,30.63
2072,31.08,30.51
2073,31.17,30.59
2074,31.08,30.51
2075,31.14,30.59
2076,31.26,30.67
2077,31.25,30.67
2078,31.34,30.77
2079,31.37,30.77
2080,31.28,30.71
2081,31.22,30.63
2082,31.34,30.73
2083,31.36,30.76
2084,31.33,30.74
2085,31.35,30.81
2086,31.38,30.81
2087,31.28,30.69
2088,31.33,30.73
2089,31.44,30.86
2090,31.33,30.72
2091,31.45,30.85
2092,31.43,30.85
2093,31.41,30.82
2094,31.39,30.77
2095,31.50,30.97
2096,31.39,30.84
2097,31.34,30.77
2098,31.42,30.86
2099,31.40,30.81
2100,31.56,30.93
