Variable:,tasmax
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
2015,13.50,10.03,14.28,13.54,15.76,16.62,12.82,11.16,18.14,16.24,18.31,9.65,8.97,10.87,20.22,14.40,12.05
2016,13.38,10.15,13.83,13.46,15.61,16.53,12.63,11.05,17.88,16.09,18.01,9.92,9.11,11.00,20.02,14.26,11.96
2017,13.69,10.33,14.25,13.90,15.76,16.91,13.14,11.31,18.33,16.18,18.19,9.97,9.14,11.27,20.40,14.34,12.33
2018,13.63,10.26,14.36,13.54,16.02,16.49,12.99,11.42,18.35,16.47,18.39,9.83,9.24,11.01,20.19,14.45,11.89
2019,13.29,9.83,13.76,13.55,15.61,16.55,12.61,10.81,17.79,16.06,17.97,9.49,8.74,11.03,19.96,14.10,11.87
2020,13.47,10.08,13.92,13.64,15.69,16.63,12.77,11.11,17.99,16.29,18.24,9.82,9.12,11.11,20.18,14.22,12.26
2021,13.42,10.11,13.96,13.57,15.73,16.60,12.69,11.15,17.92,16.24,18.28,9.72,9.03,10.92,20.15,14.25,12.17
2022,13.81,10.51,14.33,13.84,16.07,16.85,13.20,11.45,18.40,16.54,18.47,10.23,9.37,11.32,20.47,14.62,12.32
2023,13.71,10.44,14.18,13.89,15.77,16.91,13.16,11.27,18.30,16.33,18.34,10.14,9.15,11.36,20.45,14.28,12.47
2024,13.86,10.40,14.38,14.02,16.15,17.10,13.27,11.25,18.65,16.70,18.78,10.05,9.11,11.39,20.72,14.70,12.48
2025,14.02,10.78,14.60,13.98,16.31,17.04,13.33,11.71,18.47,16.81,18.75,10.42,9.56,11.66,20.60,14.87,12.38
2026,13.61,10.16,14.32,13.59,16.30,16.67,12.79,11.33,18.15,16.68,18.64,9.63,9.16,10.96,20.23,14.79,12.15
2027,14.19,10.87,14.77,14.22,16.27,17.21,13.57,11.95,18.83,16.80,18.80,10.52,9.94,11.83,20.77,14.70,12.65
2028,13.97,10.49,14.62,14.11,16.17,17.22,13.36,11.66,18.63,16.72,18.66,10.17,9.38,11.34,20.79,14.71,12.80
2029,14.05,10.89,14.54,14.09,16.23,17.20,13.43,11.80,18.55,16.80,18.63,10.51,9.74,11.51,20.75,14.76,12.60
2030,13.96,10.50,14.61,14.04,16.35,17.05,13.30,11.67,18.57,16.83,18.85,10.12,9.43,11.31,20.65,14.87,12.53
2031,14.36,11.16,15.06,14.28,16.58,17.38,13.70,12.19,18.91,16.95,18.98,10.61,9.95,11.92,20.82,15.12,12.67
2032,14.20,10.87,14.84,14.25,16.61,17.26,13.44,11.89,18.80,16.95,18.88,10.27,9.81,11.66,20.84,15.36,12.76
2033,14.21,10.73,14.84,14.25,16.49,17.22,13.51,11.91,18.74,16.90,18.88,10.63,9.67,11.90,20.73,15.05,12.61
2034,14.07,10.87,14.56,14.11,16.13,17.13,13.42,11.81,18.61,16.57,18.57,10.58,9.93,11.75,20.65,14.56,12.54
2035,14.20,10.74,14.67,14.31,16.54,17.30,13.50,11.77,18.80,17.00,18.91,10.53,9.70,11.93,20.86,15.05,12.72
2036,14.31,11.00,14.75,14.35,16.58,17.42,13.74,11.96,18.89,16.96,18.98,10.58,9.96,11.85,20.93,15.18,12.68
2037,14.40,11.07,14.94,14.51,16.70,17.53,13.78,12.01,19.01,17.07,19.07,10.58,9.83,11.98,21.07,15.22,12.96
2038,14.28,11.08,14.90,14.26,16.53,17.40,13.61,12.14,18.88,16.95,18.94,10.44,9.78,11.59,21.03,15.30,12.78
2039,14.10,10.85,14.50,14.22,16.35,17.10,13.46,11.75,18.49,16.82,18.66,10.51,9.73,11.86,20.55,15.03,12.55
2040,14.75,11.41,15.33,14.74,16.95,17.81,14.12,12.50,19.33,17.13,19.36,11.10,10.36,12.30,21.39,15.60,13.16
2041,14.70,11.56,15.23,14.74,16.79,17.83,14.22,12.54,19.15,17.02,19.04,10.99,10.32,12.30,21.23,15.41,13.10
2042,14.13,10.72,14.51,14.45,16.17,17.41,13.57,11.67,18.69,16.76,18.71,10.34,9.61,11.93,20.87,14.70,12.91
2043,14.48,11.08,14.99,14.44,16.76,17.54,13.76,12.22,18.91,17.06,19.07,10.93,10.17,12.16,20.97,15.41,12.82
2044,14.71,11.46,15.31,14.75,16.86,17.73,14.04,12.61,19.13,17.04,19.13,11.10,10.55,12.27,21.23,15.57,13.15
2045,14.48,11.16,14.93,14.69,16.64,17.67,13.83,12.10,18.88,17.05,19.00,10.95,10.02,12.23,21.12,15.16,12.99
2046,14.85,11.63,15.47,14.91,17.11,17.90,14.22,12.54,19.27,17.39,19.39,11.19,10.57,12.49,21.33,15.60,13.40
2047,14.87,11.69,15.58,14.63,17.26,17.75,14.11,12.71,19.30,17.49,19.60,11.31,10.70,12.28,21.27,15.82,13.06
2048,14.86,11.52,15.64,14.78,17.10,17.75,14.17,12.74,19.40,17.39,19.48,11.06,10.45,12.33,21.28,15.81,13.06
2049,15.00,11.88,15.42,14.95,17.09,17.98,14.46,12.75,19.55,17.37,19.53,11.51,10.73,12.75,21.53,15.56,13.32
2050,14.88,11.46,15.65,14.80,17.20,17.84,14.12,12.74,19.44,17.36,19.63,11.26,10.51,12.26,21.38,15.93,13.28
2051,14.96,11.78,15.54,15.00,17.05,17.97,14.30,12.89,19.43,17.42,19.41,11.41,10.74,12.57,21.49,15.61,13.41
2052,14.86,11.53,15.41,15.04,17.09,18.07,14.25,12.49,19.43,17.41,19.54,11.08,10.37,12.36,21.63,15.70,13.53
2053,15.12,11.77,15.84,15.02,17.44,18.04,14.41,12.89,19.68,17.72,19.72,11.45,10.82,12.57,21.65,16.08,13.50
2054,14.96,11.35,15.57,15.23,17.28,18.20,14.36,12.51,19.63,17.58,19.73,11.03,10.13,12.57,21.85,15.82,13.84
2055,14.95,11.56,15.59,15.02,17.21,18.15,14.27,12.65,19.47,17.47,19.50,11.19,10.51,12.49,21.74,15.82,13.55
2056,15.54,12.32,16.37,15.49,17.67,18.47,14.86,13.44,19.96,17.75,19.94,11.90,11.32,13.19,21.88,16.23,13.77
2057,15.38,12.16,15.95,15.43,17.53,18.51,14.78,12.99,19.91,17.70,19.87,11.93,10.89,12.95,22.01,16.26,13.86
2058,14.98,11.54,15.61,15.12,17.28,18.15,14.30,12.61,19.56,17.53,19.63,11.19,10.33,12.59,21.63,15.98,13.67
2059,15.53,12.43,16.19,15.43,17.68,18.62,14.98,13.43,19.96,17.75,19.85,12.03,11.17,12.99,22.17,16.31,13.86
2060,15.28,12.15,15.88,15.24,17.39,18.16,14.70,13.13,19.66,17.41,19.62,11.80,11.05,12.92,21.70,16.10,13.35
2061,15.05,11.83,15.56,15.08,17.25,18.02,14.35,12.86,19.40,17.53,19.51,11.47,10.97,12.67,21.46,15.98,13.41
2062,15.43,12.12,15.96,15.44,17.57,18.40,14.95,13.12,19.90,17.80,19.87,12.06,10.89,13.09,21.88,16.22,13.89
2063,15.58,12.27,16.23,15.38,17.89,18.31,14.85,13.45,20.00,18.00,20.14,12.20,11.30,13.24,21.86,16.56,13.89
2064,15.33,11.98,16.02,15.34,17.60,18.26,14.66,13.13,19.81,17.87,20.03,11.59,10.86,12.88,21.90,16.26,13.77
2065,15.38,12.00,16.07,15.42,17.62,18.46,14.74,13.06,20.05,17.88,20.09,11.62,10.94,12.78,22.03,16.26,13.87
2066,15.33,12.09,15.77,15.32,17.54,18.34,14.77,13.03,19.80,17.83,19.90,11.83,10.99,13.06,21.86,16.03,13.72
2067,15.36,11.92,15.71,15.62,17.43,18.61,14.82,12.84,19.90,17.86,19.83,11.86,10.86,13.14,22.15,15.98,14.08
2068,15.21,11.90,15.83,15.62,17.37,18.56,14.49,12.87,19.64,17.62,19.75,11.48,10.66,12.79,21.93,15.96,14.16
2069,15.89,12.62,16.63,15.87,18.20,18.83,15.21,13.78,20.23,18.09,20.25,12.26,11.46,13.34,22.30,17.11,14.28
2070,15.45,12.22,15.82,15.51,17.44,18.57,14.94,13.17,19.98,17.74,19.88,12.02,11.02,13.26,22.09,15.89,14.00
2071,15.48,12.29,16.13,15.40,17.57,18.37,14.84,13.38,19.85,17.83,19.98,12.11,11.36,12.98,21.95,16.31,13.93
2072,15.49,12.11,16.10,15.49,17.80,18.44,14.86,13.15,19.96,17.88,19.95,11.82,11.01,13.21,21.89,16.62,13.79
2073,15.60,12.32,16.13,15.59,17.65,18.69,15.04,13.34,20.04,17.95,20.04,11.96,11.20,13.39,22.16,16.24,13.94
2074,15.83,12.69,16.33,15.89,17.69,18.95,15.33,13.58,20.25,17.81,20.08,12.44,11.52,13.64,22.47,16.33,14.29
2075,15.79,12.66,16.46,15.88,17.95,18.86,15.16,13.64,20.21,18.26,20.33,11.85,11.49,13.32,22.34,16.62,14.33
2076,15.66,12.40,16.12,15.89,17.50,18.75,15.04,13.47,20.00,17.74,19.95,12.22,11.48,13.47,22.06,16.22,14.29
2077,15.73,12.33,16.27,15.89,17.89,18.98,15.11,13.25,20.16,18.11,20.18,12.14,11.27,13.48,22.52,16.55,14.33
2078,15.76,12.63,16.25,15.64,17.78,18.68,15.13,13.78,20.21,17.90,20.09,12.25,11.85,13.39,22.12,16.50,13.92
2079,15.77,12.68,16.38,15.66,18.03,18.55,15.17,13.65,20.03,18.08,20.20,12.24,11.58,13.32,22.07,16.84,14.03
2080,15.56,12.20,15.97,15.82,17.61,18.77,14.92,13.21,20.04,17.97,20.00,11.89,11.21,13.38,22.25,16.25,14.18
2081,15.35,11.93,15.99,15.28,17.70,18.31,14.57,13.19,19.82,17.90,20.10,11.68,10.94,12.95,21.90,16.30,13.76
2082,15.87,12.68,16.56,15.69,17.98,18.72,15.30,13.77,20.39,18.13,20.39,12.32,11.56,13.40,22.25,16.75,13.98
2083,15.94,12.69,16.59,15.96,18.13,18.93,15.17,13.63,20.45,18.40,20.64,12.40,11.61,13.50,22.47,16.89,14.51
2084,16.04,12.67,16.84,15.93,18.39,19.08,15.33,13.81,20.58,18.46,20.62,12.20,11.57,13.54,22.61,17.09,14.46
2085,15.99,12.55,16.54,15.99,18.19,19.15,15.45,13.63,20.55,18.33,20.63,12.29,11.51,13.61,22.61,16.77,14.43
2086,15.98,12.82,16.55,15.94,18.02,18.93,15.33,13.72,20.40,18.23,20.52,12.72,11.55,13.76,22.44,16.66,14.36
2087,16.26,13.20,16.74,16.17,18.30,19.25,15.65,14.13,20.83,18.37,20.75,12.93,12.12,13.80,22.70,16.93,14.61
2088,15.87,12.56,16.55,15.76,18.22,18.85,15.20,13.73,20.30,18.35,20.47,12.32,11.53,13.33,22.28,16.80,14.19
2089,15.96,12.77,16.55,15.80,18.10,18.84,15.42,13.81,20.45,18.19,20.41,12.46,11.76,13.56,22.44,16.75,14.18
2090,16.13,13.14,16.62,16.25,17.90,19.13,15.55,14.03,20.41,18.06,20.36,12.95,12.05,13.90,22.58,16.60,14.61
2091,16.27,13.11,16.98,16.18,18.35,19.21,15.63,14.03,20.75,18.40,20.69,12.60,11.97,13.82,22.63,17.32,14.71
2092,16.28,13.02,17.17,16.21,18.43,19.20,15.56,14.16,20.78,18.44,20.80,12.66,11.87,13.72,22.77,17.20,14.60
2093,16.31,13.15,17.11,16.18,18.46,19.20,15.63,14.44,20.71,18.45,20.64,12.65,12.14,13.76,22.64,17.13,14.60
2094,15.89,12.45,16.64,15.90,18.19,18.93,15.15,13.58,20.51,18.33,20.57,12.04,11.36,13.41,22.63,16.92,14.59
2095,16.20,13.06,16.89,16.07,18.32,19.11,15.62,14.20,20.64,18.27,20.53,12.58,12.02,13.67,22.58,17.17,14.36
2096,16.22,13.23,16.69,16.11,18.21,19.12,15.57,14.13,20.42,18.26,20.47,12.93,12.26,13.95,22.58,17.07,14.53
2097,16.22,13.12,16.95,16.02,18.69,19.11,15.41,14.32,20.46,18.64,20.75,12.57,12.10,13.56,22.60,17.52,14.55
2098,16.35,13.22,17.18,16.17,18.54,19.22,15.80,14.26,20.93,18.52,20.88,12.66,12.06,13.67,22.79,17.14,14.62
2099,16.17,13.02,16.62,16.26,18.17,19.27,15.57,13.91,20.55,18.32,20.67,12.84,11.94,13.88,22.63,16.76,14.77
2100,16.10,12.83,16.78,16.05,18.22,19.10,15.40,14.02,20.63,18.34,20.60,12.55,11.95,13.53,22.64,16.94,14.55
