Variable:,tasmax
,"San Marino","Administrative unit not available"
2015,16.18,18.81
2016,15.96,18.40
2017,15.93,18.47
2018,16.42,18.90
2019,16.47,18.95
2020,16.47,18.90
2021,16.50,18.94
2022,16.63,19.10
2023,16.34,18.82
2024,16.38,18.85
2025,16.60,19.03
2026,16.81,19.20
2027,16.35,19.24
2028,16.72,19.22
2029,16.64,19.22
2030,16.65,19.10
2031,16.65,19.08
2032,17.14,19.57
2033,16.60,19.24
2034,17.09,19.56
2035,16.97,19.47
2036,17.14,19.50
2037,17.02,19.50
2038,17.11,19.71
2039,17.10,19.55
2040,17.05,19.49
2041,16.94,19.33
2042,17.12,19.55
2043,16.92,19.49
2044,17.04,19.57
2045,17.18,19.74
2046,17.13,19.62
2047,17.33,19.82
2048,17.43,19.96
2049,17.47,19.98
2050,17.63,20.13
2051,17.67,20.09
2052,17.47,19.86
2053,17.56,20.11
2054,17.55,20.04
2055,17.81,20.29
2056,17.55,19.97
2057,17.66,20.17
2058,18.06,20.52
2059,17.83,20.33
2060,17.83,20.38
2061,17.84,20.34
2062,18.00,20.31
2063,18.21,20.52
2064,17.67,20.10
2065,18.17,20.58
2066,17.94,20.50
2067,18.36,20.62
2068,18.10,20.55
2069,18.04,20.72
2070,17.69,20.22
2071,18.16,20.59
2072,17.86,20.48
2073,18.06,20.55
2074,18.21,20.58
2075,18.02,20.35
2076,17.91,20.28
2077,18.12,20.51
2078,18.34,21.03
2079,18.42,20.82
2080,17.87,20.47
2081,18.07,20.61
2082,18.46,21.05
2083,18.27,20.71
2084,18.44,21.04
2085,18.41,20.77
2086,18.57,21.06
2087,18.43,20.89
2088,18.77,21.14
2089,18.52,20.90
2090,18.78,21.09
2091,18.54,20.89
2092,18.70,21.18
2093,18.58,21.16
2094,18.35,21.02
2095,18.35,20.82
2096,18.73,21.07
2097,18.67,21.06
2098,18.74,21.11
2099,18.78,21.21
2100,18.70,21.03
