Variable:,tasmin
,"New Caledonia","Administrative unit not available"
2015,20.49,21.41
2016,20.38,21.29
2017,20.24,21.16
2018,20.44,21.32
2019,20.44,21.32
2020,20.46,21.30
2021,20.41,21.32
2022,20.52,21.42
2023,20.46,21.34
2024,20.57,21.46
2025,20.52,21.41
2026,20.62,21.51
2027,20.59,21.50
2028,20.82,21.69
2029,20.55,21.44
2030,20.66,21.55
2031,20.79,21.67
2032,20.59,21.44
2033,20.56,21.44
2034,20.66,21.56
2035,20.81,21.68
2036,20.78,21.68
2037,20.78,21.66
2038,20.76,21.61
2039,20.61,21.51
2040,20.86,21.67
2041,20.94,21.80
2042,20.63,21.51
2043,20.68,21.62
2044,20.67,21.56
2045,20.84,21.70
2046,20.80,21.69
2047,20.94,21.80
2048,20.81,21.69
2049,20.82,21.70
2050,20.88,21.82
2051,20.61,21.48
2052,20.61,21.50
2053,20.62,21.44
2054,20.62,21.50
2055,20.73,21.66
2056,20.69,21.61
2057,20.67,21.55
2058,20.90,21.77
2059,20.85,21.74
2060,20.72,21.62
2061,20.69,21.56
2062,20.71,21.58
2063,20.71,21.54
2064,20.80,21.73
2065,20.75,21.64
2066,20.69,21.57
2067,20.79,21.69
2068,20.78,21.64
2069,20.71,21.61
2070,20.66,21.54
2071,20.94,21.82
2072,20.76,21.65
2073,20.73,21.60
2074,20.65,21.54
2075,20.82,21.68
2076,20.69,21.54
2077,20.61,21.47
2078,20.63,21.53
2079,20.52,21.38
2080,20.58,21.48
2081,20.73,21.61
2082,20.68,21.61
2083,20.68,21.57
2084,20.65,21.52
2085,20.63,21.50
2086,20.47,21.35
2087,20.40,21.28
2088,20.73,21.62
2089,20.63,21.53
2090,20.45,21.35
2091,20.78,21.64
2092,20.76,21.64
2093,20.52,21.41
2094,20.52,21.39
2095,20.38,21.25
2096,20.60,21.51
2097,20.53,21.41
2098,20.54,21.44
2099,20.62,21.52
2100,20.67,21.55
