Variable:,tasmin
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
2015,22.15,22.55,21.77,21.77,21.77,21.77,21.77,21.77,21.77,21.78,21.77
2016,22.26,22.76,21.78,21.78,21.78,21.78,21.78,21.78,21.78,21.80,21.78
2017,22.15,22.61,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.75,21.73
2018,22.13,22.50,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.76,21.75
2019,22.09,22.53,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.68,21.66
2020,22.43,22.85,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.06,22.05
2021,22.34,22.84,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.90,21.88
2022,22.30,22.67,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.96,21.95
2023,22.48,22.95,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.05,22.03
2024,22.50,22.95,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.13,22.12
2025,22.51,22.95,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.15,22.14
2026,22.46,22.90,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.13,22.12
2027,22.45,22.83,22.07,22.07,22.07,22.07,22.07,22.07,22.07,22.09,22.07
2028,22.42,22.83,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.04,22.02
2029,22.44,22.81,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.12,22.11
2030,22.51,22.98,22.10,22.10,22.10,22.10,22.10,22.10,22.10,22.11,22.10
2031,22.55,23.03,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.18,22.17
2032,22.44,22.82,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.04,22.03
2033,22.32,22.86,21.96,21.96,21.96,21.96,21.96,21.96,21.96,21.97,21.96
2034,22.57,23.06,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.13,22.11
2035,22.45,22.87,22.08,22.08,22.08,22.08,22.08,22.08,22.08,22.09,22.08
2036,22.49,22.81,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.23,22.22
2037,22.48,22.92,22.17,22.17,22.17,22.17,22.17,22.17,22.17,22.18,22.17
2038,22.64,23.04,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.29,22.28
2039,22.49,22.85,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.13,22.12
2040,22.58,23.01,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.20,22.19
2041,22.65,23.13,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.26,22.25
2042,22.45,22.88,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.14,22.13
2043,22.41,22.93,22.02,22.02,22.02,22.02,22.02,22.02,22.02,22.03,22.02
2044,22.41,23.01,21.93,21.93,21.93,21.93,21.93,21.93,21.93,21.95,21.93
2045,22.60,23.07,22.21,22.21,22.21,22.21,22.21,22.21,22.21,22.22,22.21
2046,22.65,23.02,22.23,22.23,22.23,22.23,22.23,22.23,22.23,22.25,22.23
2047,22.53,22.97,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.14,22.12
2048,22.84,23.13,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.54,22.53
2049,22.49,23.00,22.15,22.15,22.15,22.15,22.15,22.15,22.15,22.16,22.15
2050,22.35,22.83,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.93,21.91
2051,22.49,22.97,22.11,22.11,22.11,22.11,22.11,22.11,22.11,22.12,22.11
