Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2015,23.46,17.57,24.94,20.49,24.75,22.34,27.99,22.03,23.40,23.15,21.25,26.73
2016,23.48,17.69,25.20,20.57,24.65,22.46,28.24,22.19,23.37,23.35,21.24,26.63
2017,23.57,17.63,25.21,20.74,24.85,22.40,28.54,21.98,23.57,23.49,21.33,26.68
2018,23.52,17.61,25.02,20.63,24.65,22.45,28.13,22.08,23.32,23.45,21.26,26.76
2019,23.50,17.66,25.06,20.60,24.83,22.32,28.17,21.96,23.44,23.34,21.28,26.63
2020,23.72,17.93,25.43,20.93,25.14,22.51,28.79,22.11,23.74,23.69,21.45,26.73
2021,23.62,17.76,25.34,20.79,25.02,22.58,28.44,22.26,23.52,23.59,21.33,26.68
2022,23.42,17.60,25.05,20.66,24.79,22.00,28.12,21.58,23.25,23.30,21.13,26.57
2023,23.57,17.69,25.26,20.84,24.94,22.38,28.38,21.93,23.41,23.55,21.31,26.63
2024,23.74,17.98,25.29,20.87,25.07,22.48,28.46,22.09,23.72,23.52,21.52,26.86
2025,23.79,17.96,25.47,20.95,25.16,22.75,28.73,22.40,23.77,23.69,21.57,26.84
2026,23.74,17.74,25.45,20.95,25.11,22.55,28.51,22.39,23.47,23.87,21.39,26.81
2027,23.59,17.77,25.14,20.80,25.01,22.27,28.28,22.09,23.46,23.50,21.35,26.66
2028,23.71,17.83,25.42,20.81,25.09,22.49,28.22,22.09,23.53,23.57,21.41,26.88
2029,23.76,17.85,25.35,20.85,24.96,22.40,28.26,22.02,23.68,23.77,21.51,26.94
2030,23.95,18.06,25.53,21.00,25.29,22.74,28.67,22.41,23.86,23.76,21.69,27.16
2031,23.85,17.95,25.58,21.12,25.24,22.70,28.76,22.24,23.64,23.78,21.55,26.89
2032,23.49,17.53,25.03,20.52,24.71,22.25,28.37,21.93,23.50,23.31,21.26,26.69
2033,23.76,17.93,25.37,20.84,25.18,22.64,28.70,22.34,23.66,23.51,21.54,26.88
2034,23.74,17.91,25.49,20.92,25.13,22.33,28.70,21.92,23.78,23.65,21.51,26.76
2035,24.05,18.01,25.81,21.26,25.49,22.80,29.03,22.46,24.05,24.14,21.77,27.05
2036,23.90,17.93,25.49,21.02,25.11,22.72,28.65,22.35,23.89,23.72,21.69,27.06
2037,23.93,17.89,25.55,21.02,25.34,22.83,28.89,22.48,23.86,23.66,21.64,27.11
2038,24.08,18.22,25.86,21.31,25.38,23.06,28.71,22.69,23.88,23.99,21.78,27.15
2039,23.85,18.02,25.58,21.11,25.35,22.47,28.66,22.14,23.76,23.88,21.55,26.86
2040,23.98,18.02,25.82,21.18,25.30,22.86,28.54,22.49,23.73,23.96,21.69,27.00
2041,24.13,18.27,25.78,21.48,25.47,22.99,28.73,22.57,23.81,24.36,21.79,27.18
2042,23.87,18.02,25.46,20.97,25.24,22.76,28.40,22.46,23.72,23.77,21.63,27.06
2043,23.75,17.68,25.41,20.76,24.94,22.52,28.27,22.21,23.56,23.52,21.42,27.05
2044,23.81,17.90,25.52,21.02,25.13,22.53,28.74,22.19,23.79,23.78,21.49,26.87
2045,24.09,18.25,25.79,21.36,25.64,22.84,29.33,22.42,24.04,24.13,21.79,27.09
2046,24.10,18.10,25.53,21.25,25.53,22.96,29.06,22.58,23.99,23.96,21.84,27.31
2047,24.00,18.18,25.73,21.27,25.41,22.69,28.74,22.37,23.72,24.10,21.65,27.09
2048,23.98,18.11,25.65,21.29,25.58,22.84,28.80,22.61,23.89,23.99,21.71,26.97
2049,23.98,18.11,25.64,21.19,25.36,22.89,28.68,22.61,23.73,23.86,21.64,27.17
