Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
2015,8.95,11.93,11.01,10.82,6.77,11.86,12.36,12.74,5.93,12.07,12.52,10.03,14.64,15.82,10.56,13.59
2016,9.08,12.31,10.95,11.10,6.61,11.86,12.60,12.89,6.00,12.16,12.69,9.85,14.92,16.09,10.38,13.79
2017,9.18,12.44,10.99,11.13,6.82,11.91,12.71,12.93,6.05,12.20,12.83,9.92,15.13,16.34,10.44,13.93
2018,9.12,12.21,11.03,11.02,6.88,11.97,12.57,12.96,6.14,12.23,12.75,9.98,14.75,15.94,10.50,13.90
2019,9.12,12.04,11.18,10.94,6.99,12.09,12.69,13.02,6.12,12.34,12.81,10.19,14.68,15.96,10.64,13.92
2020,9.24,12.66,11.15,11.15,6.82,12.08,12.60,12.88,6.18,12.24,12.64,9.92,15.34,16.50,10.58,13.82
2021,9.33,12.45,11.17,11.46,6.99,12.03,12.86,13.08,6.18,12.34,12.95,10.12,14.98,16.21,10.65,14.04
2022,9.15,12.32,11.01,11.24,6.83,11.90,12.63,12.82,6.06,12.15,12.63,9.89,14.90,16.13,10.45,13.76
2023,9.16,12.48,10.87,11.39,6.68,11.85,12.85,12.97,5.94,12.25,12.82,9.81,15.06,16.22,10.35,14.05
2024,9.31,12.47,11.28,11.34,7.06,12.13,12.72,12.93,6.23,12.28,12.74,10.18,15.06,16.26,10.76,13.87
2025,9.31,12.72,10.98,11.50,6.80,11.92,12.81,12.96,6.20,12.24,12.85,9.86,15.22,16.40,10.44,13.95
2026,9.26,12.52,11.08,11.34,6.88,11.95,12.62,12.87,6.20,12.17,12.65,9.97,15.00,16.21,10.54,13.74
2027,9.32,12.55,11.31,11.50,6.81,12.15,12.75,12.91,6.21,12.31,12.78,10.12,15.11,16.27,10.77,13.91
2028,9.35,12.66,11.08,11.48,6.82,12.03,12.89,13.11,6.19,12.40,13.08,9.98,15.23,16.42,10.55,14.13
2029,9.37,12.49,11.26,11.32,7.10,12.13,12.83,13.08,6.23,12.42,12.97,10.26,15.04,16.18,10.73,14.11
2030,9.27,12.54,11.19,11.25,6.76,12.07,12.69,13.06,6.09,12.38,12.88,10.06,15.24,16.48,10.67,13.97
