Variable:,tasmax
,Nauru,"Administrative unit not available"
2015,29.60,29.09
2016,29.79,29.31
2017,29.85,29.34
2018,29.78,29.27
2019,29.62,29.13
2020,29.65,29.17
2021,29.87,29.35
2022,29.83,29.39
2023,29.90,29.42
2024,29.89,29.40
2025,29.85,29.37
2026,29.96,29.49
2027,30.06,29.57
2028,30.10,29.60
2029,30.07,29.60
2030,29.99,29.53
2031,30.16,29.68
2032,30.20,29.70
2033,30.24,29.72
2034,30.10,29.63
2035,29.94,29.47
2036,30.25,29.78
2037,30.45,29.96
2038,30.32,29.85
2039,30.28,29.79
2040,30.09,29.60
2041,30.31,29.82
2042,30.34,29.84
2043,30.29,29.83
2044,30.20,29.71
2045,30.38,29.92
2046,30.46,29.98
2047,30.45,29.97
2048,30.63,30.15
2049,30.50,30.05
2050,30.44,29.94
2051,30.53,30.07
2052,30.63,30.15
2053,30.53,30.04
2054,30.63,30.14
2055,30.64,30.16
2056,30.76,30.24
2057,30.81,30.33
2058,30.72,30.25
2059,30.84,30.32
2060,30.75,30.26
2061,30.69,30.20
2062,30.74,30.23
2063,30.80,30.33
2064,30.78,30.29
2065,30.81,30.30
2066,30.80,30.33
2067,30.67,30.14
2068,30.90,30.37
2069,30.93,30.44
2070,30.90,30.41
2071,30.89,30.43
2072,30.87,30.39
2073,31.11,30.59
2074,30.82,30.38
2075,30.85,30.37
2076,31.00,30.51
2077,31.06,30.60
2078,31.12,30.62
2079,31.04,30.55
2080,31.05,30.56
2081,31.01,30.52
2082,30.95,30.49
2083,31.14,30.63
2084,31.19,30.72
2085,31.17,30.68
2086,31.14,30.67
2087,31.12,30.67
2088,31.00,30.51
2089,31.30,30.79
2090,31.13,30.63
2091,31.10,30.64
2092,31.12,30.61
2093,31.12,30.63
2094,31.12,30.56
2095,31.18,30.71
2096,31.09,30.61
2097,31.26,30.77
2098,31.19,30.69
2099,31.29,30.79
2100,31.21,30.72
