Variable:,tasmin
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
2015,12.30,11.34,11.62,13.14,14.17,8.92,13.51,13.83,15.95,17.30,12.58,12.08,13.17,10.17,13.11,10.93
2016,12.18,11.26,11.53,12.96,13.95,8.77,13.25,13.61,15.80,17.16,12.45,11.84,13.10,10.09,12.90,10.74
2017,12.36,11.43,11.62,13.14,14.15,8.93,13.46,13.83,16.08,17.34,12.68,12.04,13.32,10.28,13.02,10.96
2018,12.45,11.56,11.83,13.16,14.12,9.08,13.41,13.77,16.16,17.46,12.66,12.06,13.39,10.35,13.02,11.00
2019,12.36,11.44,11.65,13.11,14.13,8.94,13.38,13.77,16.11,17.42,12.64,12.05,13.33,10.24,12.99,10.90
2020,12.43,11.51,11.78,13.22,14.15,9.02,13.55,13.90,16.11,17.32,12.66,12.11,13.34,10.30,13.15,11.05
2021,12.45,11.53,11.83,13.15,14.15,9.05,13.58,13.86,16.13,17.49,12.68,12.08,13.37,10.31,13.13,11.06
2022,12.62,11.69,11.92,13.39,14.39,9.20,13.75,14.07,16.27,17.60,12.91,12.29,13.55,10.59,13.32,11.19
2023,12.61,11.64,11.88,13.46,14.39,9.23,13.81,14.09,16.25,17.59,12.93,12.39,13.46,10.54,13.41,11.30
2024,12.63,11.73,12.02,13.42,14.38,9.33,13.74,14.13,16.23,17.46,12.84,12.31,13.51,10.49,13.31,11.31
2025,12.63,11.74,11.99,13.31,14.30,9.31,13.69,13.98,16.30,17.61,12.83,12.26,13.56,10.51,13.23,11.22
2026,12.66,11.77,12.07,13.44,14.36,9.34,13.73,14.10,16.22,17.51,12.90,12.40,13.54,10.58,13.31,11.30
2027,12.74,11.84,12.17,13.56,14.46,9.42,13.84,14.18,16.34,17.66,12.92,12.45,13.59,10.66,13.43,11.37
2028,12.74,11.84,12.10,13.49,14.45,9.44,13.75,14.10,16.35,17.57,12.99,12.39,13.67,10.67,13.35,11.33
2029,12.85,11.90,12.20,13.58,14.56,9.53,13.89,14.20,16.54,17.86,13.09,12.49,13.78,10.79,13.48,11.48
2030,12.90,12.00,12.26,13.59,14.54,9.53,13.84,14.16,16.54,17.83,13.16,12.47,13.87,10.89,13.51,11.51
2031,12.68,11.68,12.04,13.49,14.45,9.23,13.82,14.15,16.37,17.60,12.95,12.40,13.60,10.53,13.37,11.30
2032,12.80,11.91,12.11,13.61,14.54,9.42,13.84,14.25,16.50,17.77,13.15,12.44,13.78,10.78,13.34,11.27
2033,12.64,11.81,12.11,13.32,14.33,9.28,13.66,13.94,16.27,17.60,12.81,12.28,13.54,10.51,13.23,11.20
2034,12.92,12.04,12.27,13.73,14.61,9.59,14.01,14.33,16.50,17.70,13.14,12.68,13.79,10.88,13.57,11.59
2035,12.78,11.89,12.12,13.57,14.47,9.45,13.84,14.18,16.32,17.54,13.05,12.50,13.70,10.74,13.38,11.44
2036,12.80,11.94,12.19,13.55,14.43,9.51,13.82,14.21,16.39,17.64,12.96,12.53,13.69,10.78,13.43,11.51
2037,12.93,12.07,12.22,13.70,14.65,9.53,14.00,14.31,16.66,17.81,13.15,12.64,13.88,10.87,13.53,11.46
2038,12.97,12.06,12.37,13.69,14.62,9.69,13.96,14.27,16.58,17.87,13.18,12.62,13.84,10.94,13.53,11.67
2039,13.05,12.17,12.40,13.79,14.71,9.76,14.09,14.44,16.68,17.72,13.25,12.75,13.98,10.94,13.71,11.71
2040,12.83,11.88,12.18,13.61,14.54,9.49,13.95,14.22,16.49,17.76,13.07,12.57,13.72,10.73,13.44,11.46
2041,12.92,11.96,12.24,13.76,14.69,9.67,13.98,14.36,16.53,17.75,13.24,12.65,13.78,10.91,13.55,11.61
2042,12.97,12.04,12.33,13.79,14.68,9.58,14.12,14.43,16.57,17.79,13.21,12.75,13.84,10.90,13.74,11.66
2043,13.16,12.30,12.49,13.91,14.77,9.87,14.24,14.44,16.69,17.86,13.35,12.92,14.07,11.10,13.89,11.90
2044,13.14,12.24,12.51,13.93,14.77,9.92,14.27,14.56,16.71,17.87,13.35,12.85,14.01,11.15,13.90,11.91
2045,13.05,12.14,12.37,13.84,14.71,9.64,14.15,14.51,16.70,17.92,13.29,12.71,14.01,11.02,13.73,11.66
2046,13.18,12.28,12.55,13.94,14.79,9.89,14.21,14.52,16.83,18.00,13.38,12.84,14.11,11.15,13.79,11.83
2047,13.11,12.17,12.51,13.88,14.76,9.74,14.19,14.49,16.72,17.93,13.33,12.90,13.96,11.06,13.80,11.80
2048,13.14,12.30,12.59,13.91,14.77,9.88,14.14,14.54,16.73,17.95,13.28,12.86,14.00,11.08,13.71,11.84
2049,13.18,12.36,12.57,13.88,14.71,9.87,14.18,14.42,16.80,18.00,13.36,12.86,14.12,11.17,13.76,11.85
2050,13.22,12.34,12.57,13.98,14.72,9.91,14.20,14.52,16.93,18.03,13.41,12.89,14.18,11.25,13.79,11.80
2051,13.31,12.40,12.61,14.12,14.99,9.99,14.41,14.73,16.95,18.05,13.51,13.07,14.19,11.30,14.02,11.98
2052,13.09,12.24,12.45,13.77,14.69,9.70,14.16,14.34,16.82,18.01,13.25,12.71,14.05,11.00,13.73,11.71
2053,13.33,12.45,12.67,14.07,14.89,10.03,14.33,14.60,16.99,18.01,13.57,13.00,14.30,11.34,13.89,11.98
2054,13.10,12.24,12.56,13.89,14.73,9.83,14.20,14.42,16.59,17.76,13.27,12.82,13.96,11.06,13.66,11.75
2055,13.06,12.19,12.53,13.74,14.68,9.81,14.08,14.31,16.62,17.94,13.25,12.69,13.93,11.01,13.67,11.70
2056,13.08,12.06,12.47,13.77,14.73,9.70,14.09,14.34,16.78,17.92,13.33,12.74,13.99,10.92,13.75,11.85
2057,13.20,12.34,12.55,13.93,14.70,9.87,14.21,14.44,16.83,17.90,13.37,12.87,14.14,11.22,13.81,11.89
2058,13.16,12.29,12.47,13.85,14.69,9.85,14.11,14.39,16.82,17.91,13.39,12.76,14.14,11.14,13.75,11.83
2059,13.15,12.26,12.53,13.88,14.79,9.81,14.19,14.47,16.74,18.00,13.32,12.80,14.06,11.14,13.76,11.81
2060,13.20,12.39,12.71,13.88,14.66,9.89,14.05,14.38,16.79,17.89,13.32,12.78,14.15,11.26,13.61,11.73
2061,13.39,12.48,12.80,14.10,14.86,10.14,14.33,14.60,16.93,18.02,13.60,13.04,14.32,11.38,13.94,12.09
2062,13.22,12.31,12.54,13.93,14.89,9.93,14.26,14.54,16.88,18.06,13.47,12.85,14.19,11.18,13.84,11.85
2063,13.23,12.36,12.63,14.02,14.85,9.93,14.26,14.59,16.83,17.97,13.46,12.96,14.14,11.22,13.81,11.86
2064,13.16,12.29,12.44,13.89,14.77,9.80,14.21,14.40,16.81,17.96,13.40,12.88,14.14,11.21,13.75,11.81
2065,13.25,12.35,12.70,14.04,14.95,10.00,14.36,14.76,16.80,17.87,13.46,12.96,14.10,11.16,13.92,11.91
2066,13.27,12.40,12.69,14.07,14.92,10.02,14.31,14.66,16.83,18.06,13.45,13.00,14.13,11.20,13.82,11.98
2067,13.20,12.31,12.57,13.96,14.94,9.87,14.24,14.68,16.85,18.18,13.43,12.91,14.11,11.11,13.74,11.76
2068,13.29,12.43,12.65,14.03,14.88,9.99,14.30,14.65,16.92,18.14,13.45,12.91,14.22,11.27,13.84,11.91
2069,13.15,12.28,12.58,13.84,14.69,9.77,14.19,14.39,16.80,17.94,13.28,12.75,14.07,11.09,13.71,11.77
2070,13.48,12.60,12.78,14.33,15.15,10.14,14.55,14.86,17.14,18.24,13.72,13.28,14.40,11.52,14.09,12.15
2071,13.17,12.31,12.54,13.90,14.75,9.85,14.17,14.48,16.76,17.92,13.35,12.82,14.11,11.14,13.80,11.83
2072,13.33,12.40,12.65,14.17,14.96,10.08,14.39,14.79,16.99,18.22,13.53,13.04,14.24,11.39,13.87,11.93
2073,13.22,12.37,12.60,13.99,14.86,9.94,14.30,14.63,16.87,18.03,13.43,12.90,14.13,11.15,13.83,11.85
2074,13.37,12.53,12.78,14.08,14.99,10.06,14.31,14.61,16.99,18.05,13.55,12.95,14.31,11.32,13.86,11.99
2075,13.25,12.36,12.61,14.07,14.88,9.89,14.33,14.67,16.82,17.90,13.49,12.99,14.17,11.23,13.88,11.81
2076,13.26,12.40,12.60,14.01,14.85,9.96,14.29,14.56,16.83,17.92,13.48,12.97,14.20,11.33,13.85,11.87
2077,13.11,12.23,12.52,13.85,14.71,9.83,14.14,14.46,16.71,18.01,13.27,12.80,14.02,11.07,13.70,11.72
2078,13.32,12.51,12.69,14.07,14.82,10.04,14.25,14.60,16.88,17.96,13.48,13.03,14.25,11.38,13.84,12.05
2079,13.16,12.24,12.55,13.90,14.77,9.90,14.21,14.46,16.75,17.94,13.36,12.87,14.04,11.10,13.77,11.91
2080,13.07,12.14,12.35,13.81,14.80,9.76,14.14,14.36,16.67,17.93,13.30,12.82,13.96,11.01,13.82,11.77
2081,13.15,12.26,12.52,13.89,14.85,9.85,14.26,14.56,16.75,17.87,13.35,12.86,14.05,11.08,13.81,11.79
2082,13.17,12.33,12.53,13.91,14.74,9.83,14.20,14.57,16.77,17.97,13.35,12.83,14.12,11.18,13.77,11.80
2083,13.11,12.24,12.47,13.84,14.78,9.86,14.13,14.41,16.62,17.92,13.35,12.75,14.03,11.15,13.85,11.73
2084,13.27,12.45,12.74,14.03,14.78,10.07,14.24,14.56,16.79,17.98,13.37,13.00,14.15,11.31,13.82,11.94
2085,13.25,12.28,12.59,14.11,14.94,9.99,14.36,14.72,16.79,17.97,13.45,13.03,14.08,11.32,14.01,11.98
2086,13.23,12.33,12.64,14.00,14.91,9.95,14.27,14.60,16.78,18.13,13.45,12.90,14.11,11.18,13.89,11.84
2087,13.15,12.27,12.54,13.83,14.75,9.80,14.02,14.33,16.85,18.04,13.37,12.71,14.13,11.20,13.61,11.61
2088,13.19,12.26,12.51,14.01,14.97,9.80,14.22,14.58,16.82,18.07,13.48,12.89,14.11,11.14,13.80,11.80
2089,13.33,12.45,12.66,14.14,15.00,10.14,14.35,14.68,16.90,18.16,13.59,13.05,14.18,11.38,13.94,12.07
2090,13.24,12.35,12.52,14.01,14.85,9.91,14.27,14.62,16.90,18.05,13.47,13.00,14.21,11.17,13.85,11.92
2091,13.34,12.43,12.78,13.97,14.86,10.06,14.40,14.52,16.98,18.10,13.46,12.95,14.25,11.23,13.97,12.04
2092,13.12,12.22,12.44,13.99,14.72,9.89,14.19,14.60,16.72,17.90,13.34,12.85,13.99,11.18,13.84,11.76
2093,13.35,12.39,12.66,14.22,15.11,9.98,14.44,14.81,17.04,18.27,13.67,13.12,14.22,11.28,14.00,11.98
2094,13.25,12.35,12.61,13.98,14.87,9.93,14.33,14.55,16.83,17.90,13.43,12.88,14.18,11.25,13.97,11.97
2095,13.12,12.21,12.56,13.83,14.77,9.76,14.12,14.45,16.75,18.01,13.32,12.69,13.99,11.03,13.78,11.71
2096,13.21,12.29,12.51,14.01,14.88,9.88,14.15,14.53,16.85,17.93,13.49,12.89,14.17,11.27,13.76,11.76
2097,13.05,12.10,12.39,13.88,14.80,9.79,14.22,14.51,16.59,17.92,13.32,12.85,13.92,11.02,13.82,11.73
2098,13.15,12.33,12.56,13.83,14.74,9.84,14.08,14.43,16.73,17.89,13.31,12.79,14.13,11.08,13.66,11.75
2099,13.30,12.40,12.68,14.00,14.85,9.94,14.24,14.57,16.87,17.94,13.52,12.90,14.26,11.33,13.88,11.96
2100,13.06,12.27,12.60,13.72,14.59,9.86,14.03,14.31,16.54,17.72,13.17,12.64,13.89,11.02,13.59,11.76
