Variable:,tas
2015,27.05
2016,26.79
2017,27.08
2018,27.06
2019,27.07
2020,27.39
2021,27.13
2022,27.22
2023,27.25
2024,27.32
2025,27.28
2026,27.36
2027,27.34
2028,27.31
2029,27.26
2030,27.29
2031,27.22
2032,27.33
2033,27.13
2034,27.30
2035,27.47
2036,27.27
2037,27.31
2038,27.33
2039,27.34
2040,27.45
2041,27.56
2042,27.28
2043,27.23
2044,27.34
2045,27.57
2046,27.41
2047,27.50
2048,27.57
2049,27.40
2050,27.33
2051,27.20
2052,27.30
2053,27.41
2054,27.44
2055,27.30
2056,27.29
2057,27.46
2058,27.24
2059,27.35
2060,27.24
2061,27.21
2062,27.40
2063,27.45
2064,27.39
2065,27.05
2066,27.15
2067,27.52
2068,27.38
2069,27.24
2070,27.44
2071,27.44
2072,27.29
2073,27.11
2074,27.49
2075,27.25
2076,27.39
2077,27.29
2078,27.14
2079,27.13
2080,27.35
2081,27.19
2082,27.21
2083,27.32
2084,27.32
2085,27.09
2086,27.35
2087,27.54
2088,27.18
2089,27.00
2090,27.38
2091,27.48
2092,27.07
2093,27.09
2094,27.22
2095,27.36
2096,27.22
2097,27.00
2098,27.13
2099,27.25
2100,27.51
