Variable:,tasmin
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
2015,7.26,0.08,5.65,2.68,6.46,0.77,12.63,5.56,4.74,4.06,14.14,10.04,8.20,3.56,12.48,3.45,8.01,8.02,7.04,6.64,4.54,7.82,15.32,5.06,8.36,6.43,2.33,2.27,6.63,1.24,8.52,5.03,3.13,1.50,8.83
2016,7.04,-0.20,5.55,2.34,6.26,0.52,12.49,5.50,4.58,3.77,13.82,10.00,8.22,3.33,12.24,3.17,7.77,7.73,6.71,6.39,4.29,7.57,15.05,4.83,8.12,6.13,2.03,2.08,6.23,1.01,8.39,4.75,2.84,1.22,8.60
2017,7.02,-0.12,5.39,2.50,6.28,0.45,12.38,5.29,4.44,3.67,13.85,9.84,8.12,3.49,12.23,3.38,7.71,7.79,6.77,6.43,4.34,7.57,15.06,4.96,8.09,6.08,2.08,1.99,6.36,0.99,8.29,4.68,3.07,1.37,8.56
2018,7.17,-0.08,5.51,2.56,6.34,0.70,12.60,5.42,4.75,3.89,14.05,10.03,8.16,3.65,12.45,3.52,7.82,7.78,6.86,6.42,4.54,7.56,15.26,4.89,8.27,6.23,2.08,2.02,6.43,1.32,8.50,4.91,3.13,1.53,8.76
2019,7.17,-0.11,5.61,2.42,6.44,0.46,12.65,5.57,4.63,3.82,14.16,10.09,8.31,3.45,12.50,3.26,7.67,7.72,6.86,6.36,4.34,7.53,15.35,4.79,8.37,6.03,2.17,2.18,6.41,1.05,8.51,4.79,2.85,1.31,8.73
2020,7.11,-0.09,5.52,2.42,6.29,0.38,12.62,5.38,4.54,3.74,14.08,10.03,8.13,3.39,12.45,3.29,7.85,7.86,6.71,6.45,4.33,7.63,15.30,4.95,8.22,6.17,1.99,1.97,6.36,0.94,8.41,4.76,3.00,1.27,8.65
2021,7.43,0.23,5.87,2.87,6.67,0.85,12.87,5.82,4.83,4.17,14.24,10.32,8.57,3.86,12.62,3.75,8.08,8.04,7.17,6.80,4.71,7.93,15.45,5.26,8.48,6.44,2.42,2.44,6.84,1.41,8.67,5.08,3.43,1.75,8.92
2022,7.27,-0.05,5.77,2.41,6.47,0.66,12.75,5.74,4.72,3.99,14.23,10.24,8.46,3.46,12.63,3.29,7.87,7.78,6.71,6.32,4.42,7.48,15.44,4.93,8.38,6.26,2.14,2.33,6.28,1.14,8.64,4.92,2.92,1.34,8.89
2023,7.29,0.22,5.56,2.72,6.50,0.73,12.71,5.44,4.66,3.89,14.19,10.15,8.28,3.75,12.56,3.61,8.01,8.05,6.98,6.68,4.61,7.84,15.37,5.18,8.31,6.36,2.33,2.27,6.64,1.25,8.47,4.88,3.26,1.61,8.74
2024,7.58,0.31,5.94,2.89,6.76,0.96,13.03,5.87,5.14,4.27,14.56,10.45,8.66,3.97,12.91,3.81,8.24,8.18,7.22,6.88,4.88,8.03,15.70,5.31,8.67,6.64,2.53,2.51,6.79,1.56,8.96,5.31,3.42,1.83,9.19
2025,7.54,0.33,5.93,2.89,6.80,0.95,12.93,5.83,5.13,4.25,14.40,10.43,8.58,3.95,12.79,3.81,8.31,8.20,7.19,6.86,4.90,8.03,15.60,5.27,8.73,6.72,2.54,2.54,6.76,1.51,8.81,5.33,3.42,1.80,9.09
2026,7.44,0.27,5.80,2.76,6.69,0.88,12.92,5.75,4.85,4.12,14.36,10.36,8.51,3.74,12.72,3.60,8.03,8.01,7.09,6.58,4.65,7.72,15.58,5.22,8.50,6.43,2.49,2.51,6.76,1.35,8.71,5.10,3.25,1.63,9.01
2027,7.62,0.47,6.01,3.03,6.87,1.07,13.01,5.92,5.07,4.28,14.52,10.49,8.66,3.96,12.89,3.85,8.30,8.23,7.37,6.93,4.87,8.07,15.67,5.40,8.70,6.67,2.71,2.61,6.97,1.56,8.97,5.28,3.53,1.87,9.22
2028,7.82,0.56,6.29,3.15,7.02,1.21,13.34,6.16,5.28,4.53,14.74,10.86,8.85,4.02,13.05,3.96,8.37,8.32,7.50,7.02,4.97,8.16,15.97,5.52,8.77,6.79,2.80,2.76,7.09,1.72,9.11,5.51,3.73,1.98,9.37
2029,7.63,0.46,6.10,2.97,6.95,1.08,12.97,6.04,5.08,4.38,14.46,10.48,8.81,3.92,12.90,3.81,8.18,8.14,7.39,6.74,4.85,7.86,15.64,5.37,8.60,6.64,2.70,2.73,6.97,1.50,8.93,5.30,3.50,1.80,9.17
2030,7.64,0.31,6.07,3.07,6.89,1.14,13.08,6.06,5.16,4.41,14.51,10.60,8.76,4.00,12.89,3.93,8.20,8.09,7.23,6.79,4.89,7.89,15.70,5.35,8.81,6.66,2.71,2.70,6.79,1.61,9.09,5.37,3.63,1.95,9.28
2031,7.76,0.66,6.21,3.24,7.03,1.34,13.08,6.18,5.21,4.60,14.53,10.58,8.88,4.19,12.83,4.11,8.27,8.32,7.50,7.07,5.00,8.19,15.72,5.52,8.74,6.63,2.83,2.88,7.11,1.78,8.92,5.63,3.79,2.11,9.28
