Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
2015,2.96,3.32,4.29,2.50,3.23,2.94,2.65,3.95,3.90,2.76,3.71,4.36,2.79,3.09,3.31,2.99,2.45
2016,2.98,3.44,4.37,2.50,3.24,2.85,2.75,4.09,4.10,2.60,3.88,4.44,2.68,2.90,3.28,2.75,2.31
2017,3.28,3.71,4.56,2.77,3.61,3.26,2.97,4.27,4.23,2.99,4.05,4.63,3.10,3.31,3.66,3.12,2.74
2018,3.01,3.42,4.43,2.50,3.36,2.96,2.67,4.09,4.12,2.68,3.90,4.50,2.79,3.00,3.46,2.78,2.45
2019,3.12,3.50,4.36,2.71,3.33,2.97,2.92,4.09,4.03,2.73,3.86,4.42,2.82,2.97,3.39,2.82,2.50
2020,3.23,3.67,4.42,2.74,3.53,3.15,2.90,4.18,4.23,3.00,4.05,4.48,3.00,3.31,3.59,3.23,2.69
2021,3.29,3.73,4.54,2.95,3.52,3.08,3.09,4.24,4.16,2.82,4.01,4.59,2.92,3.06,3.52,2.90,2.57
2022,3.52,4.01,4.80,3.06,3.85,3.38,3.23,4.54,4.53,3.06,4.36,4.87,3.20,3.34,3.89,3.10,2.85
2023,3.63,4.13,4.92,3.16,3.89,3.45,3.37,4.62,4.53,3.19,4.39,4.97,3.30,3.47,3.90,3.29,2.98
2024,3.46,3.95,4.74,2.94,3.81,3.37,3.14,4.45,4.41,3.10,4.25,4.79,3.20,3.36,3.86,3.20,2.85
2025,3.46,3.92,4.90,3.00,3.73,3.33,3.21,4.54,4.54,3.08,4.32,4.95,3.16,3.38,3.75,3.21,2.80
2026,3.31,3.77,4.70,2.82,3.66,3.21,3.02,4.38,4.38,2.97,4.18,4.78,3.04,3.28,3.74,3.12,2.69
2027,3.51,3.92,4.87,3.07,3.75,3.39,3.17,4.63,4.56,3.14,4.34,4.94,3.25,3.40,3.80,3.20,2.96
2028,3.19,3.59,4.69,2.66,3.43,3.12,2.83,4.36,4.21,2.92,3.99,4.76,2.99,3.16,3.48,3.02,2.69
2029,3.64,3.96,4.75,3.29,3.91,3.56,3.42,4.49,4.55,3.31,4.35,4.81,3.41,3.56,3.96,3.38,3.11
2030,3.35,3.80,4.83,2.93,3.55,3.17,3.04,4.40,4.26,2.95,4.09,4.87,3.03,3.16,3.57,3.02,2.73
2031,3.40,3.96,4.74,2.87,3.72,3.22,3.11,4.48,4.43,2.91,4.27,4.79,3.04,3.26,3.74,3.04,2.66
2032,3.29,3.69,4.54,2.84,3.60,3.23,2.98,4.25,4.26,2.96,4.07,4.61,3.07,3.24,3.67,3.05,2.73
2033,3.53,3.94,4.66,3.11,3.82,3.47,3.31,4.37,4.39,3.16,4.24,4.72,3.31,3.40,3.85,3.20,2.94
2034,3.47,3.85,4.79,3.12,3.66,3.26,3.27,4.45,4.38,3.03,4.20,4.84,3.12,3.29,3.71,3.13,2.82
2035,3.18,3.62,4.61,2.76,3.39,3.03,2.85,4.18,4.01,2.86,3.87,4.66,2.90,3.08,3.42,2.99,2.63
2036,3.45,3.88,4.80,2.95,3.84,3.37,3.12,4.48,4.54,3.12,4.33,4.87,3.20,3.44,3.94,3.26,2.88
2037,3.53,4.06,4.98,3.03,3.69,3.25,3.23,4.65,4.55,3.04,4.39,5.03,3.14,3.22,3.68,3.05,2.93
2038,3.54,3.99,4.83,2.99,3.89,3.46,3.23,4.56,4.58,3.32,4.38,4.90,3.31,3.62,3.96,3.53,3.04
2039,3.93,4.52,5.20,3.44,4.18,3.76,3.67,4.96,4.82,3.40,4.71,5.26,3.59,3.62,4.16,3.40,3.19
2040,3.77,4.21,4.98,3.41,3.94,3.55,3.52,4.67,4.61,3.34,4.47,5.03,3.42,3.53,3.93,3.38,3.18
2041,3.68,4.19,4.85,3.26,3.93,3.50,3.43,4.52,4.53,3.21,4.41,4.90,3.36,3.43,3.92,3.21,3.06
2042,3.67,4.16,4.96,3.23,3.92,3.48,3.44,4.68,4.64,3.21,4.47,5.01,3.31,3.53,3.94,3.34,2.95
2043,3.80,4.28,5.13,3.31,4.13,3.67,3.54,4.83,4.87,3.44,4.68,5.19,3.50,3.77,4.19,3.63,3.12
2044,3.86,4.29,5.06,3.53,3.97,3.63,3.60,4.76,4.63,3.41,4.50,5.11,3.51,3.52,3.93,3.39,3.26
2045,3.64,4.12,4.95,3.14,3.98,3.51,3.34,4.63,4.64,3.23,4.48,5.01,3.34,3.52,4.06,3.33,3.00
2046,3.42,3.75,4.91,2.98,3.65,3.36,3.12,4.40,4.28,3.20,4.09,4.94,3.22,3.50,3.72,3.42,2.91
2047,3.58,4.03,4.98,3.18,3.83,3.40,3.32,4.66,4.52,3.10,4.36,5.03,3.23,3.39,3.89,3.19,2.85
2048,3.85,4.28,5.12,3.40,4.12,3.77,3.60,4.84,4.77,3.55,4.59,5.19,3.62,3.87,4.15,3.71,3.27
2049,3.89,4.31,5.26,3.42,4.15,3.78,3.60,4.92,4.89,3.58,4.69,5.33,3.63,3.83,4.20,3.72,3.32
2050,3.49,4.03,4.83,3.08,3.59,3.17,3.27,4.43,4.24,3.02,4.16,4.87,3.06,3.17,3.53,3.08,2.86
2051,3.64,4.15,4.98,3.19,3.89,3.41,3.40,4.67,4.62,3.21,4.45,5.04,3.26,3.50,3.89,3.37,2.95
2052,3.86,4.34,5.16,3.43,4.12,3.63,3.60,4.88,4.79,3.45,4.62,5.22,3.48,3.68,4.11,3.59,3.19
2053,4.03,4.56,5.27,3.55,4.27,3.83,3.83,5.06,4.93,3.57,4.79,5.32,3.67,3.87,4.26,3.70,3.32
2054,4.29,4.83,5.56,3.86,4.50,4.04,4.07,5.37,5.27,3.78,5.12,5.62,3.88,4.04,4.50,3.87,3.53
2055,4.09,4.54,5.30,3.69,4.32,3.93,3.83,5.04,4.98,3.64,4.84,5.34,3.77,3.90,4.34,3.69,3.43
2056,4.14,4.62,5.25,3.76,4.39,3.95,3.88,5.02,5.00,3.70,4.87,5.31,3.79,3.99,4.40,3.81,3.46
2057,4.08,4.57,5.09,3.68,4.35,3.95,3.94,4.81,4.81,3.61,4.72,5.15,3.78,3.85,4.33,3.63,3.40
2058,4.02,4.58,5.43,3.51,4.29,3.70,3.83,5.21,5.09,3.48,4.89,5.49,3.55,3.77,4.26,3.61,3.25
2059,4.06,4.48,5.39,3.62,4.35,3.97,3.82,5.06,5.01,3.62,4.82,5.45,3.80,3.90,4.39,3.64,3.42
2060,4.08,4.61,5.53,3.58,4.36,3.88,3.81,5.13,5.04,3.66,4.88,5.57,3.73,3.96,4.37,3.80,3.41
2061,4.14,4.61,5.30,3.73,4.40,3.98,3.87,5.04,4.99,3.73,4.86,5.35,3.82,3.96,4.41,3.83,3.49
2062,3.83,4.27,5.10,3.34,4.04,3.72,3.49,4.87,4.87,3.54,4.67,5.18,3.60,3.76,4.08,3.62,3.33
2063,3.82,4.26,5.09,3.40,4.07,3.66,3.56,4.74,4.75,3.43,4.58,5.15,3.52,3.68,4.09,3.52,3.22
2064,4.22,4.74,5.58,3.74,4.49,4.06,3.89,5.10,5.04,3.81,4.93,5.60,3.93,4.05,4.47,3.86,3.66
2065,4.20,4.66,5.41,3.72,4.46,4.10,3.92,5.14,5.12,3.84,4.97,5.47,3.95,4.08,4.49,3.90,3.64
2066,4.06,4.50,5.40,3.62,4.29,3.93,3.76,5.04,4.93,3.71,4.77,5.44,3.80,3.95,4.31,3.78,3.50
2067,4.17,4.66,5.39,3.77,4.38,3.99,3.97,5.11,5.04,3.73,4.90,5.45,3.84,3.97,4.35,3.79,3.51
