Variable:,tasmin
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,4.10,5.00,4.85,4.64,4.47,4.80,3.91,3.48
2016,4.41,5.07,5.09,4.92,4.71,4.96,4.23,3.93
2017,4.37,5.07,5.02,4.79,4.59,4.79,4.27,3.95
2018,4.09,4.83,4.77,4.54,4.38,4.64,3.77,3.74
2019,3.89,4.79,4.57,4.35,4.12,4.34,3.78,3.39
2020,3.96,4.79,4.83,4.35,4.21,4.37,3.82,3.44
2021,3.75,4.69,4.49,4.21,4.03,4.29,3.69,3.21
2022,4.41,5.08,4.98,4.90,4.74,4.98,4.30,3.99
2023,3.95,4.72,4.38,4.42,4.22,4.55,3.95,3.46
2024,4.43,5.20,5.10,4.94,4.69,4.85,4.26,3.98
2025,3.80,4.60,4.37,4.19,4.02,4.22,3.65,3.45
2026,4.08,5.13,4.90,4.50,4.29,4.56,4.08,3.44
2027,4.41,5.28,5.02,4.93,4.73,4.93,4.24,3.99
2028,4.44,5.28,5.12,4.84,4.77,5.04,4.42,3.87
2029,4.11,4.77,4.73,4.37,4.31,4.47,4.07,3.73
2030,4.27,4.76,4.95,4.31,4.50,4.73,4.33,3.88
2031,4.84,5.15,5.73,4.76,4.97,5.15,5.02,4.49
2032,4.91,5.76,5.78,5.22,5.12,5.32,4.95,4.38
2033,4.60,5.40,5.44,4.86,4.90,5.16,4.46,4.14
2034,4.71,5.51,5.31,5.15,5.01,5.23,4.55,4.31
2035,4.74,5.34,5.30,5.09,4.96,5.16,4.61,4.41
2036,4.80,5.64,5.55,5.11,5.05,5.25,4.80,4.30
2037,4.98,5.51,5.25,5.23,5.23,5.39,4.88,4.79
2038,4.52,5.32,5.10,4.84,4.71,4.86,4.38,4.22
2039,5.13,5.72,5.87,5.47,5.36,5.58,5.09,4.68
2040,4.96,5.65,5.48,5.32,5.19,5.32,4.78,4.70
2041,4.62,5.09,5.10,4.91,4.87,5.00,4.56,4.28
2042,4.55,5.15,5.05,4.98,4.79,4.96,4.39,4.27
2043,4.74,5.56,5.21,5.29,5.09,5.32,4.51,4.37
2044,4.73,5.29,5.45,5.00,5.02,5.28,4.79,4.27
2045,5.06,5.75,5.68,5.36,5.45,5.75,5.02,4.59
2046,4.67,5.00,5.09,4.80,4.95,5.14,4.72,4.41
2047,4.24,4.92,4.84,4.55,4.48,4.63,4.18,3.85
2048,5.12,5.70,5.80,5.35,5.37,5.55,5.02,4.76
2049,4.52,5.11,5.14,4.77,4.78,5.02,4.45,4.14
2050,4.44,5.11,5.09,4.82,4.70,4.97,4.40,3.92
2051,4.65,5.25,5.37,4.90,4.92,5.06,4.58,4.27
2052,4.57,5.29,4.94,5.08,4.82,4.96,4.44,4.26
2053,4.52,5.00,5.37,4.48,4.61,4.76,4.67,4.15
2054,4.26,5.03,4.89,4.58,4.45,4.59,4.18,3.81
2055,5.06,5.51,5.84,5.17,5.33,5.60,5.03,4.66
2056,4.52,5.31,5.19,4.98,4.84,5.04,4.39,4.07
2057,4.40,5.10,4.82,4.90,4.63,4.85,4.19,4.07
2058,4.71,5.22,5.26,4.97,5.03,5.22,4.71,4.34
2059,4.79,5.25,5.31,5.03,5.05,5.26,4.75,4.45
2060,3.46,4.31,3.99,3.87,3.66,3.83,3.30,3.11
2061,4.53,5.03,5.30,4.66,4.74,4.96,4.62,4.12
2062,4.05,5.04,4.83,4.71,4.37,4.58,3.80,3.48
2063,4.11,5.08,4.92,4.54,4.35,4.56,4.03,3.58
2064,4.36,4.89,4.91,4.72,4.62,4.85,4.25,3.98
2065,5.41,5.75,5.96,5.54,5.59,5.72,5.48,5.14
2066,4.35,5.15,5.03,4.74,4.55,4.75,4.22,3.94
2067,4.36,4.89,4.87,4.63,4.71,4.87,4.12,4.11
2068,4.92,5.35,5.61,4.98,5.15,5.32,4.92,4.60
2069,4.51,5.13,5.01,4.91,4.80,5.01,4.34,4.16
2070,4.35,5.28,5.16,4.88,4.67,4.89,4.21,3.77
2071,4.16,5.30,4.95,4.87,4.46,4.75,3.97,3.49
2072,4.46,5.43,5.08,5.03,4.66,4.81,4.31,4.01
2073,4.45,5.22,4.97,4.90,4.67,4.88,4.36,4.05
2074,4.27,4.97,4.99,4.55,4.49,4.72,4.36,3.76
2075,4.70,5.38,5.43,4.91,4.85,5.01,4.74,4.30
2076,4.54,5.21,5.38,4.72,4.74,4.95,4.56,4.07
2077,4.53,5.22,5.16,4.87,4.81,4.99,4.42,4.13
2078,4.47,5.24,5.00,4.94,4.71,4.90,4.30,4.06
2079,3.79,4.50,4.57,4.01,4.02,4.16,3.78,3.35
2080,4.95,5.61,5.47,5.27,5.24,5.40,4.81,4.63
2081,4.74,5.34,5.31,4.98,5.01,5.21,4.72,4.38
2082,4.48,5.16,4.88,4.88,4.77,4.83,4.31,4.19
2083,4.33,5.00,4.84,4.66,4.61,4.85,4.19,3.97
2084,3.96,4.87,4.45,4.42,4.16,4.37,3.78,3.58
2085,4.71,5.30,5.23,5.01,4.96,5.15,4.65,4.47
2086,4.28,5.10,5.25,4.49,4.56,4.78,4.38,3.66
2087,4.12,4.86,4.96,4.44,4.26,4.40,4.19,3.63
2088,4.49,4.98,5.35,4.54,4.57,4.68,4.61,4.12
2089,4.31,5.11,4.98,4.71,4.59,4.85,4.23,3.83
2090,4.12,4.94,4.85,4.48,4.35,4.55,4.07,3.66
2091,4.31,5.16,4.93,4.77,4.58,4.83,4.23,3.81
2092,4.33,5.07,4.93,4.62,4.55,4.76,4.26,3.98
2093,4.22,5.24,5.03,4.89,4.59,4.88,4.11,3.56
2094,3.19,3.85,3.67,3.61,3.40,3.54,3.05,2.84
2095,4.49,4.81,5.34,4.51,4.57,4.75,4.75,4.01
2096,4.14,5.12,4.88,4.61,4.42,4.60,4.13,3.60
2097,4.13,4.97,5.08,4.44,4.29,4.49,4.22,3.55
2098,4.50,5.21,5.08,4.91,4.86,5.08,4.44,4.06
2099,4.11,4.66,4.81,4.37,4.33,4.60,4.04,3.77
2100,4.06,4.58,4.52,4.26,4.24,4.38,3.91,3.85
