Variable:,tas
,"Virgin Islands","Saint Croix (County Equivalent)","Saint John (County Equivalent)","Saint Thomas (County Equivalent)"
2015,26.55,26.86,26.55,26.49
2016,26.54,26.82,26.54,26.48
2017,26.62,26.91,26.62,26.56
2018,26.58,26.81,26.58,26.52
2019,26.56,26.86,26.56,26.50
2020,26.62,26.90,26.62,26.56
2021,26.71,26.98,26.71,26.64
2022,26.76,27.04,26.76,26.70
2023,26.82,27.05,26.82,26.76
2024,26.92,27.18,26.92,26.86
2025,26.87,27.13,26.87,26.80
2026,26.87,27.13,26.87,26.81
2027,26.84,27.13,26.84,26.77
2028,26.90,27.21,26.90,26.83
2029,26.82,27.07,26.82,26.76
2030,26.86,27.15,26.86,26.80
2031,27.00,27.30,27.00,26.94
2032,27.05,27.32,27.05,26.98
2033,26.98,27.22,26.98,26.91
2034,27.01,27.29,27.01,26.95
2035,26.94,27.23,26.94,26.88
2036,26.98,27.24,26.98,26.92
2037,27.13,27.42,27.13,27.07
2038,27.12,27.40,27.12,27.06
2039,27.11,27.43,27.11,27.05
2040,27.16,27.44,27.16,27.10
2041,27.06,27.31,27.06,27.00
2042,27.19,27.48,27.19,27.12
2043,27.11,27.39,27.11,27.05
2044,27.13,27.35,27.13,27.07
2045,27.17,27.45,27.17,27.11
2046,27.17,27.46,27.17,27.11
2047,27.25,27.52,27.25,27.19
2048,27.41,27.66,27.41,27.35
2049,27.31,27.58,27.31,27.25
2050,27.27,27.49,27.27,27.20
2051,27.23,27.47,27.23,27.17
2052,27.52,27.75,27.52,27.46
2053,27.43,27.72,27.43,27.37
2054,27.42,27.67,27.42,27.36
2055,27.47,27.71,27.47,27.41
2056,27.41,27.66,27.41,27.35
2057,27.60,27.86,27.60,27.54
2058,27.50,27.75,27.50,27.44
2059,27.55,27.76,27.55,27.48
2060,27.60,27.85,27.60,27.54
2061,27.51,27.76,27.51,27.45
2062,27.50,27.71,27.50,27.44
2063,27.72,27.98,27.72,27.66
2064,27.62,27.83,27.62,27.56
2065,27.71,27.99,27.71,27.65
2066,27.61,27.96,27.61,27.55
2067,27.63,27.90,27.63,27.57
2068,27.72,27.93,27.72,27.66
2069,27.67,27.94,27.67,27.61
2070,27.71,27.99,27.71,27.65
2071,27.61,27.91,27.61,27.55
2072,27.72,27.93,27.72,27.66
2073,27.76,28.06,27.76,27.71
2074,27.72,27.98,27.72,27.66
2075,27.79,28.06,27.79,27.73
2076,27.87,28.11,27.87,27.80
2077,27.91,28.18,27.91,27.85
2078,27.80,28.09,27.80,27.74
2079,27.78,28.02,27.78,27.72
2080,27.75,28.00,27.75,27.69
2081,27.84,28.12,27.84,27.78
2082,27.79,28.07,27.79,27.73
2083,27.88,28.18,27.88,27.82
2084,27.99,28.23,27.99,27.93
2085,27.96,28.25,27.96,27.89
2086,27.99,28.31,27.99,27.93
2087,28.01,28.31,28.01,27.95
2088,27.75,28.01,27.75,27.70
2089,27.96,28.35,27.96,27.90
2090,27.98,28.34,27.98,27.92
2091,27.93,28.20,27.93,27.88
2092,27.98,28.24,27.98,27.92
2093,28.01,28.25,28.01,27.95
2094,27.94,28.25,27.94,27.88
2095,28.17,28.39,28.17,28.11
2096,27.91,28.19,27.91,27.85
2097,27.94,28.27,27.94,27.88
2098,27.99,28.24,27.99,27.93
2099,28.00,28.29,28.00,27.94
2100,28.09,28.35,28.09,28.03
