Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
2015,13.20,23.61,22.10,22.11,18.00,20.63
2016,13.27,23.85,22.33,22.14,18.07,20.83
2017,13.16,23.64,22.17,22.02,17.90,20.55
2018,13.20,23.73,22.26,22.02,17.95,20.67
2019,13.15,23.56,22.16,21.99,17.93,20.57
2020,13.33,23.83,22.42,22.31,18.16,20.77
2021,13.36,23.71,22.23,22.35,18.20,20.76
2022,13.39,23.75,22.33,22.40,18.25,20.87
2023,13.41,23.80,22.39,22.26,18.12,20.85
2024,13.57,23.95,22.49,22.44,18.31,20.99
2025,13.52,23.97,22.47,22.27,18.25,20.93
2026,13.56,24.05,22.57,22.38,18.28,20.99
2027,13.46,23.82,22.35,22.27,18.15,20.83
2028,13.75,24.21,22.70,22.69,18.54,21.17
2029,13.62,23.97,22.49,22.34,18.31,20.97
2030,13.49,23.97,22.58,22.36,18.21,20.86
2031,13.66,24.08,22.56,22.63,18.51,21.09
2032,13.66,24.03,22.60,22.69,18.44,21.04
2033,13.60,24.07,22.65,22.42,18.27,21.01
2034,13.75,24.26,22.83,22.60,18.49,21.12
2035,13.79,24.25,22.81,22.61,18.52,21.21
2036,13.67,24.05,22.67,22.50,18.39,21.02
2037,13.89,24.50,22.99,22.83,18.70,21.39
2038,13.73,24.20,22.77,22.55,18.45,21.16
2039,13.82,24.27,22.84,22.67,18.58,21.18
2040,13.79,24.31,22.85,22.60,18.48,21.21
2041,13.87,24.42,22.89,22.87,18.69,21.41
2042,13.91,24.47,22.96,22.91,18.74,21.42
2043,13.96,24.54,23.04,22.82,18.75,21.48
2044,14.02,24.49,23.03,22.90,18.81,21.47
2045,13.94,24.41,22.86,22.88,18.70,21.42
2046,14.15,24.63,23.12,23.09,18.91,21.56
2047,14.07,24.52,23.06,23.08,18.90,21.56
2048,14.11,24.52,23.04,23.00,18.90,21.54
2049,14.03,24.59,23.03,22.93,18.78,21.52
2050,14.11,24.66,23.14,23.06,18.90,21.62
2051,14.23,24.70,23.18,23.22,19.09,21.76
2052,14.17,24.44,23.05,23.03,18.93,21.53
2053,14.10,24.56,22.97,23.04,18.83,21.55
2054,14.02,24.58,22.97,23.03,18.81,21.50
2055,14.18,24.64,23.11,23.22,19.05,21.65
2056,14.26,24.73,23.23,23.26,19.12,21.75
2057,14.22,24.73,23.21,23.26,19.08,21.72
2058,14.35,24.93,23.33,23.34,19.23,21.90
2059,14.23,24.67,23.22,23.22,19.08,21.69
2060,14.21,24.87,23.35,23.15,19.04,21.75
2061,14.07,24.52,23.12,22.95,18.82,21.48
2062,14.24,24.68,23.20,23.18,19.03,21.73
2063,14.37,24.78,23.23,23.20,19.10,21.77
2064,14.16,24.67,23.19,22.92,18.87,21.59
2065,14.25,24.64,23.15,23.14,19.01,21.75
2066,14.21,24.72,23.23,23.23,19.13,21.71
2067,14.38,24.87,23.43,23.25,19.20,21.83
2068,14.11,24.59,23.18,22.95,18.89,21.59
2069,14.30,24.83,23.28,23.29,19.10,21.75
2070,14.13,24.56,23.03,22.89,18.84,21.48
2071,14.19,24.72,23.22,22.93,18.92,21.60
2072,14.21,24.78,23.26,23.02,18.97,21.68
2073,14.26,24.70,23.23,23.04,18.99,21.65
2074,14.50,25.08,23.42,23.35,19.27,22.01
2075,14.24,24.77,23.24,23.12,19.06,21.74
2076,14.19,24.75,23.22,23.17,19.01,21.68
2077,14.17,24.71,23.24,23.12,18.97,21.66
2078,14.33,24.78,23.21,23.22,19.10,21.73
2079,14.26,24.68,23.23,23.06,18.95,21.63
2080,14.32,24.81,23.28,23.20,19.10,21.75
2081,14.18,24.77,23.23,23.11,19.00,21.68
2082,14.43,24.91,23.41,23.44,19.34,21.97
2083,14.40,24.96,23.39,23.30,19.22,21.89
2084,14.22,24.74,23.21,23.10,18.95,21.60
2085,14.24,24.71,23.20,23.13,19.05,21.72
2086,14.26,24.74,23.19,23.07,19.01,21.81
2087,14.14,24.70,23.22,23.13,18.87,21.60
2088,14.44,24.91,23.40,23.38,19.20,21.88
2089,14.04,24.51,23.11,23.01,18.83,21.52
2090,14.17,24.72,23.21,22.95,18.94,21.68
2091,14.29,24.80,23.31,23.25,19.11,21.72
2092,14.25,24.61,23.07,23.13,19.03,21.74
2093,14.27,24.78,23.26,23.05,19.01,21.74
2094,14.37,24.70,23.26,23.17,19.12,21.74
2095,14.08,24.71,23.07,22.81,18.76,21.65
2096,13.91,24.40,22.82,22.82,18.76,21.40
2097,14.26,24.85,23.40,23.13,19.07,21.79
2098,14.25,24.83,23.24,23.13,19.05,21.77
2099,14.33,24.88,23.33,23.33,19.22,21.82
2100,14.28,24.78,23.22,23.18,19.14,21.75
