Variable:,tas
2015,27.03
2016,27.02
2017,27.05
2018,27.05
2019,27.06
2020,27.06
2021,27.07
2022,27.21
2023,27.15
2024,27.31
2025,27.26
2026,27.29
2027,27.19
2028,27.31
2029,27.29
2030,27.32
2031,27.45
2032,27.43
2033,27.52
2034,27.39
2035,27.47
2036,27.41
2037,27.55
2038,27.64
2039,27.65
2040,27.46
2041,27.51
2042,27.60
2043,27.58
2044,27.52
2045,27.58
2046,27.69
2047,27.67
2048,27.82
2049,27.82
2050,27.75
2051,27.70
2052,28.01
2053,27.88
2054,27.83
2055,27.93
2056,27.77
2057,28.08
2058,27.87
2059,28.04
2060,28.08
2061,27.90
2062,27.91
2063,28.07
2064,28.08
2065,28.23
2066,28.17
2067,28.14
2068,28.17
2069,28.14
2070,28.23
2071,28.03
2072,28.12
2073,28.23
2074,28.18
2075,28.21
2076,28.27
2077,28.34
2078,28.39
2079,28.25
2080,28.30
2081,28.39
2082,28.32
2083,28.32
2084,28.42
2085,28.37
2086,28.45
2087,28.49
2088,28.22
2089,28.38
2090,28.43
2091,28.47
2092,28.50
2093,28.35
2094,28.54
2095,28.63
2096,28.46
2097,28.44
2098,28.45
2099,28.45
2100,28.62
