Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
2015,12.41,13.23,13.23,13.23,13.23,13.23,13.23,13.23
2016,11.89,12.71,12.71,12.71,12.71,12.71,12.71,12.71
2017,12.17,13.05,13.05,13.05,13.05,13.05,13.05,13.05
2018,12.35,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2019,12.11,12.81,12.81,12.81,12.81,12.81,12.81,12.81
2020,12.14,12.94,12.94,12.94,12.94,12.94,12.94,12.94
2021,12.24,13.04,13.04,13.04,13.04,13.04,13.04,13.04
2022,12.25,13.19,13.19,13.19,13.19,13.19,13.19,13.19
2023,12.42,13.35,13.35,13.35,13.35,13.35,13.35,13.35
2024,12.31,13.29,13.29,13.29,13.29,13.29,13.29,13.29
2025,12.55,13.52,13.52,13.52,13.52,13.52,13.52,13.52
2026,12.54,13.44,13.44,13.44,13.44,13.44,13.44,13.44
2027,12.52,13.41,13.41,13.41,13.41,13.41,13.41,13.41
2028,12.53,13.48,13.48,13.48,13.48,13.48,13.48,13.48
2029,12.76,13.54,13.54,13.54,13.54,13.54,13.54,13.54
2030,12.67,13.53,13.53,13.53,13.53,13.53,13.53,13.53
2031,12.47,13.34,13.34,13.34,13.34,13.34,13.34,13.34
2032,12.67,13.56,13.56,13.56,13.56,13.56,13.56,13.56
2033,12.64,13.50,13.50,13.50,13.50,13.50,13.50,13.50
2034,12.86,13.65,13.65,13.65,13.65,13.65,13.65,13.65
2035,12.82,13.71,13.71,13.71,13.71,13.71,13.71,13.71
2036,12.73,13.69,13.69,13.69,13.69,13.69,13.69,13.69
2037,12.81,13.67,13.67,13.67,13.67,13.67,13.67,13.67
2038,12.86,13.67,13.67,13.67,13.67,13.67,13.67,13.67
2039,13.04,13.80,13.80,13.80,13.80,13.80,13.80,13.80
2040,12.66,13.54,13.54,13.54,13.54,13.54,13.54,13.54
2041,12.75,13.62,13.62,13.62,13.62,13.62,13.62,13.62
2042,12.96,13.92,13.92,13.92,13.92,13.92,13.92,13.92
2043,13.03,13.89,13.89,13.89,13.89,13.89,13.89,13.89
2044,13.03,13.87,13.87,13.87,13.87,13.87,13.87,13.87
2045,13.01,13.75,13.75,13.75,13.75,13.75,13.75,13.75
2046,13.06,13.92,13.92,13.92,13.92,13.92,13.92,13.92
2047,13.15,14.07,14.07,14.07,14.07,14.07,14.07,14.07
2048,13.20,14.13,14.13,14.13,14.13,14.13,14.13,14.13
2049,13.23,13.91,13.91,13.91,13.91,13.91,13.91,13.91
2050,13.08,13.90,13.90,13.90,13.90,13.90,13.90,13.90
2051,13.30,14.06,14.06,14.06,14.06,14.06,14.06,14.06
2052,13.20,14.06,14.06,14.06,14.06,14.06,14.06,14.06
2053,13.25,14.17,14.17,14.17,14.17,14.17,14.17,14.17
2054,13.17,14.01,14.01,14.01,14.01,14.01,14.01,14.01
