Variable:,tasmin
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
2015,5.71,5.96,9.23,7.79,5.51,9.73,11.93,6.96,5.96,7.56,5.54,5.94,5.46
2016,5.34,5.50,8.77,7.35,5.14,9.26,11.46,6.50,5.65,7.32,5.18,5.55,5.09
2017,5.56,5.71,8.99,7.63,5.36,9.57,11.73,6.75,5.86,7.49,5.40,5.79,5.30
2018,5.59,5.77,9.08,7.64,5.42,9.59,11.81,6.79,5.91,7.46,5.45,5.81,5.36
2019,5.19,5.38,8.69,7.34,5.00,9.28,11.44,6.44,5.49,7.11,5.04,5.48,4.95
2020,5.71,5.83,9.12,7.73,5.51,9.68,11.83,6.87,6.04,7.71,5.55,5.91,5.45
2021,5.63,5.77,9.13,7.72,5.43,9.68,11.86,6.82,5.95,7.62,5.47,5.86,5.36
2022,5.54,5.74,8.99,7.57,5.33,9.54,11.73,6.77,5.81,7.45,5.37,5.72,5.29
2023,5.86,6.07,9.34,7.88,5.68,9.84,12.07,7.08,6.16,7.72,5.72,6.04,5.63
2024,5.82,5.94,9.23,7.84,5.63,9.72,11.94,6.95,6.16,7.78,5.68,6.07,5.57
2025,6.03,6.21,9.52,8.07,5.84,10.02,12.26,7.23,6.34,7.97,5.88,6.23,5.79
2026,5.81,5.96,9.30,7.98,5.60,10.00,12.10,7.07,6.10,7.73,5.64,6.06,5.55
2027,5.79,5.93,9.24,7.85,5.60,9.86,11.98,7.00,6.12,7.76,5.64,5.98,5.54
2028,5.86,5.97,9.30,7.96,5.70,9.92,12.09,7.05,6.24,7.83,5.75,6.13,5.63
2029,5.83,6.00,9.31,7.91,5.63,9.88,12.05,7.05,6.12,7.75,5.67,6.05,5.57
2030,5.97,6.16,9.46,8.08,5.77,10.00,12.16,7.19,6.25,7.83,5.81,6.24,5.72
2031,5.57,5.85,9.13,7.67,5.36,9.64,11.88,6.87,5.79,7.42,5.38,5.78,5.32
2032,5.68,5.85,9.17,7.70,5.49,9.67,11.91,6.87,5.99,7.61,5.53,5.86,5.43
2033,5.89,6.01,9.32,7.86,5.70,9.78,12.02,7.01,6.23,7.82,5.74,6.08,5.63
2034,6.05,6.35,9.66,8.28,5.86,10.31,12.43,7.43,6.28,7.85,5.88,6.32,5.82
2035,5.92,6.13,9.34,7.94,5.75,9.90,12.09,7.16,6.22,7.80,5.78,6.10,5.70
2036,5.93,6.10,9.46,8.03,5.73,9.99,12.24,7.14,6.24,7.87,5.77,6.17,5.67
2037,5.86,6.02,9.34,7.93,5.67,9.91,12.14,7.08,6.17,7.77,5.71,6.07,5.62
2038,6.08,6.19,9.42,8.09,5.89,9.98,12.13,7.22,6.41,8.05,5.93,6.31,5.83
2039,6.05,6.28,9.55,8.23,5.86,10.14,12.23,7.32,6.33,7.94,5.89,6.37,5.81
