Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,3.18,4.13,2.42,2.42,4.90,4.90,2.24,2.47,5.66,3.36,3.97,5.03,3.47,5.53,1.83,1.76,2.80,3.92,3.35,4.90,3.02,2.63,1.76,1.71,4.74,3.92,3.92
2016,3.16,4.07,2.51,2.51,4.73,4.73,2.17,2.42,5.59,3.40,3.98,4.89,3.42,5.47,1.82,1.75,2.87,3.89,3.32,4.73,3.07,2.64,1.75,1.67,4.67,3.89,3.89
2017,3.09,3.96,2.41,2.41,4.65,4.65,2.15,2.41,5.55,3.32,3.94,4.82,3.33,5.43,1.79,1.73,2.77,3.77,3.23,4.65,2.96,2.61,1.73,1.65,4.65,3.77,3.77
2018,3.32,4.24,2.59,2.59,4.91,4.91,2.37,2.65,5.85,3.56,4.21,5.06,3.60,5.69,2.02,1.95,2.97,4.06,3.50,4.91,3.18,2.83,1.95,1.88,4.93,4.06,4.06
2019,3.56,4.49,2.84,2.84,5.21,5.21,2.63,2.88,6.03,3.73,4.30,5.36,3.84,5.93,2.20,2.13,3.20,4.30,3.72,5.21,3.43,3.00,2.13,2.11,5.13,4.30,4.30
2020,3.64,4.54,3.01,3.01,5.17,5.17,2.55,2.77,5.99,3.91,4.52,5.32,3.87,5.88,2.32,2.25,3.37,4.37,3.81,5.17,3.56,3.13,2.25,2.04,5.07,4.37,4.37
2021,3.73,4.65,3.10,3.10,5.22,5.22,2.67,2.92,6.13,3.98,4.54,5.37,3.99,5.97,2.43,2.36,3.46,4.50,3.93,5.22,3.66,3.22,2.36,2.17,5.21,4.50,4.50
2022,3.82,4.85,3.13,3.13,5.41,5.41,2.80,2.99,6.13,4.00,4.52,5.55,4.16,6.03,2.49,2.42,3.49,4.70,4.09,5.41,3.76,3.27,2.42,2.26,5.22,4.70,4.70
2023,3.48,4.40,2.81,2.81,5.04,5.04,2.44,2.68,5.86,3.71,4.33,5.20,3.73,5.76,2.10,2.03,3.18,4.23,3.64,5.04,3.38,2.92,2.03,1.92,4.95,4.23,4.23
2024,3.51,4.43,2.84,2.84,5.05,5.05,2.52,2.77,5.91,3.74,4.33,5.20,3.78,5.77,2.20,2.13,3.20,4.27,3.70,5.05,3.42,3.00,2.13,2.03,5.01,4.27,4.27
2025,3.64,4.58,2.96,2.96,5.22,5.22,2.63,2.86,6.04,3.84,4.42,5.39,3.91,5.96,2.25,2.18,3.32,4.41,3.82,5.22,3.54,3.05,2.18,2.10,5.12,4.41,4.41
2026,3.72,4.66,2.88,2.88,5.34,5.34,2.76,2.99,6.14,3.95,4.66,5.47,4.01,5.99,2.42,2.35,3.29,4.48,3.91,5.34,3.52,3.24,2.35,2.25,5.24,4.48,4.48
2027,3.67,4.61,2.91,2.91,5.30,5.30,2.75,3.01,6.20,3.91,4.54,5.45,3.97,6.06,2.38,2.31,3.30,4.43,3.87,5.30,3.52,3.19,2.31,2.24,5.28,4.43,4.43
2028,3.67,4.66,2.94,2.94,5.35,5.35,2.68,2.91,6.12,3.83,4.40,5.49,3.97,6.00,2.23,2.16,3.31,4.47,3.86,5.35,3.56,3.03,2.16,2.13,5.19,4.47,4.47
2029,3.72,4.62,3.02,3.02,5.23,5.23,2.70,2.92,6.02,4.00,4.70,5.38,3.97,5.92,2.41,2.34,3.41,4.46,3.90,5.23,3.60,3.23,2.34,2.20,5.13,4.46,4.46
2030,3.43,4.33,2.77,2.77,5.01,5.01,2.45,2.67,5.81,3.69,4.31,5.16,3.69,5.70,2.16,2.09,3.14,4.15,3.60,5.01,3.33,2.97,2.09,1.94,4.91,4.15,4.15
2031,3.73,4.66,3.06,3.06,5.34,5.34,2.70,2.92,6.10,3.91,4.46,5.50,3.98,6.03,2.30,2.23,3.41,4.48,3.88,5.34,3.63,3.10,2.23,2.16,5.19,4.48,4.48
2032,3.96,4.90,3.21,3.21,5.52,5.52,2.96,3.22,6.38,4.16,4.77,5.68,4.23,6.27,2.57,2.50,3.59,4.74,4.14,5.52,3.83,3.38,2.50,2.47,5.47,4.74,4.74
2033,3.73,4.63,3.00,3.00,5.36,5.36,2.81,3.11,6.32,3.91,4.49,5.50,4.00,6.14,2.39,2.32,3.36,4.44,3.88,5.36,3.58,3.18,2.32,2.31,5.41,4.44,4.44
2034,4.13,5.02,3.50,3.50,5.64,5.64,3.10,3.32,6.42,4.39,5.00,5.77,4.37,6.29,2.82,2.75,3.86,4.86,4.30,5.64,4.05,3.61,2.75,2.59,5.53,4.86,4.86
