Variable:,tasmin
,"Cook Islands","Administrative unit not available"
2015,22.49,22.85
2016,22.29,22.71
2017,22.21,22.61
2018,22.55,22.93
2019,22.32,22.69
2020,22.45,22.84
2021,22.26,22.67
2022,22.58,22.95
2023,22.54,22.92
2024,22.44,22.84
2025,22.27,22.67
2026,22.54,22.97
2027,22.61,22.99
2028,22.37,22.79
2029,22.62,23.04
2030,22.25,22.67
2031,22.47,22.85
2032,22.79,23.17
2033,22.77,23.10
2034,22.68,23.07
2035,22.38,22.79
2036,22.58,23.02
2037,22.59,23.00
2038,22.50,22.90
2039,22.48,22.88
2040,22.67,23.05
2041,22.84,23.23
2042,22.82,23.21
2043,22.59,23.01
2044,22.62,23.03
2045,22.53,22.96
2046,22.76,23.16
2047,22.59,22.99
2048,22.61,22.99
2049,22.63,23.03
2050,22.57,22.96
2051,22.45,22.84
2052,22.72,23.11
2053,22.63,23.03
2054,22.63,23.03
2055,22.50,22.90
2056,22.54,22.93
2057,22.85,23.23
2058,22.63,23.00
2059,22.58,22.97
2060,22.72,23.12
2061,22.71,23.08
2062,22.85,23.24
2063,22.92,23.27
2064,22.78,23.14
2065,22.70,23.08
2066,22.65,23.04
2067,22.70,23.07
2068,22.68,23.06
2069,22.75,23.13
2070,22.56,22.96
2071,22.66,23.06
2072,22.75,23.12
2073,22.50,22.92
2074,22.67,23.07
2075,22.71,23.08
2076,22.45,22.87
2077,22.59,22.99
2078,22.85,23.23
2079,22.62,22.99
2080,22.84,23.21
2081,22.64,23.02
2082,22.53,22.90
2083,22.48,22.88
2084,22.55,22.94
2085,22.93,23.28
2086,22.61,23.03
2087,22.62,22.98
2088,22.48,22.88
2089,22.42,22.83
2090,22.43,22.85
2091,22.50,22.87
2092,22.66,23.05
2093,22.66,23.02
2094,22.40,22.83
2095,22.56,22.92
2096,22.65,23.02
2097,22.63,23.01
2098,22.37,22.76
2099,22.38,22.79
2100,22.29,22.68
