Variable:,tasmin
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,23.37,24.51,23.98
2016,23.31,24.47,23.89
2017,23.45,24.61,24.04
2018,23.45,24.54,24.03
2019,23.45,24.63,24.03
2020,23.66,24.81,24.24
2021,23.56,24.70,24.14
2022,23.58,24.72,24.18
2023,23.53,24.70,24.12
2024,23.59,24.77,24.21
2025,23.66,24.83,24.21
2026,23.59,24.72,24.21
2027,23.58,24.72,24.17
2028,23.61,24.78,24.22
2029,23.68,24.84,24.29
2030,23.73,24.90,24.31
2031,23.84,25.00,24.41
2032,23.65,24.79,24.26
2033,23.67,24.82,24.26
2034,23.79,24.94,24.39
2035,23.82,24.96,24.43
2036,23.79,24.93,24.36
2037,23.75,24.94,24.32
2038,23.94,25.13,24.51
2039,23.74,24.93,24.30
2040,23.76,24.90,24.33
2041,23.93,25.09,24.50
2042,23.77,24.94,24.35
2043,23.70,24.85,24.32
2044,23.81,24.96,24.41
2045,24.01,25.12,24.61
2046,23.89,25.03,24.49
2047,24.00,25.14,24.57
2048,23.92,25.07,24.50
2049,23.74,24.95,24.33
2050,23.87,24.99,24.48
2051,23.83,25.02,24.42
2052,23.77,24.96,24.36
2053,23.70,24.93,24.30
2054,23.82,24.97,24.44
2055,23.80,24.92,24.39
2056,23.76,24.95,24.36
2057,23.76,24.91,24.36
2058,23.82,24.96,24.41
2059,23.84,25.01,24.42
2060,23.96,25.12,24.51
2061,23.87,25.03,24.49
2062,23.72,24.89,24.32
2063,23.82,25.07,24.36
2064,23.81,24.91,24.35
2065,23.54,24.72,24.14
2066,23.61,24.79,24.19
2067,23.87,24.98,24.45
2068,23.91,25.07,24.49
2069,23.83,24.99,24.45
2070,23.75,24.86,24.34
2071,23.90,25.02,24.49
2072,23.66,24.85,24.25
2073,23.62,24.80,24.19
2074,23.85,25.01,24.46
2075,23.78,24.88,24.37
2076,23.77,24.95,24.37
2077,23.84,25.00,24.45
2078,23.53,24.68,24.16
2079,23.63,24.77,24.25
2080,23.94,25.09,24.50
2081,23.67,24.82,24.29
2082,23.67,24.83,24.24
2083,23.73,24.92,24.31
2084,23.75,24.91,24.31
2085,23.52,24.69,24.08
2086,23.65,24.81,24.25
2087,23.72,24.90,24.30
2088,23.61,24.79,24.18
2089,23.56,24.72,24.19
2090,23.68,24.88,24.25
2091,23.75,24.93,24.33
2092,23.63,24.80,24.21
2093,23.61,24.76,24.19
2094,23.76,24.86,24.37
2095,23.64,24.80,24.22
2096,23.58,24.75,24.18
2097,23.53,24.65,24.11
2098,23.49,24.71,24.05
2099,23.55,24.69,24.17
2100,23.79,24.95,24.38
